"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,12.892309368804854,10.250180730440448,0.7121049220276839,0.0,0.15910579111008252,0.14333895037269048,0.06510796416525537,0.0,0.0,4.4261960838656194E-4,0.014198686878508612,0.17178227296081353,0.0,0.0,0.04466488913739292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006194386274476262,
2.0,5.226580917933583,18.229552264808962,1.6780142556511703,0.0,0.15398432936021159,0.24704475469658982,0.04560657577397106,0.0,0.0,4.744465851144378E-4,0.003470201509824338,0.0561087464332977,0.0,0.0,0.0012619701916080047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001563386563310431,
3.0,4.07543656972909,24.641609720455435,1.3186184314499325,0.0,0.11537582273047106,0.27638265320705885,0.04352188289139105,0.0,0.0,4.955353116840343E-4,0.0050082279587982965,0.022218191564693533,0.0,0.0,0.0017448395434851265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2474463197981295E-4,
4.0,2.887412152336216,26.377837206838525,0.0040397416958655,0.0,0.09327909002079354,0.2640476610264876,0.041452719591113726,0.0,0.0,5.156837327313454E-4,0.031707278112080975,0.04954215892435831,0.0,0.0,0.0032418507231493326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.459894781092897E-4,
5.0,2.903088042590407,16.5025071184326,0.3128739786425066,0.0,0.15135747234204724,0.170896801552635,0.041484506435567836,0.0,0.0,5.127365386415224E-4,0.006951403548628312,0.05383075566921065,0.0,0.0,0.22920705541156755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5205650433277335E-4,
6.0,4.826275168111035,20.18709902433835,6.253969140365154,0.0,0.13997147788573636,0.1426178245320605,0.04484520369130308,0.0,0.0,4.783602070372097E-4,0.007583562393027434,0.10981496047009387,0.0,0.0,0.043985458220854534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1426359248674543E-4,
7.0,5.0965296900212,19.43219761479841,0.06092877240889637,0.0,0.1309276421350522,0.1661659037763921,0.04533746259417476,0.0,0.0,4.727428372858789E-4,0.002856075648166425,0.17238916218198916,0.0,0.0,0.09221404827158147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.471937247196263E-4,
8.0,3.4510771469174886,37.350359805294616,0.8556029577534999,0.0,0.07277680287738894,0.15985596011262598,0.042425321809750054,0.0,0.0,5.021907324818689E-4,0.007303874862444599,0.10733112657041424,0.0,0.0,0.010345270513288637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9663592659182097E-5,
9.0,3.760038778575973,33.23311961202203,0.017917226131190848,0.0,0.08993835524441193,0.1477332329683751,0.042967426863766534,0.0,0.0,4.989490811800006E-4,0.006226704370968819,0.15889119209973712,0.0,0.0,0.01009130951821645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3073554611227049E-5,
10.0,4.137532168842806,40.98885191489693,0.6687352064660144,0.0,0.033221470333785204,0.17066917092672268,0.0436394645942332,0.0,0.0,4.907821952496776E-4,0.0360864595413329,0.1757570945056587,0.0,0.0,0.1781979603636135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0025063083984842E-5,
11.0,3.4160628487879707,28.060083946074265,0.5462833307771917,0.0,0.07988077359415185,0.12993897116402028,0.04236178719028594,0.0,0.0,5.007507000103058E-4,0.03369244643461456,0.1788298074914391,0.0,0.0,0.2624977943502773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874812054676588E-8,
12.0,4.507294692830065,30.198300834961195,0.3103425395895051,0.0,0.11933193346942687,0.08144613113058757,0.0443260609120272,0.0,0.0,4.8234963334030384E-4,0.013412135872597406,0.18469944398009394,0.0,0.0,0.25749415034812373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13.0,4.68568242375293,21.419545586059954,2.42076063842893,0.0,0.08463947207516404,0.11717244580762028,0.04465178814983353,0.0,0.0,4.875808150039686E-4,0.0052651260136522045,0.20328088843831355,0.0,0.0,0.16824110628140315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.765710820074885E-5,
