"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,5.625181782055063,7.944613387784803,0.2169433820491533,0.0,0.13720214584425638,0.08307594356316678,0.08525569574579357,0.0,0.0,3.282951195890557E-4,0.12410867623662515,0.4338288638174133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004199081651401687,
2.0,3.352217868628745,12.601567732453539,0.7900320782492974,0.0,0.1554655250946023,0.11679777205555192,0.06835444055812943,0.0,0.0,3.08969422582193E-4,0.00834653416740929,0.21154049844103656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0849794163923145E-4,
3.0,3.5688876335663036,13.734799097346754,0.19991159555434265,0.0,0.15111909463212592,0.14374775609128254,0.06930069985174618,0.0,0.0,3.032172176103978E-4,0.02333362245554558,0.09597351772543464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.339651083054823E-6,
4.0,2.8871314489345057,14.19621546404801,1.53233200487565,0.0,0.14996432408595609,0.22105591035985425,0.06641810742253164,0.0,0.0,3.163928791051542E-4,0.09723413399761484,0.1535066851675111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087929068820341E-5,
5.0,3.600053136033166,8.083659277578132,0.9499872366223793,0.0,0.15963184660316465,0.09212747433831926,0.06946506630374566,0.0,0.0,3.0552248526416416E-4,0.00915852644959611,0.22639935494187688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1271067951062464E-5,
6.0,3.4093672982799883,14.523038208620887,0.022201013984309365,0.0,0.14037247759881355,0.1690264292020387,0.06867634364239963,0.0,0.0,3.1024443164094287E-4,0.011303754781719534,0.2517620107372554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0051716326282897E-6,
7.0,4.020037091587142,13.720412308835895,3.318136866879936,0.0,0.17033407274591678,0.13861306437091894,0.07124518256954403,0.0,0.0,2.955547622704723E-4,0.044287126316139735,0.3824792253648668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6050268936294818E-5,
8.0,3.5330213743999326,10.172527592112125,0.10834977916205381,0.0,0.16265123259139766,0.13649827167903716,0.06912666185856758,0.0,0.0,3.0559763229453277E-4,0.01614073202982291,0.267009654220902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.681309573700084E-7,
9.0,3.475182913275102,23.35259947328291,4.647022607843962,0.0,0.1516897302861147,0.14740898058581567,0.06888711796730575,0.0,0.0,3.054425944701576E-4,0.0052938671472630636,0.25484446681596734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55398524253756E-8,
10.0,3.6695971284713766,9.65527292635591,0.05490666019095004,0.0,0.1605273188243345,0.06967095954991637,0.06978546591056423,0.0,0.0,3.0373113797073896E-4,0.029560420271083517,0.4139284127650558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.684628313791227E-5,
