"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,7.606666824233667,12.70847157717952,2.445336894642118,0.0,0.10820656899136762,0.09446426842811886,0.05774044963546846,0.0769207741543437,0.08519576237883153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4757275270382708,
2.0,3.0778837919821993,11.933845288645887,3.171533481252622,0.0,0.13814919090006839,0.08831693213261292,0.03986613906868053,0.07503249123070713,0.08548448318352841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7109788240678928,
3.0,2.236511156265259,10.501418095761032,1.2239403206775337,0.0,0.12824368894982446,0.17352286297930114,0.03785273468672548,0.07538623580605744,0.08442820680065945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.591647360154404E-4,
4.0,2.506786129733142,9.14197564838021,1.9925323453044212,0.0,0.1426344681482882,0.1447994402837658,0.03850812580790316,0.07612833567164919,0.08480848283954774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30926253749684435,
5.0,2.141640318844493,10.292652658158529,1.1474630332216664,0.0,0.15792842378534191,0.16406326782353467,0.03764385872337895,0.07536082034040069,0.08407793320445814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022718814625740692,
6.0,2.295349779314442,7.750034458714087,2.5207289353413067,0.0,0.14900927999316405,0.21121715651855474,0.037990556330340465,0.07753551518543632,0.08424762290006922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07630741644324492,
7.0,2.1461418851137277,7.325223358498916,0.8219038719311775,0.0,0.16455224974580027,0.18640924802357423,0.03764884126263552,0.07791336700093515,0.08442155602899874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008518091810406957,
8.0,2.4057105011074755,6.285711176755556,0.48528816455114837,0.0,0.17415194555100919,0.21428524673928973,0.03823757322098319,0.07859744484917092,0.08481415899795884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003009883633395009,
9.0,2.20166823011434,7.314632292686629,1.2328311057545445,0.0,0.17432315714277388,0.2125108984491273,0.037757743505926485,0.07721595967360191,0.08396471401055368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04242347400609299,
10.0,2.5994813855795287,7.09754801321681,0.9062737746490173,0.0,0.1545718031169969,0.21621235915649076,0.03869456209089631,0.07785794094299775,0.0851521278141636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4009635683126466,
