"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,8.690732858790563,4.725934222329883,0.5031733923733911,0.0,0.18832921993761004,0.10273746201280592,0.09467781458695645,0.11847757327106988,0.1201169226838091,3.735558284352998E-4,0.0628481930801393,0.5189652338677929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08965245145297875,
2.0,5.582433600199985,6.543398398700777,2.2158272025394714,0.0,0.21189306447070197,0.21948128538753028,0.07689876554532114,0.11391792233810477,0.118006770123966,3.6181711088849696E-4,0.007911039943953695,0.12794544075098632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020904411220789162,
3.0,5.925102214075217,6.393300796992954,4.502027250622946,0.0,0.22160075323289188,0.2709293182477449,0.07810593275384507,0.11194782544028443,0.11521847961541125,3.5363130368399996E-4,0.005360813096810897,0.03796557582352711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1056887067492897E-4,
4.0,5.075827873462658,6.7982108139672786,1.7499100609393543,0.0,0.21563351788024718,0.25609495092868906,0.07499095287986371,0.11138765640902461,0.11718903816799416,3.6646583629234945E-4,0.008583742726818262,0.07350350056946937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.434678788237315E-5,
5.0,4.291397614628648,5.800034527553105,4.908580983464372,0.0,0.2291221889765572,0.19861450270911626,0.07225851516177371,0.11290722729876183,0.11510098757097988,3.793485124463657E-4,0.007624574859915059,0.22593312562735496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041479323031401475,
6.0,4.274320727353712,5.550598130536302,3.8491456766659766,0.0,0.231106074309058,0.23952086145750273,0.07222931493554942,0.11370747851801147,0.11470670421938771,3.806033410266928E-4,0.00501701117523171,0.08434402948446831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.176080405299893E-5,
7.0,4.755082668972895,5.449837420102062,2.316351692601289,0.0,0.23596369221367902,0.27552108552953875,0.07407284204050171,0.11255067122824869,0.11709502184356102,3.7526498892080775E-4,0.007890560178080822,0.015615512289946662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.424101242846178E-4,
8.0,4.943877055032823,5.14340599672277,1.7192609485898387,0.0,0.2289452234374294,0.28322162745826257,0.07474183013063324,0.11406564694162771,0.11849036312293036,3.6876810799134113E-4,0.01958281950823595,0.024331544000054887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3696236475655216E-5,
9.0,3.47867977239203,5.360564653632385,1.203868307048738,0.0,0.22871700422950791,0.2728123975131696,0.06942862579284419,0.11318675975745862,0.11861780177549226,3.8964131656638577E-4,0.011693729660103052,0.09931423232263784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.293792938588167E-4,
10.0,4.460576422626959,5.020260427624471,1.6464351158223742,0.0,0.22754552717907456,0.2670181597842297,0.0729461989947545,0.11282632696410023,0.11807691238891245,3.777956903892989E-4,0.006921935761524226,0.056715152555195464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.467427495436046E-4,
