"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,13.117963867934137,5.461107548949332,0.27828271687877865,0.0,0.19805910330025506,0.24121698626189125,0.12808944592067908,0.0,0.0,9.55334255237352E-5,0.04474523689626458,0.288000576886255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004606328696216873,
2.0,5.147795490602305,7.54683154561169,3.586339558222254,0.0,0.22182901929312096,0.28095314773820795,0.0771693204710426,0.0,0.0,9.54231891612347E-5,0.0033368106852451787,0.05411562423953277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.308748164325781E-4,
3.0,4.734993858141789,9.08674346371711,2.780571176799871,0.0,0.20876873191096867,0.29518308511475927,0.07554046754905053,0.0,0.0,9.82917420738502E-5,0.0032108491559401505,0.009804335833225238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1325434267944547E-4,
4.0,4.977464040664248,7.292540743790465,3.012893247638761,0.0,0.21484839425349958,0.29916849848828475,0.07656770627960828,0.0,0.0,9.613076761820861E-5,0.004435656956304377,0.007266723113309233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1906077264167404E-4,
5.0,4.680850830614458,6.770316860507679,4.382062630142252,0.0,0.22613054613040684,0.2879365509740648,0.07517298788157248,0.0,0.0,9.878003823592891E-5,0.0039777280559041275,0.008365058569388783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.871193451084494E-4,
6.0,4.309898872268252,7.820226512278032,7.639120916589834,0.0,0.20189171724529675,0.24774842538793748,0.07377898328567253,0.0,0.0,1.0006465026392614E-4,0.005589021096317103,0.03959735183873616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.367218324365717E-5,
7.0,4.725885989564914,9.330446247894757,0.711513085958007,0.0,0.20758838662090331,0.2137207348691493,0.07563295970630408,0.0,0.0,9.829794600632303E-5,0.007563474780303657,0.0834322557184008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01857981940244928,
8.0,4.311377231041825,10.74746259914473,0.16537085248474168,0.0,0.18375201872893027,0.29750513236722725,0.0737606261319358,0.0,0.0,9.929612780363885E-5,0.010096936718530491,0.013051663499861714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5455659678687814E-5,
9.0,5.088904804411796,10.688816999063416,9.666917179861723,0.0,0.16004908566395606,0.23362015826904506,0.07698855549072468,0.0,0.0,9.691225535604405E-5,0.010343568030508798,0.025303723630283374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.189795626177428E-5,
10.0,5.763835903115661,10.136476492121128,4.023451065069867,0.0,0.15272570153984144,0.043603847075025466,0.07991174731556235,0.0,0.0,9.419256822931693E-5,0.011519994182030889,0.17875129847845056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020830314771308716,
