"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,3.182975079018623,0.02284543925617517,6.13853367537393E-4,0.0,0.2719201937861821,0.08357410843158397,0.0953514425354665,0.2979936697608807,0.2999431300528577,6.237957630601124E-4,0.006304328120706985,0.6016998873342579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306150029196373,
2.0,1.403139729546048,0.22013525907617756,0.14576219537113655,0.0,0.2713911487949161,0.3037942021269052,0.08826502903373455,0.2978961181403841,0.3029671749826091,6.428356549570458E-4,0.0055842807828702015,0.005785887691692298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7078804437261274,
3.0,0.9152432099681149,0.7052273361782042,0.952866545013165,0.0,0.2645334031527725,0.29573576826882686,0.08641343413805468,0.29720041544155956,0.2994604488913027,6.507852345331076E-4,0.009522477807381167,0.00841674124624069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4264811279202887,
4.0,0.36613361317878756,0.23020733635978327,0.7309910071313842,0.0,0.2697642470202228,0.28964615707973296,0.08435012473715751,0.29796076290685874,0.29887583804120404,6.573645050171887E-4,0.005303679378520719,0.025203619730975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32597236804148644,
5.0,0.5317382657653453,0.6595802294961451,0.8420410464254459,0.0,0.27275435158145606,0.2948620726191511,0.08496688933238557,0.2973702366309879,0.29819805206287064,6.559873370916384E-4,0.008397756886224501,0.007231998419003538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22817675984424066,
6.0,0.4132237439123798,0.564929147367632,0.8182750337924922,0.0,0.26771506129346206,0.2934418542618874,0.08452716373785209,0.2975187554451796,0.2989196636543909,6.569891099436942E-4,0.006994626819027888,0.022839984863320978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4287143627878252,
7.0,0.28492909092064156,0.7651263919672653,0.5810489376183324,0.0,0.2743551199636558,0.29686638159222306,0.08405082408571159,0.2972472392591044,0.2992146405352431,6.586143513367236E-4,0.008467414896656695,0.013352823641768992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36171976565795555,
8.0,0.40112305250303354,1.1546640432654545,0.9479320489278811,0.0,0.2574971507310186,0.29665895187514657,0.0844821345604528,0.29493391839597355,0.3006404750784339,6.571945712240293E-4,0.025837455302430607,0.019950101944866808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6528222045314678,
9.0,0.3621348812978194,0.78069641223253,0.49630985942693656,0.0,0.27027572285193624,0.2773040652766493,0.08433751866775081,0.2972695542511351,0.3034186227591348,6.578770219830938E-4,0.007373601893382421,0.0744303508507501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0073906689900645,
10.0,0.3548624049896129,1.3350742744468953,0.6452646703741448,0.0,0.27173514516193353,0.2982780791894528,0.08430900203117513,0.29534262921824506,0.3009608612068997,6.578628125430536E-4,0.012261055591099478,0.015298693382104364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59219190874731,
11.0,0.29271573087277647,1.596158608117958,0.7845337586745337,0.0,0.24659051226637727,0.2953430270243815,0.08408019248809795,0.29473177848286286,0.30401687718460124,6.583208210213665E-4,0.013699146348022394,0.03420293695898903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1984889288767615,
12.0,0.3311134039817111,0.4153270725239429,0.6567882900980423,0.0,0.27384364138494355,0.2627824412317372,0.0842209206184656,0.2977912036406642,0.30098822720971485,6.580018136441319E-4,0.005632157294648337,0.07149316211426099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.662390571263518,
13.0,0.42227782732228136,0.6266603719892221,0.6785073815026459,0.0,0.2743966457958049,0.2998119791233154,0.08455933777559328,0.2974186497527735,0.30049923691293157,6.571265957153406E-4,0.00712091285073762,0.007410407931477173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484005375886984,
14.0,0.3700247813003953,0.5830364943543903,0.7471708115140261,0.0,0.266295111074819,0.29498271810778315,0.08436620569671203,0.2974535062241368,0.30155923806696244,6.578153540146922E-4,0.006831413950857769,0.019973673657054686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7348983944232284,
15.0,0.559215981939283,0.2794037886145676,0.5290827403771187,0.0,0.27780573956505894,0.29645637684693255,0.085069528117612,0.29784603448911706,0.2988968876308353,6.56091548129623E-4,0.005373959518102559,0.013094345581882905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2786244033804008,
16.0,0.39188269274213017,0.6760667863685763,0.5890053599375453,0.0,0.261205711913884,0.2996816794514443,0.08444669494601138,0.2967569117611041,0.3013998036757072,6.574320904665036E-4,0.04156409168910367,0.005882145631646167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5957007860272756,
17.0,0.38097999289013196,0.17705233979528648,0.6380473962237977,0.0,0.2730357658251468,0.2949368422115972,0.08440765739859907,0.2979253765357377,0.3236772384129235,6.576898985014045E-4,0.0054639772658328515,0.1009158802999421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8043624095317075,
18.0,0.31774714234310864,0.7230788987655024,0.6547456682599554,0.0,0.2708666198745647,0.29805388858400217,0.0841729697936066,0.29715766738119154,0.29948888597054424,6.582254663204724E-4,0.00979758667725128,0.006678292744507513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3736158114670575,
19.0,0.37223822130627426,0.44975283383222636,0.75144809653317,0.0,0.270173971796292,0.2873389024560793,0.08437311707906577,0.2977200407896727,0.30255026344013664,6.576307068982682E-4,0.005657036407502418,0.02750568239982597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8732695719022739,
20.0,0.2329646916572322,0.5832048014793817,0.7088405583352859,0.0,0.27358850210219315,0.29831709299875475,0.08385908288654066,0.2973086743160044,0.29945912808783715,6.591440211162772E-4,0.00786512580469069,0.008103918802885995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39355743811337257,
