"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,1.9600488196069394,1.7453080051625462,0.04899164416339777,0.0,0.008430776860175477,0.005549952258330752,0.04122270036046634,0.39842408030691473,0.4002407712578973,0.01356024280907126,0.314996355527482,0.5135170057464548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034949954786821245,
2.0,0.9214443134210122,0.42859350612037633,0.002456277472569105,0.0,0.00675075144297516,0.004200405022416962,0.039071953526207355,0.40017753160918795,0.40016221578064676,0.014002035178198072,0.35239427362282927,0.5137110216648838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019281344944943688,
3.0,0.7534215316180704,0.4965167193658938,0.016042012774206926,0.0,0.003605244060934598,0.005028014099441762,0.038743101031451295,0.40048615887198263,0.4000559400002253,0.014102015488814087,0.3847110812879448,0.5144950307023434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005411795666337729,
4.0,0.9234497844672472,1.0332264474483273,0.006722807739851314,0.0,0.001763454230531672,0.003098141792877472,0.03908094562380663,0.40097106032945495,0.4000192081372609,0.01418454884695973,0.3724613200223456,0.511887887789152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023916491350665123,
5.0,0.6928648988119368,0.8767559372511857,0.005211332307677047,0.0,0.0011021701695770913,0.0021163880563156577,0.038617236608989906,0.4003512185024379,0.4000199855965275,0.014154600694829026,0.3552126053757279,0.5109962567578767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014556648383600502,
6.0,0.7149683643178106,0.6579815434935711,0.02148300074616836,0.0,0.0016549216491467305,0.002314773892229127,0.0386632536473152,0.4006237040375933,0.40002177642573833,0.014098757940752134,0.36185207737622055,0.511962726925216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.072240251648916E-4,
7.0,0.7138391536747735,0.6954396564810216,0.03705926907432248,0.0,0.001565756160389877,0.0025119025777564923,0.038666329586159974,0.40046069050288396,0.40002341342237197,0.014051126602171164,0.37534395819051725,0.5127942601814574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.301700118580636E-4,
8.0,0.9057257371016655,0.7612827785696954,0.033877801332440255,0.0,0.0011450017117219913,0.0022327303654264673,0.03904461456482291,0.40059679561476186,0.40001971494493993,0.014124610967378807,0.3742420647346729,0.5119384798264535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.857218939345583E-5,
9.0,0.6994186335369543,0.8736948980775455,0.03934224319466348,0.0,9.204708453772806E-4,0.002785703372107962,0.038642034918738154,0.4007118367697074,0.40002260812096435,0.0140906633386329,0.3626046910544641,0.5117753418061475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4895180678709024E-5,
10.0,0.5866054781327464,0.9145586693704318,0.037281260472891486,0.0,9.655420905897269E-4,0.0014937343084415568,0.03840857208778454,0.4007735157850478,0.4000320290902496,0.014129782996802004,0.35932296686487925,0.5118106777504368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2676165412651835E-5,
11.0,0.7765252322423106,0.8931930119219904,0.05036287653690794,0.0,0.0012509951870638045,0.0015694274846267137,0.03879074076325769,0.400816820309424,0.4000320841129391,0.014113457572458014,0.36651813850231785,0.5122291437801867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0159133706654078E-5,
12.0,0.4477513672712133,0.6768609235680295,0.04369342523697729,0.0,0.0011962324101600194,0.0025120008338138564,0.038138527406526214,0.4003609271649388,0.4000257313467815,0.014181319207709396,0.3663504713863251,0.5123363630523173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13.0,0.5687217466807384,0.6361069587340772,0.026677990524116343,0.0,7.413515130703251E-4,0.001999423263657324,0.03837983574666934,0.40060413598678196,0.40001014991213657,0.014150723821277807,0.3736213476567403,0.5119538630600019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
