"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,7.804862502482694,6.797508345142089,0.03341557850083156,0.0,0.13290004105189032,0.022447448543265976,0.266502361933455,0.19323952743491,0.20002421988277747,4.008295179999069E-4,0.032222959918642616,0.5871408576897038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036081742446344525,
2.0,2.629635902063363,9.047444126495876,0.5931362532348027,0.0,0.18411381491249304,0.18463058930672727,0.2007380108156316,0.18579802117885166,0.19946879818262633,4.464603521640275E-4,0.010154739404015328,0.20563549896091918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.671213768413666E-4,
3.0,2.291679356991874,7.658558085602821,1.2175388318493663,0.0,0.20099826451751138,0.2043611224649689,0.19760308474340138,0.18903831778057092,0.19789068157164028,4.5049752975684457E-4,0.00510264247475665,0.10118603337319056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7037330790069168E-7,
4.0,3.3590934292000125,5.768089569382431,0.9804333614065989,0.0,0.21285910867006316,0.24402665974569968,0.20747048690564532,0.18942611119700684,0.19920342804655503,4.3303356956923643E-4,0.006538086269892093,0.04908627584182563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.973377456390302E-9,
5.0,2.3404814633521984,8.660196667932084,1.5571518173271577,0.0,0.19485873954623806,0.23092652272613634,0.19816997579146955,0.18881560782982104,0.19797065836625516,4.4741821481807765E-4,0.006399626154824039,0.05577362822655799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.409889454428077E-9,
6.0,2.749752298521095,6.170643057610852,0.36832733136074336,0.0,0.20583577397125785,0.2019642164001759,0.20176735100720644,0.19085095839881688,0.19978215495260682,4.3719530781637106E-4,0.006883680238526815,0.07787772286370338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.943659612659714E-10,
7.0,1.8910711264024038,7.520323037665262,0.734697878826407,0.0,0.20657936909473718,0.2479124483913268,0.19385681682481648,0.18689068409786624,0.19942721377089054,4.5824404866073317E-4,0.005084866561404208,0.04807894065880663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3189515604603338E-11,
8.0,2.1967610838008422,8.46752429485424,0.9092092646872417,0.0,0.2055112953487496,0.2328901896246706,0.1965920651595732,0.18464425363802955,0.1994183639481695,4.5497146761741086E-4,0.006078558769290711,0.04338027813422139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.581524186964791E-13,
9.0,2.13864169589721,7.375450052321627,1.2437683847836003,0.0,0.20607387988329637,0.20405082496270613,0.1961236583497612,0.1867890784490238,0.19843192932615197,4.522905671208479E-4,0.0071047610601106615,0.1167681800841633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4743296462266016E-14,
10.0,2.6648641752256177,6.475632368986014,0.973576692026104,0.0,0.2125042235232578,0.23605876386696198,0.20094147539455354,0.19233321278266613,0.19873189484358061,4.4373824114641767E-4,0.004960211611573359,0.05374414931978627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11.0,3.4500002279954045,4.929909341068299,1.6502666076452148,0.0,0.21857814622015337,0.2458845360217059,0.20848087263449036,0.1941998752182308,0.1989815396140799,4.2884459182774187E-4,0.005723072863972653,0.038948304518796696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12.0,2.282592599618458,7.205870146416282,0.7131035318997241,0.0,0.20851514495547516,0.2604236965113079,0.19738407889349538,0.18522054725307477,0.1996264024602574,4.5281755208685773E-4,0.006581890148407068,0.023588509261138372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13.0,2.7968261906629683,7.450020789911471,1.097051845476781,0.0,0.20851099514139637,0.24056540338099922,0.20234467521076108,0.1880762947921503,0.1983482998979045,4.432067637877885E-4,0.006071492338972943,0.05254489505763913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14.0,2.123420636749948,6.83622840508602,0.9903528500958826,0.0,0.21303051150668498,0.22821246691251182,0.19604186878702556,0.1930577583235614,0.19941036635728462,4.5197420727452356E-4,0.005148515716550163,0.04352077061800355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15.0,2.011979473038474,7.813637412137576,1.2555751991829445,0.0,0.1988187309443704,0.23203498424828395,0.19499183075701745,0.18691914537450688,0.19938602177801565,4.57406119799974E-4,0.008419990438106614,0.03038803163525454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16.0,3.2393312034721435,5.909143202670469,0.7887463441130491,0.0,0.20738539096712733,0.19346678835022146,0.20641438808005508,0.19299573240025206,0.19956226402256363,4.3295270124044024E-4,0.008071735577144521,0.09662408391834133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17.0,2.4070902246739325,6.506341922616143,0.9186619601463932,0.0,0.2103112771187394,0.22636234381333778,0.1985231146860584,0.19067797894733116,0.19904578847941962,4.469518923603317E-4,0.0056626336893851725,0.033600079478686415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18.0,3.0846061175233253,6.697035390380642,0.6683136311036917,0.0,0.21012368731438832,0.2174547914550257,0.20498870554116877,0.18542635129051935,0.1994971403478603,4.351574305772242E-4,0.0060583245870902,0.04309371678159028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19.0,2.853482719791366,10.22433373371317,1.3484478105860387,0.0,0.1923575656119923,0.20043159052528708,0.2027248326281532,0.186162450507218,0.19892458105058997,4.399637393759439E-4,0.008649606558155774,0.06441265532125598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20.0,2.748891518150301,6.207157209453428,0.6751448351185684,0.0,0.2096856515307039,0.19751991997723342,0.20210704615743677,0.18846488603219966,0.19984446377618795,4.4576333492727635E-4,0.007977587442256122,0.11730938627450002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
