"Mean size of fish species in cm, weighted by fish numbers in the catches, and including first ages specified in input."
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,35.157288,4.5089273,6.4753685,9.021862,NaN,9.609245,NaN,6.464187,2.2900927,2.3799946,4.587469,7.447316,1.5406358,3.3937607,7.698951,50.499805
2.0,34.003567,4.119253,5.912006,6.875582,NaN,21.46591,NaN,6.3105054,7.136655,2.7398512,7.995804,9.975937,1.3969604,7.758945,5.4664063,36.725777
3.0,33.041794,3.8548045,5.6298995,5.3852544,NaN,16.204033,NaN,6.362502,9.483773,3.1837182,11.414522,11.951093,2.574893,12.792305,12.113271,37.16113
4.0,30.281023,4.1911745,4.32143,5.9943204,NaN,17.563051,NaN,7.0492244,9.699345,2.7579472,12.664401,13.560824,2.9764924,10.469725,12.217912,44.214794
5.0,26.941887,4.4681034,7.9346533,5.491483,NaN,17.986906,NaN,7.9274025,13.195968,2.1098325,13.416641,14.843691,3.1254516,7.663301,10.631687,46.360523
6.0,23.3692,5.2295556,8.787455,4.730495,NaN,19.639921,NaN,8.489214,14.995613,1.8884885,16.431358,16.174974,4.439024,9.8982725,8.433621,39.20349
7.0,25.680437,6.0455527,5.935024,4.956865,NaN,23.67999,NaN,7.988531,14.201183,1.9089568,18.721626,17.23499,5.6459436,10.948792,6.684515,36.89434
8.0,25.949043,6.2708454,3.674054,6.7677107,NaN,14.905171,NaN,8.780986,13.626048,4.0004225,20.516922,17.703226,7.2129803,8.213159,7.4769826,39.08672
9.0,25.875803,5.541352,3.4782224,9.136131,NaN,15.842022,NaN,9.143355,12.749371,5.510027,22.197634,13.30655,7.235802,5.138002,7.8046594,41.029053
10.0,26.617743,6.0275135,6.273074,7.032311,NaN,18.442232,NaN,9.000358,14.317568,4.02594,23.65684,13.087073,4.6254,5.947896,6.679605,39.80966
11.0,23.95916,6.100101,4.8398633,7.613263,NaN,6.622595,NaN,9.891325,14.194024,3.7141352,5.7523284,14.869133,3.393933,10.325252,9.060746,38.903168
12.0,24.195482,6.1909747,10.82012,6.707852,NaN,10.27832,NaN,10.666558,10.112144,6.692405,22.724167,15.2053,3.5478492,8.373799,4.5844407,39.373436
13.0,23.18144,6.4520745,14.150231,6.9377985,NaN,16.918652,NaN,9.54976,14.906038,4.470188,3.3293257,11.31067,6.6029835,11.02276,8.501173,40.142384
14.0,23.601967,6.5038166,10.857905,7.881261,NaN,17.970352,NaN,10.854096,17.636484,2.3189425,2.9410517,7.0414557,3.8039455,8.676036,10.433231,40.984257
15.0,23.91431,7.159061,11.843519,5.7877855,NaN,20.18116,NaN,12.710491,13.599614,2.433953,3.173154,8.952435,3.7996185,10.5581,5.7916555,39.24352
16.0,25.082626,6.061111,6.1954374,4.490738,NaN,17.894636,NaN,10.234314,12.424837,1.6709164,8.177503,12.695352,4.264763,8.596251,9.7364855,39.457386
17.0,24.264595,6.301146,8.068539,5.89291,NaN,14.710793,NaN,10.958564,13.531016,2.5758743,17.077496,14.944182,4.6854467,9.94999,10.7402115,38.676178
18.0,23.167747,6.4302573,10.783401,7.163776,NaN,11.068237,NaN,10.411111,16.278566,2.3052406,10.319426,11.632253,4.5850363,8.027338,7.168584,39.7047
19.0,23.355892,6.374842,6.436866,7.8648114,NaN,3.8786674,NaN,9.160692,15.012064,3.9236512,16.313965,10.107949,5.98601,4.7281713,9.726915,39.790012
20.0,23.581797,5.987078,10.945259,4.291164,NaN,10.374257,NaN,9.271775,10.309376,6.373148,9.657204,11.8291,4.6946235,11.196081,8.05802,39.536568
