"Mean size of fish species in cm, weighted by fish numbers, and excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,18.084051,1.8507745,2.8391407,3.2525694,1.9395164,2.1984644,1.1588506,3.8110914,1.8644282,1.2879734,2.0429606,5.040452,1.0889485,2.909627,1.9762629,40.029377
2.0,16.062845,1.8736961,1.9769377,2.2333999,2.4957247,4.0309324,1.5591792,4.5153613,2.819253,1.0842105,2.5276446,8.633121,1.1373068,2.9237685,3.8224514,30.697773
3.0,16.24724,1.866659,1.78707,1.8250303,2.6963737,4.5189657,1.985911,4.179205,4.317505,0.9345159,2.48538,10.389039,1.8644354,3.094022,6.5519032,32.917557
4.0,15.014224,2.2750497,2.312256,2.013882,4.110673,3.6729894,2.4986517,4.7229915,3.3548512,0.96055424,1.6509627,11.083611,2.8231144,2.9187486,2.5212069,38.859806
5.0,14.505035,2.6835763,2.1586487,1.726073,2.8103757,3.4066734,2.955929,4.9942107,4.3016477,1.0972315,1.8461314,12.089466,2.9074996,3.0459466,2.0831754,37.725403
6.0,13.729779,3.5232215,1.8494791,1.9094915,2.5180182,3.17744,3.7497616,5.408936,5.510152,1.2802203,1.927255,13.192956,2.047356,3.0484602,2.9002767,32.23347
7.0,13.568798,3.4085581,2.3767226,2.1003926,3.4014292,2.9924507,3.1456645,4.5864515,5.774433,1.1177839,1.4962199,12.44599,3.0889895,3.1001616,2.473217,32.361046
8.0,13.79374,3.4621654,3.2184956,1.8716524,2.6562586,3.6011138,2.5972097,5.5046997,4.6570115,0.84354407,1.2572975,13.060543,1.9486359,3.676188,2.445224,35.169308
9.0,14.520044,3.2492697,2.461554,1.9596292,3.4115431,3.2209525,4.971914,4.438481,5.223964,1.0481595,1.3767469,11.660463,3.8482063,3.0903206,3.9124663,35.377483
10.0,14.399795,2.5863302,2.3610992,2.0558808,3.2643497,2.0643911,2.748763,5.0863304,4.5883465,1.122011,1.3033588,8.1855755,2.073881,3.4517522,2.779076,33.49364
11.0,15.627374,2.3835835,2.2894034,2.0399647,2.3751473,2.6418898,3.380647,5.561296,5.9298763,1.258203,1.2911673,9.092721,2.9384758,3.7643883,2.6276205,32.78067
12.0,16.687397,2.694468,2.285237,2.1427407,3.1368315,1.950805,3.2272747,5.3993764,5.881306,1.2031139,1.6589985,6.3811145,2.3696713,2.9549701,2.226208,33.160778
13.0,15.644256,3.5404418,2.5242457,1.8673042,3.2590716,2.767305,2.5026357,5.5617704,7.3275633,1.2960371,2.003514,7.808747,2.181184,3.0012493,2.7151566,33.82793
14.0,14.850338,2.6742449,2.6962526,1.798912,3.2451656,2.3842235,3.6755857,5.3097124,6.4922853,2.3380594,2.0856998,5.7111115,2.4967272,3.0122628,2.6392503,34.29403
15.0,14.988223,2.1392283,1.79137,2.0421216,3.3455667,2.1208665,3.2324812,5.4409366,6.759555,1.2650435,1.79645,5.3402586,1.7795719,2.9401743,2.5804253,34.525463
16.0,15.795818,2.735047,2.606781,2.0156012,3.8680549,3.053082,3.3762217,5.4197574,5.640354,1.7065779,2.552745,5.371694,2.7597792,2.9778104,2.5996823,32.877316
17.0,16.152157,4.0667467,2.381144,2.131938,3.2748713,2.5496147,5.810624,5.3198886,5.5536427,1.1593741,2.4646733,1.6649411,2.8238084,2.923329,3.208958,33.76734
18.0,16.71951,2.807285,1.8855207,1.8407458,2.9399936,4.050451,2.4597418,4.855549,5.663737,1.4179257,1.3134797,4.9727287,2.473507,3.0420163,2.1911628,33.874958
19.0,18.07123,3.5377018,1.8236643,2.3014414,2.3864338,3.110749,3.3943546,5.467088,5.335669,3.5271928,1.3089192,7.0186915,2.1172743,2.9543397,3.3667655,33.851063
20.0,18.855808,2.5204158,1.9677793,2.2296395,2.8850923,3.9187396,2.622158,4.074898,5.8177695,1.3934246,1.8174611,5.877519,3.1217043,3.0263226,4.182894,33.365498
