"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,33275.715,4472.4536,470707.7,1086685.6,8994.381,10263.493,34851.28,64775.49,47608.312,386781.34,72347.89,1895879.0,251257.0,2.6751972E7,14190.689,5335.5195,52021.703,29433.375,16463.96,17559.355,39341.47,9402.784,457910.2,272108.8,91600.0,91600.0
2.0,22768.854,3079.2573,1330696.1,2.3218916E7,3772.6348,49234.047,17875.98,70771.12,24202.166,294177.16,263415.6,5038307.5,47929.613,1.0788374E8,5168.6626,3548.3845,53219.2,29225.908,15947.398,17261.234,37955.32,9101.973,451288.25,268434.0,91600.0,91600.0
3.0,15195.825,1276.442,1205332.2,5.864663E7,3652.0273,379784.2,10572.526,28510.744,16654.129,251238.92,334253.94,5299813.5,12815.423,1.5326082E8,839.1639,3211.1172,51153.547,29987.79,16952.51,17112.916,39800.91,9348.098,445036.25,266443.38,91600.0,91600.0
4.0,10078.701,1011.6098,3634475.8,7.1435944E7,3215.536,1433788.6,1547.995,15271.197,33536.07,264976.8,342618.53,3897652.0,7030.0425,2.7302547E8,627.1835,3264.381,51432.473,32140.717,17324.836,18015.105,38319.867,9613.781,454662.78,264137.53,91600.0,91600.0
5.0,6937.605,779.30316,5365413.5,1.19289384E8,4108.71,7125292.0,15.853364,11912.712,48141.383,184656.58,292151.06,3049181.8,1852.388,8.3609395E8,1363.367,3114.889,50703.336,30185.596,16756.383,17351.287,37669.48,9348.676,455215.8,265129.7,91600.0,91600.0
6.0,5262.481,269.886,1.7884654E7,2.8434096E8,2673.0356,2.2202802E7,3.13762,5249.3013,30574.805,108210.36,276448.3,2296423.8,1059.1917,1.9637405E9,1928.2382,2894.8267,52573.766,30323.074,16568.242,17282.217,38353.49,9495.598,454667.56,268450.12,91600.0,91600.0
7.0,3575.8774,143.34528,7.742392E7,7.507209E8,5008.602,2.9916126E7,3.0318654,2004.0342,19917.541,63587.54,223480.66,1550998.8,514.6346,3.7086013E9,3042.8303,2872.6726,52169.863,29312.557,16502.82,17234.322,39030.316,9286.089,456457.7,269976.12,91600.0,91600.0
8.0,2679.915,13.620702,8.6051464E7,1.0030262E9,9929.045,9.366738E7,4.420234,944.90924,10135.024,135393.23,163768.22,849341.4,301.1426,9.184023E9,3956.079,3081.436,51419.95,30727.854,16828.66,17369.818,38299.11,9219.673,455400.34,266255.25,91600.0,91600.0
9.0,2157.4197,10.581454,1.0907216E8,1.4174525E9,11240.604,2.3427403E8,6.5120316,202.25764,4341.862,147696.5,105594.02,612444.8,954.8505,1.963664E10,5574.724,3257.7239,51889.88,29711.979,16462.19,17279.656,38979.887,9238.049,452816.9,268105.2,91600.0,91600.0
10.0,1772.215,10.369487,2.1381614E8,3.9857528E9,12370.446,3.2780362E8,8.192215,201.59523,8310.958,337787.16,77284.02,784856.2,1211.0105,2.389899E10,6912.8164,3361.8318,52752.72,29172.594,16660.502,17051.24,39736.406,9334.929,457000.66,271871.22,91600.0,91600.0
11.0,1630.2007,15.370138,5.881381E8,7.988497E9,5443.3394,4.446471E8,4.7279105,76.36867,7519.807,216230.75,17270.842,1022822.8,1568.9275,3.5596902E10,7734.635,3483.7407,52079.703,29280.71,16665.877,17310.857,39778.074,9294.303,454361.28,270163.6,91600.0,91600.0
12.0,1344.1626,36.468872,2.9705969E9,3.4142493E10,9655.589,1.0495474E9,1.4355543,45.055206,2892.8977,618941.6,21398.752,1005395.8,703.3886,1.709476E11,3566.3755,3624.1243,51685.387,30675.824,17197.627,17772.166,40011.047,9365.874,456204.22,268616.9,91600.0,91600.0
13.0,1193.9786,50.088932,4.670416E9,7.1008846E10,5546.729,2.8753388E9,0.08235466,80.69897,5746.453,317082.56,45429.44,713696.8,2207.46,2.8932283E11,4079.4075,3705.1624,51710.234,29768.357,16360.526,16670.22,37638.46,9062.807,448950.47,265484.3,91600.0,91600.0
