"Mean Trophic Level of fish species, weighted by fish catch, and including first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,4.25118,3.3575995,4.118251,4.3002234,NaN,4.462782,NaN,3.331277,3.8720431,3.7936022,4.074157,3.0541203,3.5228016,4.404559,4.1149583,4.513704
2.0,4.2920423,3.3009865,4.090181,4.4818006,NaN,4.375194,NaN,3.3437915,3.8031304,3.9269643,4.149946,2.772422,3.526707,4.566826,3.625034,4.517333
3.0,4.2904305,3.3543088,3.8732815,4.3400807,NaN,4.118921,NaN,3.3309608,3.7109075,4.0492845,3.9970176,2.849296,3.5179405,4.513145,3.5868342,4.4401007
4.0,4.30432,3.3072233,3.7627099,4.381513,NaN,4.2112074,NaN,3.3127358,3.6221778,4.171049,4.034236,3.0018709,3.317265,4.413959,3.7363906,4.424346
5.0,4.297309,3.2700005,4.1244693,4.266051,NaN,4.45369,NaN,3.3159308,3.6454031,4.0640626,3.9639127,3.5344875,3.0987859,4.483861,3.9871092,4.4106336
6.0,4.3280134,3.3246756,4.103433,4.284711,NaN,4.2820024,NaN,3.3703086,3.5210907,4.0224214,4.212402,3.512059,2.919501,4.435764,4.003609,4.439228
7.0,4.3344927,3.333904,4.1060505,4.2902637,NaN,4.411784,NaN,3.3003516,3.5550592,4.075695,4.0916977,3.596804,2.7657237,4.484101,3.9828238,4.42983
8.0,4.321002,3.3268337,4.146087,4.26228,NaN,4.235053,NaN,3.2963493,3.3773837,4.0490007,4.0384283,3.820699,2.9879606,4.3732595,3.948936,4.41199
9.0,4.347927,3.2923107,4.2359705,4.419548,NaN,4.377933,NaN,3.2643447,3.3345475,4.1921616,4.0664988,3.9954295,3.4373407,4.549316,3.9819093,4.447212
10.0,4.3166375,3.3135777,4.2286973,4.370875,NaN,4.371731,NaN,3.3153148,3.5057728,3.8454874,4.171924,4.061338,3.2154958,4.4432497,3.889369,4.4483767
11.0,4.3247457,3.3808336,4.0368776,4.417306,NaN,4.607701,NaN,3.2942927,3.472875,4.0538955,4.2750974,3.8790267,3.1879387,4.6336946,3.920314,4.439077
12.0,4.3166103,3.2777772,3.8281791,4.3229136,NaN,4.292801,NaN,3.3045824,3.5520308,4.162685,4.1610427,3.984188,2.8984191,4.4932966,3.9354124,4.435821
13.0,4.3116302,3.3550303,3.7775729,4.3682146,NaN,4.249688,NaN,3.312293,3.5975595,3.975336,4.4568386,3.8884444,3.281433,4.4790053,3.735056,4.4128695
14.0,4.358171,3.3192694,3.933301,4.3530493,NaN,4.2888956,NaN,3.341812,3.5555403,3.7138834,4.294996,3.279598,3.4233584,4.497431,3.8670883,4.450333
15.0,4.30283,3.294332,3.945515,4.267141,NaN,4.244781,NaN,3.3223825,3.3740866,4.2349668,4.152076,2.8540106,3.232065,4.4000096,3.9320557,4.399557
16.0,4.332677,3.3200974,4.042074,4.275579,NaN,4.2791862,NaN,3.2971706,3.3620658,4.352081,4.1618996,3.3556032,3.006943,4.4680953,3.831762,4.3813105
17.0,4.341972,3.348117,4.15241,4.3942394,NaN,4.361907,NaN,3.3382292,3.353169,4.1765614,4.381796,3.821016,3.2299945,4.511117,3.9347658,4.4318724
18.0,4.2976084,3.2909307,4.1419816,4.265182,NaN,4.214989,NaN,3.363783,3.3107247,4.1275916,4.5403905,4.0928326,3.490161,4.432529,3.8442218,4.4005156
19.0,4.2854376,3.3335862,4.131809,4.3003993,NaN,4.200436,NaN,3.297875,3.3975506,4.18806,4.2583027,3.9037406,3.0929666,4.315179,3.9490778,4.390656
20.0,4.3252406,3.3260577,4.155229,4.3384547,NaN,4.3030877,NaN,3.3680985,3.4455457,3.9983828,4.289359,3.7151713,3.3030126,4.645748,3.940879,4.440825
