"Mean trophic level of fish species by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,NaN,3.4755237,3.6506233,3.8506603,3.4322586,3.6776543,3.2755625,3.5507324,3.1258006,3.5580435,3.5125659,2.765946,2.9832542,3.485896,3.382665,NaN
1.0,6.0,3.3348012,3.4478996,3.6546953,4.046859,3.5391464,3.7714303,3.5408823,3.5617537,3.4519682,3.6542158,3.61097,2.8133938,2.853645,3.9527278,3.538468,NaN
1.0,12.0,3.786583,3.49917,3.947163,4.180541,3.6019683,4.162766,3.4804397,3.7017424,3.4005566,3.8041954,3.3975463,3.0277274,3.0354652,4.2853346,3.0187957,3.6971965
1.0,18.0,4.0639277,3.2782023,3.9768045,4.2755947,3.8501453,4.2322655,3.3825378,3.3302274,3.3440228,3.8550246,3.7482784,3.405599,3.5546672,4.5047655,3.3681946,3.9393663
1.0,24.0,4.058494,3.3342097,4.1235943,4.466885,NaN,4.245767,3.315068,3.2885432,3.473054,3.8144841,4.070053,3.7924979,3.631481,4.583027,3.7215593,4.1904516
1.0,30.0,3.9724364,3.370205,4.051754,4.6072598,NaN,4.5732527,NaN,3.3470588,3.6574461,3.882099,4.093112,NaN,NaN,4.584254,4.1994853,4.2169642
1.0,36.0,4.139032,3.3603578,4.1147876,4.6226983,NaN,4.5980725,NaN,3.35171,3.689837,3.852214,4.177344,NaN,NaN,4.538442,NaN,4.3215504
1.0,42.0,4.168687,3.3519433,NaN,4.872897,NaN,4.5114455,NaN,NaN,3.7499173,NaN,NaN,NaN,NaN,4.8008347,NaN,4.300674
1.0,48.0,4.2664976,NaN,NaN,4.5919547,NaN,4.6249113,NaN,NaN,3.9302135,NaN,NaN,NaN,NaN,4.6215987,NaN,4.39684
1.0,54.0,4.333495,NaN,NaN,NaN,NaN,4.639266,NaN,NaN,4.102493,NaN,NaN,NaN,NaN,4.784091,NaN,4.3609557
1.0,60.0,4.318992,NaN,NaN,NaN,NaN,4.6821585,NaN,NaN,4.147714,NaN,NaN,NaN,NaN,4.528815,NaN,4.4050074
1.0,66.0,NaN,NaN,NaN,NaN,NaN,4.6910005,NaN,NaN,4.222221,NaN,NaN,NaN,NaN,4.834788,NaN,4.495934
1.0,72.0,NaN,NaN,NaN,NaN,NaN,4.794612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.8887258,NaN,4.479927
