"Mean Trophic Level of fish species, weighted by fish biomass, and excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,4.205939,3.383984,3.754916,4.146123,3.5604303,3.9718041,3.3767807,3.4834213,3.3845146,3.7405484,3.7553556,2.7483087,3.3108544,3.4930277,3.477059,4.5062127
2.0,4.2574306,3.4107215,3.7508414,4.1067057,3.6025884,4.35673,3.3454874,3.4815812,3.6233969,3.8859665,3.8599439,2.6580193,3.3304672,3.8012984,3.5463002,4.495215
3.0,4.263666,3.3678682,3.8264341,4.1250143,3.635578,4.0352182,3.4082706,3.4240294,3.4698668,3.9583423,3.9032416,2.76948,3.315786,4.0743036,3.5977645,4.4614205
4.0,4.245151,3.3141477,3.6963334,4.0325084,3.7219582,4.199619,3.3626194,3.4015164,3.4094017,3.9735813,3.7713468,3.02278,2.9631035,4.0077467,3.7959347,4.415679
5.0,4.2244954,3.3415673,3.7689087,4.0292697,3.6146226,4.185515,3.2893891,3.3491824,3.3742352,3.954776,3.9437761,3.2521958,2.7170866,3.7956657,3.743154,4.4283853
6.0,4.2338495,3.326975,3.6739206,4.1012073,3.5589375,4.185339,3.3313086,3.3289592,3.319432,3.933587,4.021172,3.3921485,2.773141,3.9422462,3.7125635,4.4222484
7.0,4.264881,3.2617054,3.817477,3.916163,3.705085,4.3414254,3.355648,3.316925,3.3018174,3.9078782,3.9565692,3.6211596,2.7776012,4.018009,3.6056974,4.422126
8.0,4.2524495,3.271761,3.8063052,4.0176935,3.6436212,4.1949344,3.344907,3.34942,3.3372774,3.8683555,3.9254305,3.7983975,2.731022,3.834395,3.6376421,4.4066305
9.0,4.2369347,3.3494685,3.7193773,4.1607256,3.6786346,4.06868,3.3619204,3.3858197,3.3549755,3.8070521,4.066754,3.3883805,2.824943,3.5384407,3.5781624,4.37075
10.0,4.248279,3.3132846,3.8923068,4.1890197,3.6554267,4.151084,3.3268347,3.3815823,3.333668,4.0886555,4.166915,3.2629774,2.7354333,3.6685498,3.5743582,4.391548
11.0,4.2356973,3.3052387,3.7987056,4.1647625,3.4804864,4.001832,3.3700404,3.4047244,3.3842175,4.0047956,3.904861,3.3051715,2.9310577,3.9262846,3.5390959,4.414312
12.0,4.248618,3.3083153,3.8866482,4.1487904,3.6376548,3.998961,3.356245,3.3864648,3.3899496,3.943338,4.306933,3.4865098,2.8483312,3.8260622,3.5215085,4.4119077
13.0,4.2477884,3.2719903,3.7754533,4.069735,3.4986544,4.1797667,3.4140046,3.4034188,3.355315,3.7901216,4.0429626,3.4196491,3.1862912,3.9799364,3.4966953,4.443999
14.0,4.229722,3.257843,3.7468033,4.097278,3.5903645,4.064755,3.3611774,3.3664017,3.405224,3.6325202,3.96511,2.794356,2.8019793,3.8299332,3.7160566,4.4260907
15.0,4.2249103,3.3001478,3.9827948,4.10008,3.5622394,4.2204266,3.3767965,3.3512402,3.3434925,3.947149,4.015388,2.8054216,2.7458472,3.9561598,3.5599096,4.4117866
16.0,4.2067003,3.2884881,3.721227,3.9908352,3.540878,4.286539,3.4159768,3.3875222,3.4514322,3.9990969,3.887519,3.3868804,2.6554158,3.7962332,3.5137455,4.387769
17.0,4.1865797,3.285523,3.5352123,4.020016,3.671,4.3237257,3.269854,3.3852289,3.3636632,3.8026102,4.217406,3.2263408,2.7823353,3.8631272,3.6621897,4.3856077
18.0,4.1877866,3.3102858,3.7557638,4.096919,3.6561003,4.200955,3.3918664,3.3731215,3.3972378,3.6659627,3.9526663,2.8388467,2.60735,3.707936,3.667391,4.37915
19.0,4.1947417,3.2769585,3.7022257,4.125782,3.6431503,4.1152296,3.348666,3.3695982,3.412925,3.8642778,4.0258374,2.5664132,2.7256434,3.500534,3.5558689,4.3631377
20.0,4.232403,3.2824354,3.871687,4.085532,3.502807,4.2293983,3.388322,3.3739061,3.4814951,3.9469295,3.951398,2.672402,2.7309072,4.0074973,3.6170588,4.4045873
