"Biomass of prey species (in tons per time step of saving, in rows) eaten by a predator species (in col). The last column reports the biomass of prey at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","Prey","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,lesserSpottedDogfish,0.7919385,0.0,0.0,29.006306,0.0,5.1788974,0.0,0.0,21.195402,9.787589,14.681185,0.0,0.0,23.294159,7.43099,0.0
1.0,redMullet,16.142677,1.2674855,64.08826,60.930763,4.3955207,2.202284,0.047637094,4.566837,10.618945,58.850487,25.82574,0.4012002,19.953056,74.00884,7.960533,6.3067875
1.0,pouting,176.69734,0.0013755979,446.5441,5487.716,28.458143,91.279175,0.020974448,3.2998757,3.9863036,1154.2245,361.84576,116.92474,250.41293,5367.893,0.0,81.75548
1.0,whiting,65.77888,0.0010251788,384.12134,11263.388,26.59288,272.61926,0.056072682,14.366557,8.636227,1367.0217,417.20035,21.241257,543.35004,11808.644,0.0,46.59954
1.0,poorCod,338.4907,0.0,99.25439,353.766,16.338486,7.5886106,0.01769391,0.13287602,0.72611827,396.4662,89.8357,1.813503,10.755152,350.08603,0.0,58.43742
1.0,cod,2.6553466,0.0,16.324083,43.951946,1.7476655,3.1473103,0.0,0.107174665,0.58468544,55.089977,33.4491,2.3496702,10.072305,194.88812,0.0,1.8226407
1.0,dragonet,262.49725,4.712855,348.79956,837.3532,15.653756,20.31938,21.575228,10.102792,87.68341,447.89728,101.344315,26.47575,201.93317,625.65857,105.02032,39.00891
1.0,sole,79.66747,2.0648408,415.57343,2610.2786,8.579514,14.237735,0.038106572,13.147119,112.36582,236.99399,48.306175,3.1616368,48.409885,285.82123,6.6435184,23.893883
1.0,plaice,161.71361,1.9234309,322.44193,1407.2716,29.682558,6.2483788,36.510433,27.366106,73.73956,482.93164,46.790287,318.25586,100.07531,347.40387,13.192427,19.070148
1.0,horseMackerel,452.09116,0.8027322,2135.3188,12105.943,47.372265,343.47183,13.433105,30.25902,62.896603,3551.3818,428.06635,12.427854,1248.2814,12238.292,0.0,154.063
1.0,mackerel,60.5043,4.36436,597.842,933.5843,32.299664,104.66163,2.6642487,15.603227,2.0058208,497.794,263.2116,230.73785,178.69202,1962.941,0.0,21.66842
1.0,herring,168.14775,0.0,73.48782,285.55627,15.263922,25.013401,0.0,0.0,15.904204,731.4823,116.001434,714.42664,365.073,8900.004,0.0,38.15611
