"Mean abundance (number of fish), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,4.3281818E8,1.7044663E10,3.9191344E11,1.03259334E12,1.2506006E10,9.505296E9,1.30612216E11,7.411031E10,4.5042034E11,4.5085323E12,4.3533972E11,3.0108423E12,8.57017E12,9.907137E12,9.052509E9,4690864.0
2.0,3.4673674E8,9.6564E9,1.3700272E12,2.2347757E13,1.1968282E9,1.4543153E10,5.8824503E10,5.7120764E10,3.080297E10,2.9237057E12,4.0031175E11,2.3535506E12,9.3467476E11,2.6660322E13,2.2103084E9,6690725.0
3.0,2.577532E8,3.5893174E9,1.1546853E12,1.2423793E14,8.2394944E8,4.7198863E10,2.6048481E10,3.0816115E10,7.112977E9,3.0748904E12,2.9299268E11,1.3157108E12,5.998964E10,4.7345975E13,2.15141E9,6238082.5
4.0,2.624451E8,2.189698E9,2.601426E12,1.9450818E14,4.158387E9,2.3812484E11,3.0814144E9,1.7004511E10,9.568916E9,9.584407E12,2.0102663E11,7.3351076E11,1.906612E10,2.5322515E14,4.87503E8,4605870.0
5.0,1.955218E8,9.1868966E8,2.8043022E13,1.0234353E15,5.899361E9,3.2830174E11,2049896.5,6.6689116E9,5.2158925E9,1.19753E13,2.7195112E11,3.7974727E11,4.689196E9,3.2612982E14,4.160341E8,3972273.5
6.0,1.31578424E8,3.0375286E8,2.4036547E13,3.0142008E15,3.4286756E9,1.0719399E12,2888103.8,2.4429806E9,6.901698E9,1.4919548E13,1.2275323E13,2.3845796E11,2.2057393E9,1.1722712E15,6.7689485E8,4792835.5
7.0,9.26249E7,8.622176E7,7.581034E13,5.815302E15,2.41618E10,1.7450234E12,68284.29,6.058119E8,2.5387914E9,1.1648769E13,7.8844443E12,1.3700923E11,5.2029517E9,2.1593689E15,1.158083E9,5116852.0
8.0,7.0048024E7,2.9254036E7,1.1258169E14,6.440389E15,1.8227501E10,3.4536948E12,18841.371,1.7811723E8,1.2007185E9,8.205008E12,8.7083644E12,1.7379915E11,2.7586486E9,1.5267536E16,2.6937044E9,5004858.5
9.0,4.883691E7,1.1034914E7,9.5534166E14,2.6442196E16,1.2034374E10,1.7921636E13,329327.47,9.8895816E7,6.207742E8,5.147734E12,2.1857522E12,6.6985046E10,2.0250877E9,3.3920365E16,8.888421E8,5341432.0
10.0,3.326876E7,3.5719544E7,2.925509E15,5.0729263E16,8.5312297E9,1.895149E14,765435.94,6.116625E7,3.6649846E8,5.994381E12,1.6584414E12,1.0291314E10,3.3463928E9,1.0886216E16,1.5932778E9,5429335.5
11.0,3.2960342E7,1.1575417E7,2.5719016E15,1.3917169E17,6.459101E9,3.815225E14,776247.06,3.8923132E7,8.7090906E8,3.4687028E12,1.2230146E12,3.0800833E10,9.72504E9,5.607633E15,3.5113446E8,4948517.5
12.0,3.0970222E7,1.2846056E7,4.8716413E15,9.469925E16,1.1036121E11,6.099906E14,80532.5,2.3827954E7,9.940154E8,7.365304E11,9.583433E11,5.922796E9,8.2501535E9,1.1866937E17,3.8943997E8,5127315.0
13.0,2.518633E7,1.1135758E7,1.2880827E16,2.4040829E17,8.210039E10,3.1121108E14,59256.16,5.0457324E7,7.07587E8,4.6407393E10,5.4161658E10,1.265099E9,5.909062E9,2.4227988E17,9.491954E8,5722868.0
14.0,2.0264638E7,1.2389446E7,2.0538922E16,9.7821034E17,3.179258E10,2.6292396E14,509284.3,8.420305E7,2.7393878E8,7.2212234E10,2.423491E12,2.883767E8,8.5763026E9,1.0731168E17,1.6275982E9,5942748.5
15.0,2.1540128E7,8104615.0,1.828708E16,8.600317E17,1.534476E10,8.405445E15,61229.973,8.831477E7,4.4180272E8,5.993959E10,1.2412175E12,3.7413078E8,2.1362262E9,1.3750486E18,6.5993114E8,5218235.0
16.0,2.0830114E7,2.0507148E7,2.5797964E16,1.4386171E19,9.943963E9,1.1880471E16,677513.56,5.0596796E7,3.69517E8,3.8601642E8,1.3489456E12,1.7572994E7,3.1953E9,3.8301724E18,1.0871944E9,5597481.0
17.0,2.000206E7,4727270.5,5.4336095E17,1.8576016E19,4.3551846E10,1.3438511E16,402929.44,8.311453E7,8.4844006E8,2.2429586E8,3.3359158E12,1.1751513E7,1.9097523E9,5.73215E18,3.75051E8,6265834.5
18.0,1.7554388E7,1.1888374E7,3.2251373E18,2.1841515E19,2.114092E10,8.283819E16,1040491.0,1.919022E7,4.1115747E8,4.3945852E7,3.039928E12,741624.5,7.45653E8,3.7863244E19,3.539931E8,5820164.0
19.0,2.1903648E7,2.7827964E7,2.8190645E18,4.757739E19,1.9341595E10,8.2276275E16,1368055.4,2.8348194E7,5.060299E8,4.6751188E7,1.2530968E12,112386.61,5.0431713E9,3.1192294E19,9.4875994E8,5583325.0
20.0,1.9261422E7,3.3923016E7,1.2057027E18,1.7171893E20,1.3026488E10,1.4235177E17,3096237.8,3.1476338E7,4.583204E8,9353194.0,7.469467E11,211278.45,4.260856E9,1.7936636E20,6.0551405E8,5834391.0
