"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,34457.3,4838.6016,340182.38,773827.56,7277.1987,8492.776,33626.273,61240.24,68074.61,337549.6,73504.85,5250658.0,237286.88,2.6790684E7,21279.26,5384.6157
2.0,23650.793,2532.7583,645856.1,6105114.0,1484.9309,61086.31,14594.509,70818.51,47549.02,241553.98,192324.62,1.2480266E7,42499.996,7.380411E7,13526.051,3347.2112
3.0,16782.578,938.98816,1005544.56,2.2546728E7,3848.8074,296952.28,5814.1714,26815.355,29845.969,219325.34,262654.0,1.4212342E7,10328.628,1.1812706E8,2439.3662,3028.289
4.0,12423.852,547.6934,2595656.8,6.372634E7,2542.6824,533257.25,1334.7246,22208.88,10626.874,99046.29,139421.98,1.0801538E7,11973.802,9.6984774E8,585.46094,3191.0781
5.0,9536.55,278.762,2.1134496E7,3.0461312E8,6827.9824,3327529.2,65.14681,9093.179,10825.801,115415.51,297422.16,8436013.0,1482.6719,3.053148E9,1302.8896,3147.1284
6.0,7464.126,185.16942,4.490359E7,9.857594E8,13357.624,9920929.0,0.3363137,2698.2412,18292.74,489230.4,443903.03,5503144.5,894.37024,8.3494426E9,2994.3281,3023.6797
7.0,5914.5464,60.75939,7.330101E7,2.7805302E9,6564.396,1.5102713E7,1.2443789,392.01474,11077.002,751626.75,146065.77,3264624.8,1067.2126,1.8677578E10,5194.337,3093.5325
8.0,4592.584,36.376675,1.3648382E8,4.243106E9,9800.71,4.562986E7,1.846287,83.36152,5217.929,73565.57,148545.52,1847251.8,1422.6885,1.6147469E10,7767.079,3280.9507
9.0,3448.252,15.998252,2.3067637E8,5.589976E9,6342.73,5.8323364E7,1.2907147,58.729385,4722.7256,47883.5,287695.3,596469.1,2676.1506,3.4479067E10,5717.4053,3318.5088
10.0,2823.1985,13.457214,3.027476E8,7.938005E9,9283.054,1.1398122E8,1.4496547,120.04988,2077.826,45445.215,124892.7,179123.9,372.99307,2.8881258E10,2193.7307,3221.0188
11.0,2155.24,8.666431,5.9096794E8,6.612833E9,12994.404,2.1036243E8,0.6421823,52.33344,7735.9277,34170.082,65069.99,66964.24,382.93454,1.5908298E10,2603.8926,3145.985
12.0,1647.5782,17.03499,4.389674E8,6.1758326E9,7201.3887,4.8755472E8,3.1182425,140.72685,7931.077,18482.875,107399.09,14599.95,705.44855,6.9246255E10,2662.4753,3128.648
13.0,1527.6284,27.061802,9.0716576E8,8.319852E9,7755.58,1.439973E9,2.1039178,120.17064,6598.1934,134610.95,175131.16,12388.137,1466.4779,5.846072E10,2616.1982,3238.216
14.0,1238.2877,8.390655,1.2009738E9,1.4289361E10,6442.264,2.6871903E9,4.875436,86.881004,6610.475,1024947.7,33822.035,8519.984,1828.8333,1.9629064E11,2949.0725,3338.16
15.0,1043.2986,9.455919,1.5256172E9,2.7445885E10,4931.7856,3.8673846E9,2.681946,74.42603,6150.294,6156.3423,45030.867,11168.831,789.4559,4.8334465E11,3177.554,3352.2207
16.0,876.19025,19.930035,1.1350898E10,7.589985E10,4422.6533,7.2378153E9,2.4354997,49.84809,4309.5303,807.7697,237400.77,19744.955,477.34494,2.3272281E11,3117.6377,3361.0156
17.0,766.43964,17.83517,1.2027007E10,1.7969481E11,5023.2056,1.2099305E10,1.064331,67.51715,3696.0068,175.01796,167271.12,6170.1187,407.27274,1.8111875E12,3935.57,3364.9692
18.0,626.3234,11.2554245,2.107015E10,3.144974E11,9001.11,3.4539246E10,0.16156025,63.678055,3685.3977,321.55206,33108.773,76759.805,1028.5065,2.0782075E12,4554.4126,3407.6365
19.0,601.303,13.775528,3.960289E10,1.4514162E12,17118.693,1.2784957E11,0.40777838,17.008541,3535.6724,118.045975,420102.66,37980.074,996.2834,8.564541E12,8836.783,3444.0166
20.0,597.49426,7.1312914,1.2547435E11,3.204253E12,12765.686,4.3109725E11,3.6782515,28.674639,4270.9155,48.575523,921462.75,23132.178,1049.7677,1.1420739E13,5053.8896,3482.873
