"Distribution of fish species biomass (tonne) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,179.63509,2918.3984,3188.578,5766.021,15248.961,0.0,3804.989,0.0,0.0,28157.555,21063.512,0.0,60184.816,4448302.0,23478.44,46.74767
1.0,1.0,774.94885,5070.814,14284.093,21669.031,413.5823,0.0,5133.9316,0.0,0.0,36444.336,29610.395,0.0,87460.81,190763.6,11043.162,101.2835
1.0,2.0,1339.8807,971.6228,6059.053,9396.004,858.83734,0.0,4025.7324,7675.6284,7450.165,12936.063,8019.2676,64784.984,37925.96,0.0,0.0,146.51727
1.0,3.0,1901.5638,509.473,3752.2307,5764.8613,1131.6342,1437.0529,3719.4731,4168.5874,6332.7256,10766.549,4022.871,47926.52,22184.531,0.0,0.0,214.97417
1.0,4.0,2499.3381,440.86462,0.0,3905.3884,1125.2775,867.5971,3075.8218,2649.611,4554.4688,7103.277,2395.5066,37014.402,14897.561,0.0,0.0,271.99338
1.0,5.0,3038.2773,373.0232,0.0,2759.5842,0.0,503.44247,2526.4026,1781.2015,3064.4885,6464.6245,1824.6904,24451.834,11111.411,0.0,0.0,322.4223
1.0,6.0,3441.4822,333.1989,0.0,2224.4575,0.0,309.24603,0.0,1448.0638,2108.1567,5586.358,1503.8439,18839.422,8028.8477,0.0,0.0,369.23557
1.0,7.0,3430.914,312.68274,0.0,1757.4407,0.0,233.61116,0.0,1149.5039,1520.0698,4567.579,1240.7542,14731.96,5718.7007,0.0,0.0,403.57562
1.0,8.0,3147.076,286.12265,0.0,1374.8292,0.0,192.05711,0.0,905.04706,1249.6545,4064.669,1032.3298,12008.564,4507.617,0.0,0.0,425.54782
1.0,9.0,2944.7488,253.83821,0.0,1075.2281,0.0,159.43935,0.0,703.2764,1103.8091,3753.6514,911.1489,9908.373,3889.4587,0.0,0.0,437.30444
1.0,10.0,0.0,220.67833,0.0,881.68774,0.0,132.42351,0.0,567.90607,985.6691,3484.0388,834.9402,7930.5737,3075.3647,0.0,0.0,452.76495
1.0,11.0,0.0,0.0,0.0,780.29504,0.0,109.582405,0.0,501.97488,879.89075,3176.9026,744.3284,0.0,2585.6565,0.0,0.0,471.78516
1.0,12.0,0.0,0.0,0.0,690.2299,0.0,90.66804,0.0,437.2653,783.4071,2863.5464,663.795,0.0,2114.1895,0.0,0.0,486.68683
1.0,13.0,0.0,0.0,0.0,610.2879,0.0,78.828156,0.0,378.8086,694.4311,2519.5151,595.99677,0.0,1790.1005,0.0,0.0,496.53342
1.0,14.0,0.0,0.0,0.0,537.9474,0.0,71.83385,0.0,330.76617,613.86926,2236.6387,532.7654,0.0,1522.941,0.0,0.0,501.8204
1.0,15.0,0.0,0.0,0.0,476.0577,0.0,65.174576,0.0,285.70648,0.0,0.0,456.8347,0.0,0.0,0.0,0.0,503.07977
1.0,16.0,0.0,0.0,0.0,419.0798,0.0,58.895054,0.0,247.08707,0.0,0.0,402.15167,0.0,0.0,0.0,0.0,500.85306
1.0,17.0,0.0,0.0,0.0,370.09045,0.0,53.037647,0.0,213.39706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.66898
1.0,18.0,0.0,0.0,0.0,327.1549,0.0,47.623737,0.0,185.51308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.0264
1.0,19.0,0.0,0.0,0.0,289.30154,0.0,42.657738,0.0,160.04326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.38196
1.0,20.0,0.0,0.0,0.0,0.0,0.0,38.131214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,34.026707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,30.320742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,26.986404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,23.995123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,39.13086,5300.719,919.47217,5412.664,18665.965,0.0,2053.0442,0.0,0.0,45585.117,9189.491,0.0,693.98505,168615.4,56014.664,141.47882
2.0,1.0,511.65744,7074.9272,6824.9873,19085.809,39350.887,0.0,2154.2869,0.0,0.0,76713.305,20512.084,0.0,65872.29,1011422.75,127816.79,290.18198
2.0,2.0,1551.9426,8458.364,21680.318,21400.578,283.40582,0.0,3734.751,15068.406,12311.705,36137.027,11861.994,286652.84,54581.004,0.0,0.0,205.22707
2.0,3.0,2196.6826,1559.8201,7153.395,7689.8896,653.4981,2755.012,3978.4216,5755.052,9384.409,12242.2295,3190.3523,20490.043,11957.01,0.0,0.0,228.68542
2.0,4.0,2736.7314,711.9749,0.0,4341.992,836.1626,1721.4441,3793.5059,3014.4966,8283.339,8478.815,1599.8751,13791.577,6362.8994,0.0,0.0,293.16232
2.0,5.0,3268.3225,550.07556,0.0,2838.2832,0.0,937.8295,3022.9849,1880.8018,5397.43,4730.455,947.98303,9742.884,4229.2505,0.0,0.0,340.60995
2.0,6.0,3686.8167,433.01566,0.0,1970.0287,0.0,506.8212,0.0,1299.4702,3363.489,4185.8843,681.4728,6285.5625,3260.7893,0.0,0.0,380.6511
2.0,7.0,3948.1057,363.594,0.0,1574.9949,0.0,296.58255,0.0,1053.4531,2206.1501,3405.7358,568.54034,4764.0547,2319.1956,0.0,0.0,417.9184
2.0,8.0,3769.2961,329.40796,0.0,1238.4918,0.0,216.45482,0.0,831.9824,1539.5686,2757.508,469.0026,3389.7322,1550.4259,0.0,0.0,442.63068
2.0,9.0,3337.9087,292.85916,0.0,968.0969,0.0,173.54276,0.0,659.69885,1230.4607,2390.737,381.06433,3068.9395,1364.0514,0.0,0.0,455.54263
2.0,10.0,0.0,254.61351,0.0,754.6332,0.0,141.36652,0.0,504.60495,1059.1157,2178.1091,339.80176,2251.4346,1167.137,0.0,0.0,459.28015
2.0,11.0,0.0,0.0,0.0,620.7576,0.0,115.715324,0.0,410.5686,928.42065,1996.1642,309.80344,0.0,924.69305,0.0,0.0,468.27237
2.0,12.0,0.0,0.0,0.0,549.7182,0.0,94.6741,0.0,366.0441,812.82227,1811.2686,274.72064,0.0,770.5868,0.0,0.0,481.9357
2.0,13.0,0.0,0.0,0.0,484.2797,0.0,77.62965,0.0,318.38638,712.3852,1612.0912,243.89091,0.0,688.9798,0.0,0.0,492.143
2.0,14.0,0.0,0.0,0.0,428.79785,0.0,67.008,0.0,274.70908,621.8167,1417.3188,220.27914,0.0,564.52924,0.0,0.0,497.90558
2.0,15.0,0.0,0.0,0.0,377.61697,0.0,60.71377,0.0,242.31522,0.0,0.0,195.2336,0.0,0.0,0.0,0.0,499.70105
2.0,16.0,0.0,0.0,0.0,334.1522,0.0,54.831646,0.0,208.32617,0.0,0.0,166.19533,0.0,0.0,0.0,0.0,498.0262
2.0,17.0,0.0,0.0,0.0,293.82178,0.0,49.363594,0.0,179.68925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.3771
2.0,18.0,0.0,0.0,0.0,259.61407,0.0,44.319073,0.0,154.80916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.2304
2.0,19.0,0.0,0.0,0.0,229.46222,0.0,39.696476,0.0,134.69409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.03317
2.0,20.0,0.0,0.0,0.0,0.0,0.0,35.484974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,21.0,0.0,0.0,0.0,0.0,0.0,31.666864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,0.0,0.0,0.0,0.0,0.0,28.21963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
