"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,2.8178975169811284,1.1743402005716965,0.06730154551349996,0.0,0.4192054878705308,0.13218665237751706,0.0040771127574023526,0.13860279937413147,0.13911017982506738,2.7726065038502004E-5,9.190566836563777E-4,0.07293295268851689,0.18250000000000005,0.7299999999999999,0.757976824323101,0.0,0.0,0.0,1.1853687868389802E-6,3.92923086860391E-5,0.0031180928678093767,0.0,0.0,0.6808943349441952,
2.0,3.5689277075007064,3.1847330326715086,0.36465040822643313,0.0,0.6475568563453865,0.23912729536627195,0.0045262944079716115,0.1389249807786444,0.13863893194388566,2.6981745010589446E-5,9.507828878973321E-4,0.01273669933116938,0.09125000000000014,0.7300000000000003,0.7592686631948039,0.0,0.0,0.0,1.1535469712556492E-6,4.064869489446364E-5,5.445304197893064E-4,0.0,0.0,0.5914903911501418,
3.0,2.899987351693556,2.157175523222644,0.3627335278923687,0.0,1.114505542138617,0.18658363919371054,0.004119594891427832,0.1387971756656439,0.1400153407267163,2.76110992533223E-5,6.441510687644708E-4,0.017759680323209282,0.0912500000000001,0.7300000000000002,0.7596410102081324,0.0,0.0,0.0,1.1804536698500674E-6,2.7539305338209918E-5,7.592772609505533E-4,0.0,0.0,0.8939989134288088,
4.0,4.247077933495124,2.9384535412358828,0.6351317752349291,0.0,0.9930280865280473,0.4046776385778865,0.004940744453921424,0.1387397226330455,0.13884396474656352,1.9498933174761106E-5,5.337979206396447E-4,0.007468831919209814,0.0912500000000001,0.7300000000000003,0.750037379447615,0.0,0.0,0.0,8.336353077843646E-7,2.2821391810454053E-5,3.193139819474477E-4,0.0,0.0,0.4394545701283275,
5.0,3.9546159634741107,2.684624183915524,0.614782600936342,0.0,0.8920310035938909,0.29204025111822857,0.004762852366155292,0.13884554692739123,0.1394177178424067,1.953730377313141E-5,5.268985943212052E-4,0.008803622396495101,0.09125,0.7300000000000003,0.7609248021297799,0.0,0.0,0.0,8.352757608950864E-7,2.252642582603693E-5,3.7638010245703764E-4,0.0,0.0,0.7776823080086928,
6.0,4.2522125334241,3.168453743362682,0.5546583655843706,0.0,0.6994715225728367,0.2660426813916973,0.004944455501837488,0.13894525374409084,0.138919840070731,2.155984302220343E-5,7.435893498780949E-4,0.011077729231415125,0.09124999999999993,0.7300000000000003,0.7691434180827187,0.0,0.0,0.0,9.2174511356657E-7,3.1790577002087486E-5,4.736046908112828E-4,0.0,0.0,0.8023592527979287,
7.0,3.2957757657809688,2.684322802762114,0.43873343124560726,0.0,0.8291173406266954,0.17172176777371934,0.004351352897044205,0.138900056984362,0.13939312620809527,1.821709165783828E-5,5.626568504268175E-4,0.01297821133675282,0.09124999999999997,0.7300000000000001,0.7643729998475546,0.0,0.0,0.0,7.788329071651404E-7,2.4055193813868115E-5,5.548557505806733E-4,0.0,0.0,0.8364853532196412,
8.0,3.333474629162585,2.8654738788795355,0.665907917320457,0.0,0.947030478844923,0.1915741964719769,0.004373906060593812,0.1388118838728793,0.13907368169728837,1.5730632832968286E-5,4.4242189104472056E-4,0.010822411291141835,0.09125000000000016,0.7300000000000003,0.7497516334543111,0.0,0.0,0.0,6.725296623062563E-7,1.891480451807461E-5,4.626891167224352E-4,0.0,0.0,0.48482348099082023,
9.0,3.163634012145503,2.415156650855967,0.5936147420456396,0.0,1.0239281184805638,0.28492295226209596,0.0042739535225137255,0.13879408864600468,0.13917534612452173,1.7520627484395015E-5,4.677140992860765E-4,0.010096015683611128,0.09125000000000001,0.73,0.7492645313440349,0.0,0.0,0.0,7.490570665904024E-7,1.9996118947579918E-5,4.3163362150996476E-4,0.0,0.0,0.5080172150580453,
10.0,3.8000197922591266,3.0078975896414852,0.7138489146157769,0.0,0.9180873007296078,0.34100206040495257,0.004662311349084483,0.13885991989621452,0.1390805016626767,1.5281711656737648E-5,5.033128918876466E-4,0.007201754147902074,0.09124999999999998,0.7300000000000004,0.7440700432579785,0.0,0.0,0.0,6.533369947093258E-7,2.1518069413340476E-5,3.078956413597341E-4,0.0,0.0,0.3764392103906807,
