"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,7.074710822138813E-5,0.448102119508068,0.05968617595565899,0.0,0.011890046851013919,0.0,1.9193258790613488,7.161616002837045E-4,7.164145834353419E-4,9.341624168282832E-5,0.038636768464440537,0.1164928784337659,0.0,0.0,0.0,0.0,0.0,0.0,3.404795577272921E-5,0.012242261444998978,0.035790901696934406,0.0,0.0,0.0391298802527309,
2.0,1.627766771312428E-4,0.599556894371565,0.0189062635483942,0.0,0.020735801558896556,0.0,1.7449050011823566,7.1730174461151E-4,7.164602731615406E-4,8.84001092351412E-5,0.03000795750856161,0.11078760776460245,0.0,0.0,0.0,0.0,0.0,0.0,3.382268788427135E-5,0.009959303954099144,0.035756195488348304,0.0,0.0,0.043064332454043924,
3.0,5.82275883811724E-4,0.3197857174987239,0.018199342369014024,0.0,0.014420522617902531,1.257823873138718E-5,1.7451575086803575,7.162717754125572E-4,7.166693419943352E-4,8.653814056124564E-5,0.02884876874325513,0.09667351788424394,0.0,0.0,0.0,0.0,0.0,0.0,3.2953125360810614E-5,0.009603995485242912,0.034436757471339605,0.0,0.0,0.05704255561450882,
4.0,0.002451759676786033,0.29837424206354834,0.027353191360052605,0.0,0.02450549840986007,0.0,1.7462752080769477,7.163925444506014E-4,7.169293701322737E-4,6.8514275749394E-5,0.02621166025524678,0.07430933930837706,0.0,0.0,0.0,0.0,0.0,0.0,2.6036673073079628E-5,0.008299311691296602,0.026932507640696487,0.0,0.0,0.0742841252873745,
5.0,8.708498583457329E-7,0.2996207365909383,0.034766493578971394,0.0,0.025342647636796098,0.0,1.7447866327856483,7.161060941841615E-4,7.171130688671049E-4,6.372853192505142E-5,0.02276217870253799,0.07086121616235456,0.0,0.0,0.0,0.0,0.0,0.0,2.4363169937781116E-5,0.007435748166193024,0.025155036130852015,0.0,0.0,0.08643393086299855,
6.0,0.0012236860103931838,0.4271415286814555,0.0418471414105127,0.0,0.015495445603861608,2.0211432586033988E-6,1.7455397664381882,7.165753228233936E-4,7.171881775150549E-4,8.156645595196481E-5,0.028518740653590554,0.09452675768246337,0.0,0.0,0.0,0.0,0.0,0.0,2.9216400146283448E-5,0.009001354318728519,0.03098290930287233,0.0,0.0,0.09122771188993481,
7.0,0.0017915679202662863,0.28302599505808873,0.041503906597172034,0.0,0.012025455875488788,0.0,1.7458681502123417,7.161711488827176E-4,7.173024203375422E-4,6.302965777260595E-5,0.02473965383395442,0.07680545355077552,0.0,0.0,0.0,0.0,0.0,0.0,2.274663290973443E-5,0.007562599418583533,0.02404436277761921,0.0,0.0,0.09898895513977521,
8.0,0.0020935612063856593,0.26609060869987655,0.05491992680984823,0.0,0.007250668884235194,2.7499891576968956E-4,1.7460468909094855,7.163540822381852E-4,7.17278194487745E-4,5.9915231915757965E-5,0.02348513709388092,0.0735726731161132,0.0,0.0,0.0,0.0,0.0,0.0,2.090002752499172E-5,0.007214906006660844,0.02243061608642185,0.0,0.0,0.09717391207787474,
9.0,0.0012126281398012941,0.30869041037382455,0.054345626498460926,0.0,3.773785885329668E-4,0.0,1.7455191447789158,7.166026074361461E-4,7.174301029579135E-4,6.574908724607837E-5,0.026298940177433842,0.08201988790394647,0.0,0.0,0.0,0.0,0.0,0.0,2.3050218799546784E-5,0.008126206945464474,0.0248622883847719,0.0,0.0,0.10740373047201668,
10.0,0.004368445844578435,0.2530010194834231,0.03948506206379608,0.0,0.002595008612725824,0.0,1.7474287038124672,7.161553880585866E-4,7.177066015070383E-4,5.9761617733137476E-5,0.02596852968176431,0.07651704098511619,0.0,0.0,0.0,0.0,0.0,0.0,2.0920345278381064E-5,0.007736057296528516,0.022721325054308492,0.0,0.0,0.12594058988276813,
11.0,0.003642860281269531,0.2924143155649782,0.03387487576790465,0.0,0.0022943570026545653,0.0,1.7469739129866164,7.161593594502953E-4,7.161169053902063E-4,4.349489646226608E-5,0.018912388804692606,0.05524893270871064,0.0,0.0,0.0,0.0,0.0,0.0,1.628905681700644E-5,0.0057448584455967846,0.017212197897106304,0.0,0.0,0.019937805782947585,
12.0,0.002526700133007424,0.28328962101635125,0.021204340964048073,0.0,0.004101973439603882,0.0,1.7462973304667144,7.162994091912714E-4,7.16316056576795E-4,4.094190764739678E-5,0.017534866706968546,0.049495338552901336,0.0,0.0,0.0,0.0,0.0,0.0,1.5022164006945704E-5,0.00520508313932228,0.015920323226738763,0.0,0.0,0.03346365898747747,
13.0,0.0017840883241277898,0.21553935119670492,0.020834962231877013,0.0,0.0045198528579368236,0.0,1.7458444871832037,7.161150417755888E-4,7.16508374393282E-4,4.064274737694472E-5,0.017084213071594617,0.04803595621812477,0.0,0.0,0.0,0.0,0.0,0.0,1.4791970400731948E-5,0.005056513012662183,0.015610048377963065,0.0,0.0,0.04625326149752986,
14.0,0.002024720661330635,0.24927857158933228,0.02514355422442346,0.0,0.0025126144986684852,0.0,1.7459895374761132,7.159662579808376E-4,7.166421465738749E-4,3.9192426963524825E-5,0.016230710047698417,0.046473974488703704,0.0,0.0,0.0,0.0,0.0,0.0,1.4486811534192407E-5,0.005025461073150118,0.015209772664253695,0.0,0.0,0.05517162046686985,
15.0,6.120833296784684E-4,0.22724493545081703,0.03351582577879056,0.0,0.005424907878449574,0.0,1.7451387971065115,7.162538113925889E-4,7.167313507985817E-4,4.4250085410163376E-5,0.01759772432148083,0.05359494575368426,0.0,0.0,0.0,0.0,0.0,0.0,1.5681452196101545E-5,0.005419873052318582,0.016765054414019258,0.0,0.0,0.06102318611344049,
16.0,9.682896300997505E-4,0.18308802270079622,0.029381146150683653,0.0,0.0022463857704051165,3.829396809040968E-5,1.745351643907332,7.161647978150781E-4,7.169645872948997E-4,4.130790809457465E-5,0.016183468053083412,0.050588026738986915,0.0,0.0,0.0,0.0,0.0,0.0,1.4771734203961457E-5,0.0050608399959545846,0.01571484539677334,0.0,0.0,0.07664850842437679,
