"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,6.421444767959411,2.008146383612508,0.28245016755076824,0.0,1.8882401640202675,0.11901730048683731,0.2618998226696929,0.035066830407731696,0.035091469689857956,2.1754602254363017E-5,4.4373238864876173E-4,0.051475069974258214,0.0,0.0,0.0,0.0,0.0,0.0,3.246494542573533E-5,6.552964752796393E-4,0.05469207372487449,0.0,0.0,0.0015702079079522543,
2.0,7.117116814679859,7.796520220212741,3.872583085570795,0.0,1.2040982197743288,0.8805286109346814,0.2750766563679367,0.03418404130827593,0.03514797353350063,1.9363521932898082E-5,5.699507508935047E-4,0.0119605950161795,0.0,0.0,0.0,0.0,0.0,0.0,3.033042512693391E-5,8.804952481827795E-4,0.012251877524169518,0.0,0.0,2.3429502699582157E-4,
3.0,5.95654544981295,6.7300123444939715,1.9912944851683798,0.0,1.3262555361453416,0.430640045353267,0.25315429089757663,0.034450840213694475,0.035079504549990634,2.0326601775941684E-5,4.6382024872474115E-4,0.027696292876399048,0.0,0.0,0.0,0.0,0.0,0.0,3.1705744614644834E-5,7.164621523759552E-4,0.02828736387521602,0.0,0.0,8.032766177719494E-4,
4.0,5.760480007325523,5.307455968915647,2.5610361491510596,0.0,1.4563386086882104,0.6415550278451176,0.25033206205591074,0.03470595376268235,0.03509281450461221,1.623516052810644E-5,3.3713557642780416E-4,0.01611442022195235,0.0,0.0,0.0,0.0,0.0,0.0,2.5549166467468132E-5,5.252486443987404E-4,0.01632479372971776,0.0,0.0,7.476773374172573E-4,
5.0,6.643260713287237,5.196854576721488,3.3550188626443216,0.0,1.43571475854359,0.4201671299807599,0.2649766449045469,0.03502282030274465,0.03518438144341177,1.4575679172297466E-5,3.14014752356836E-4,0.01946187460690553,0.0,0.0,0.0,0.0,0.0,0.0,2.290850250219407E-5,4.886685107949175E-4,0.02152049200689986,0.0,0.0,7.178516030298957E-4,
6.0,5.92416199835227,5.775728383512928,3.233484258012733,0.0,1.3935683479718795,0.3316318654098931,0.25309723633975884,0.03503751680932347,0.03510886133927103,2.1074113744362682E-5,4.01116959366192E-4,0.026165640553893182,0.0,0.0,0.0,0.0,0.0,0.0,3.102730401190962E-5,5.872245710868752E-4,0.029756339145236024,0.0,0.0,8.819373674291895E-4,
7.0,4.469276102909707,6.68396508961343,2.5178896426756667,0.0,1.4633435165501685,0.16766297432493232,0.22997730769458627,0.035108243110455475,0.035171018417420395,1.6832403465054363E-5,2.985416325467391E-4,0.031014933370264376,0.0,0.0,0.0,0.0,0.0,0.0,2.5178215801546797E-5,4.4366940792186837E-4,0.03332235953616171,0.0,0.0,0.0012946117471086455,
8.0,4.552607215507326,5.119533058051153,4.147744405858793,0.0,1.5835223818850936,0.3355488377574417,0.23069197104314873,0.035218034275408545,0.03526530591025099,1.6866077756482247E-5,2.95859030109094E-4,0.023669291703828876,0.0,0.0,0.0,0.0,0.0,0.0,2.4236102965521376E-5,4.234267075956648E-4,0.026277216557067096,0.0,0.0,0.0012404483925904347,
9.0,5.131227968919857,5.908043653585816,4.1909623579868365,0.0,1.4951329890126992,0.3513755096605964,0.23998596693773852,0.03506491964716656,0.03521749238484021,1.8163815827838376E-5,3.2167377814263504E-4,0.019602670530488316,0.0,0.0,0.0,0.0,0.0,0.0,2.618332731878336E-5,4.618812200836963E-4,0.021975241315473033,0.0,0.0,0.0015938599136566278,
10.0,4.721412694763506,4.275643626300979,4.163679284412277,0.0,1.5775083309128088,0.5242643281190594,0.23323219847695323,0.03516454233862184,0.03508048746570555,1.6103535366541543E-5,2.8638788121862794E-4,0.013432897948886477,0.0,0.0,0.0,0.0,0.0,0.0,2.3353188402772402E-5,4.1339976127616494E-4,0.014645791542289925,0.0,0.0,0.0022699986994895813,
