"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.011089929381740898,2.6970916771694298,0.18937941663647653,0.0,0.010028170831625733,0.0,4.703558747486035,0.005989163987287294,0.0060411660053760075,4.938807545126946E-8,0.033982118168474386,0.08999207783471527,0.0,0.0,0.0,0.0,0.0,0.0,2.8828907841432388E-8,0.019263662335044913,0.05007101823822775,0.0,0.0,0.06905100886368407,
2.0,0.01098027695242072,5.678550147547102,0.06067454243175085,0.0,0.019454871536277254,4.3013355773450975E-4,4.356274442741742,0.0059434793878339245,0.0060416502763548825,3.602694228321907E-8,0.02047113600784753,0.07758426535879387,0.0,0.0,0.0,0.0,0.0,0.0,2.9652469110699365E-8,0.016773044471294594,0.06328044572237033,0.0,0.0,0.06976503244581532,
3.0,0.008790388491670709,4.421588475317691,0.05731374549970465,0.0,0.022242393309845395,9.638797509936574E-4,4.163990608895749,0.00597962690565818,0.006052526979698966,4.328851838262792E-8,0.01805407456747898,0.07752884915328577,0.0,0.0,0.0,0.0,0.0,0.0,3.464796550611862E-8,0.014362938955521421,0.06122791820636569,0.0,0.0,0.155674001218528,
4.0,0.009123300174925474,4.0896155781803625,0.10592090528912255,0.0,0.02305033674093699,0.008861588608821878,4.186732598569869,0.005951393513937184,0.006118167670109677,3.1917997552186453E-8,0.016149318139788277,0.05467267935255156,0.0,0.0,0.0,0.0,0.0,0.0,2.7208866813492434E-8,0.013741776653728636,0.04644459447639485,0.0,0.0,0.6674905236963974,
5.0,0.009332566836681332,4.7791214628588845,0.09082102163879027,0.0,0.02440501764985943,0.00516073469722293,4.2168596872702,0.005970881220510875,0.00604492211372251,2.9616564194808657E-8,0.014317782818274378,0.05254162396574726,0.0,0.0,0.0,0.0,0.0,0.0,2.4972707608112988E-8,0.012041848486958582,0.04407318968554899,0.0,0.0,0.0953222063624525,
6.0,0.007163229596670472,5.581040522161736,0.08690612966233201,0.0,0.017142875505072853,0.0039748495043948,4.05309519157682,0.005963740660850973,0.006049613897794174,5.324042617988707E-8,0.021473803352090367,0.08746090671690578,0.0,0.0,0.0,0.0,0.0,0.0,2.8032558797986565E-8,0.010977450434188433,0.04331775031703151,0.0,0.0,0.13245276686726953,
7.0,0.0067789492467504875,4.080294522699106,0.11712931816885142,0.0,0.011138849438390936,0.004340432133819613,4.023974103641931,0.005954497769283104,0.006094046284223803,4.016730019884201E-8,0.017499182527292472,0.061798760838804895,0.0,0.0,0.0,0.0,0.0,0.0,2.3971136954669825E-8,0.010188889838987827,0.03516485150330872,0.0,0.0,0.4793036226322249,
8.0,0.0076245009920638054,3.60024673139327,0.10974523203732989,0.0,0.011004872108397077,0.001206688531260039,4.096623023216474,0.005978839016337634,0.006059073455076836,3.981280015740664E-8,0.020920654437660946,0.06733843147336747,0.0,0.0,0.0,0.0,0.0,0.0,1.713278603208264E-8,0.008634556947788197,0.026885585378721946,0.0,0.0,0.20627501956452762,
9.0,0.006666135655891584,4.628340522736089,0.12477868763872121,0.0,0.010955694324397856,0.001155019191399974,4.018549682466585,0.005973401744977746,0.006047982424389713,4.8825876466292594E-8,0.019493995075604658,0.07463966642549745,0.0,0.0,0.0,0.0,0.0,0.0,2.1583904971132064E-8,0.008289688542861733,0.030633655980885473,0.0,0.0,0.11877870974205894,
10.0,0.007576247465724675,4.097634631757046,0.09356437099273619,0.0,0.018556291775373667,0.001718294940236147,4.080799445912724,0.005970419564335094,0.006060068106387678,3.9776100243839574E-8,0.018120423930161486,0.06642630940610904,0.0,0.0,0.0,0.0,0.0,0.0,1.8568174369057937E-8,0.008151211611069136,0.028886256576531502,0.0,0.0,0.21386629929509118,
11.0,0.00710119323075673,4.331383861203766,0.10305064473473717,0.0,0.022434746653368445,0.002844933718579054,4.048055579493504,0.005944142740660866,0.006070623781669399,2.427205193430584E-8,0.01027230621655915,0.036638156726003616,0.0,0.0,0.0,0.0,0.0,0.0,1.9505233705419752E-8,0.008200937402688941,0.029084384862115134,0.0,0.0,0.2956382506403532,
12.0,0.0075148330162510815,3.933842042368798,0.10211933094775923,0.0,0.021394145880896474,0.0038623671274140817,4.076530188331235,0.005992331080905522,0.0060597683617875245,2.2800493803637584E-8,0.009361903407198929,0.03716940916636167,0.0,0.0,0.0,0.0,0.0,0.0,1.6406997613867652E-8,0.006644603818206323,0.026024762215520213,0.0,0.0,0.21201382602068408,
13.0,0.006793528797176812,4.600030039801198,0.1338152102333469,0.0,0.007502782273230952,0.009989172322176646,4.031625110826043,0.00594303935539713,0.0060614371001146946,2.4501521211365282E-8,0.010547489004899324,0.03679974174409847,0.0,0.0,0.0,0.0,0.0,0.0,1.675631005405098E-8,0.007090455955164731,0.024355311675596163,0.0,0.0,0.2240130748310238,
14.0,0.006723184400186165,4.640751027083203,0.15511416559878644,0.0,0.018679015921216697,0.004480518484164693,4.037348984657511,0.005965315273598137,0.006072369888797057,2.433806233608352E-8,0.010559079914478643,0.03666687119518278,0.0,0.0,0.0,0.0,0.0,0.0,1.6841605659493407E-8,0.0071836625066387235,0.024573841940174,0.0,0.0,0.30899667860255364,
15.0,0.007387720164208739,4.471146530253893,0.18516915855220792,0.0,0.013957581049920773,0.004004378548229889,4.066919995821067,0.005995833396352885,0.006056218385485185,2.930209980502982E-8,0.012552481443648778,0.04821381946860751,0.0,0.0,0.0,0.0,0.0,0.0,1.4341668097305924E-8,0.005928417671148819,0.0220735206193304,0.0,0.0,0.1816173222105247,
16.0,0.007553985879069336,4.380701618966197,0.17836056768874028,0.0,0.028809613357787082,0.005538925427454648,4.082741408619829,0.005969231562895497,0.006077918852930235,2.6620388280752836E-8,0.011752471987019564,0.04441181612038839,0.0,0.0,0.0,0.0,0.0,0.0,1.3724670141364273E-8,0.0058694075316531496,0.021517540035077196,0.0,0.0,0.35274623174325126,
17.0,0.008061115805594316,4.535103070277615,0.1953254753022706,0.0,0.023152596149974173,0.009743710157272508,4.121448979126374,0.005952071036097667,0.006062624893074868,3.274581979470567E-8,0.016098649638049488,0.058041822235533,0.0,0.0,0.0,0.0,0.0,0.0,1.3380510625740789E-8,0.006307978074833297,0.021911432472677406,0.0,0.0,0.23157863022544228,
18.0,0.006396694869940338,4.45385568335567,0.21083121051990875,0.0,0.011127355303178387,0.0062677886491765014,4.005724083110628,0.005991226971853621,0.0060759037269835494,3.453390765760792E-8,0.013536667665780445,0.05366567356180824,0.0,0.0,0.0,0.0,0.0,0.0,1.458817023693578E-8,0.005496969077219637,0.020968325430447254,0.0,0.0,0.3346890052215302,
19.0,0.00717755198519076,4.650953985626943,0.25663685855588225,0.0,0.017625816052862585,0.005968202549533782,4.047461172888518,0.005963433510543478,0.006067457114763683,1.466783603991195E-8,0.006691615795696925,0.02266135739709731,0.0,0.0,0.0,0.0,0.0,0.0,1.1939928570597711E-8,0.0054167304788208595,0.018257485638686025,0.0,0.0,0.2680726818656394,
20.0,0.008129769563876208,4.192371053939482,0.26137339692040795,0.0,0.01679386764950369,0.0016277988066148814,4.110766342376298,0.006001869300130669,0.0060724505898269755,1.5467063723493188E-8,0.006875496818809256,0.026072837993828184,0.0,0.0,0.0,0.0,0.0,0.0,1.1348948139507084E-8,0.004983413868527058,0.018662604897892697,0.0,0.0,0.3079098408631555,
