"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,20.348161359422743,3.288694553393453,0.09080915225716739,0.0,0.7924644506279848,0.08104712095078462,0.02223232911260349,6.301445908741983E-4,6.363288496460262E-4,4.638764803607899E-5,0.01732968635750141,0.08541518428628522,0.0,0.0,0.0,0.0,0.0,0.0,2.399542922314136E-6,8.96628955485394E-4,0.004420281042763279,0.0,0.0,0.0053537391793350595,
2.0,7.362436103116353,5.033345673306351,1.8930929481710645,0.0,1.5111043440028926,0.6999268962526736,0.009988193211470932,6.288623563595865E-4,6.369651491895116E-4,3.484733151894212E-5,8.147801785844559E-4,0.03602579596794729,0.0,0.0,0.0,0.0,0.0,0.0,1.7965255296790867E-6,4.200532839726431E-5,0.0018574313438357466,0.0,0.0,8.608775304258426E-4,
3.0,7.0266144936635175,4.728193949557454,2.6301050395042918,0.0,1.4514287732730253,0.8782306111572159,0.009743714365946541,6.355996342152993E-4,6.381010243657549E-4,3.339887153891129E-5,8.120565240479719E-4,0.006525572061302009,0.0,0.0,0.0,0.0,0.0,0.0,1.7223220428299107E-6,4.187639886254352E-5,3.365403512118517E-4,0.0,0.0,1.6251391096011245E-4,
4.0,5.518586517951828,5.664374282214815,2.489320666079117,0.0,1.3566219341026327,0.7837777973425262,0.008769401727990156,6.345604618095624E-4,6.366155943259146E-4,2.8485820784191626E-5,5.745075057379847E-4,0.005625627055918589,0.0,0.0,0.0,0.0,0.0,0.0,1.4680587601373865E-6,2.9608099807274826E-5,2.899310130012799E-4,0.0,0.0,1.7592633057635822E-4,
5.0,6.199708087969075,6.623651820308646,2.6247242298841265,0.0,1.2716257017011763,0.731661668368276,0.009207718300102587,6.332809459545068E-4,6.363921260501763E-4,2.5437754401364038E-5,5.52069765374134E-4,0.006372599540716429,0.0,0.0,0.0,0.0,0.0,0.0,1.3111124307254287E-6,2.8454781155520364E-5,3.2846546012600463E-4,0.0,0.0,2.4404091401438398E-4,
6.0,4.693010116724969,4.860735000635047,3.203764463226397,0.0,1.4943922362711926,0.8236088004691973,0.008261365990720146,6.339647603760299E-4,6.372231368329786E-4,3.3587048550431046E-5,6.686324547569128E-4,0.008147849100802115,0.0,0.0,0.0,0.0,0.0,0.0,1.7391075620986248E-6,3.4621259387642603E-5,4.2201192748476653E-4,0.0,0.0,2.996685043400472E-4,
7.0,5.660027667004298,4.788748564998915,3.6231850225999613,0.0,1.4984659694073073,0.7438360979953,0.008859495784916899,6.3686469886163E-4,6.372391119750988E-4,2.424778634066682E-5,4.8581682933615143E-4,0.006704069407909295,0.0,0.0,0.0,0.0,0.0,0.0,1.2540131087098035E-6,2.512486044845981E-5,3.467961300193044E-4,0.0,0.0,3.334476886669904E-4,
8.0,5.40450944791735,5.0164639130006545,4.166532711960072,0.0,1.475073347273664,0.693719488020129,0.008714237258534718,6.361095277873251E-4,6.352131571804643E-4,2.3303152976238533E-5,4.461401591451846E-4,0.006782335107771348,0.0,0.0,0.0,0.0,0.0,0.0,1.2088907136881353E-6,2.3144397860102022E-5,3.5198248815318414E-4,0.0,0.0,5.16779045137067E-4,
9.0,5.699185246430159,5.274067078767644,4.060868589156746,0.0,1.5306069633844974,0.6513106338838077,0.008910311420731733,6.357439094095478E-4,6.384712312836277E-4,2.507117309196456E-5,4.900957028891362E-4,0.010365346112138461,0.0,0.0,0.0,0.0,0.0,0.0,1.300283894447945E-6,2.541834629476529E-5,5.378104697577058E-4,0.0,0.0,9.864683196821817E-4,
10.0,4.974636635086681,6.550713204813649,3.7742419306232815,0.0,1.6128772301278487,0.5918119994581023,0.008447854167127651,6.333703186874201E-4,6.373482141347031E-4,2.375700591549621E-5,4.394184630050327E-4,0.008805353181335775,0.0,0.0,0.0,0.0,0.0,0.0,1.2315152673623708E-6,2.277861082429603E-5,4.5663995367901104E-4,0.0,0.0,0.002489420615244841,
