"Distribution of cumulative catch (number of fish per time step of saving) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,0.0,3668633.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1056582E8,5.5704468E7,0.0,0.0,5.69869E9,1545975.1,0.0
1.0,5.0,0.0,388912.44,0.0,3756107.2,0.0,0.0,0.0,0.0,0.0,3701021.5,1.0191702E7,0.0,1.1991746E7,2.8443894E7,1659909.2,0.0
1.0,10.0,7636.3975,202964.66,9836.654,203325.75,0.0,0.0,0.0,0.0,0.0,1.1305369E7,1221713.2,0.0,1.5268373E8,1.5770129E7,786916.75,0.0
1.0,15.0,557241.4,1295127.8,1196549.6,1212082.0,0.0,0.0,0.0,0.0,1922626.9,2.8285698E7,7.1357016E7,1.8091774E8,1.6060144E8,2002919.4,554693.44,8245.05
1.0,20.0,1385580.9,1651337.8,6154604.0,1.6775074E7,0.0,0.0,0.0,0.0,5766222.0,2.8691552E7,1.9497965E8,4.3316778E8,1.6638392E8,1091189.6,781423.94,22343.213
1.0,25.0,1542346.8,1135969.2,3729344.2,1.5535121E7,0.0,0.0,0.0,1.6410849E7,3861644.5,8485570.0,1.09977464E8,3.9019594E8,0.0,5234101.5,1388259.8,6452.9375
1.0,30.0,1593101.8,150768.78,1340928.8,6925040.0,0.0,0.0,0.0,1.091049E7,2202441.0,4651583.5,1.4816558E7,5.6063164E7,0.0,9345983.0,0.0,10411.36
1.0,35.0,1180950.5,101966.79,0.0,6641242.5,0.0,0.0,0.0,3855601.8,694307.0,2234425.8,1.0438943E7,0.0,0.0,5178885.0,0.0,4747.0737
1.0,40.0,931966.4,81517.39,0.0,2681491.0,0.0,1381.1201,0.0,0.0,348754.72,0.0,4813691.5,0.0,0.0,213207.62,0.0,7740.409
1.0,45.0,840815.94,37654.1,0.0,0.0,0.0,54326.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4606.4653
1.0,50.0,795798.2,0.0,0.0,0.0,0.0,27407.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5493.196
1.0,55.0,727892.94,0.0,0.0,0.0,0.0,25026.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5800.878
1.0,60.0,461658.34,0.0,0.0,0.0,0.0,9051.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4411.339
1.0,65.0,0.0,0.0,0.0,0.0,0.0,8748.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4578.402
1.0,70.0,0.0,0.0,0.0,0.0,0.0,5442.869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4815.392
1.0,75.0,0.0,0.0,0.0,0.0,0.0,3357.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5085.45
1.0,80.0,0.0,0.0,0.0,0.0,0.0,2463.8132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4666.4927
1.0,85.0,0.0,0.0,0.0,0.0,0.0,2694.7932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5666.4575
1.0,90.0,0.0,0.0,0.0,0.0,0.0,1830.7227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5937.4204
1.0,95.0,0.0,0.0,0.0,0.0,0.0,2090.1443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8289.232
1.0,100.0,0.0,0.0,0.0,0.0,0.0,1719.1882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4275.16
1.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.5836407E7,0.0,1412307.8,0.0,0.0,0.0,0.0,26.118946,3.154162E8,3.014439E8,0.0,0.0,9.263681E8,2574436.0,0.0
2.0,5.0,0.0,2695638.2,0.0,7725649.5,0.0,0.0,0.0,0.0,8514.416,6.4904276E7,1.9384765E8,0.0,573264.25,4.795577E7,1966861.0,0.0
2.0,10.0,7252.544,795341.5,20497.8,2.6378904E7,0.0,0.0,0.0,0.0,22142.94,4.279318E7,5.759309E7,4.88834E9,9.764148E7,8.3420264E7,1.4192967E7,0.0
2.0,15.0,114833.6,174743.25,416260.8,2739888.8,0.0,0.0,0.0,0.0,3077883.2,2.1908074E7,1.1670054E7,5.7568275E8,1.8240413E8,4.2817096E7,1.3083601E7,27827.463
2.0,20.0,247472.27,846830.56,461169.94,4.473074,0.0,0.0,0.0,3181338.8,8344908.5,3.8911716E7,3.020429E7,3.9990006E8,1.0811938E8,1.0794207E7,2563697.5,64723.383
2.0,25.0,1283213.4,2004280.9,5680334.5,2.3506278E7,0.0,0.0,0.0,3.3223004E7,5116884.0,2.958856E7,1.11500216E8,1.793752E8,0.15423441,126495.12,1664511.4,29557.123
2.0,30.0,1688580.8,1515740.2,2869414.5,5313606.0,0.0,0.0,0.0,1.3015721E7,3486841.5,6747060.5,1.4589041E7,2.2420506E7,0.0,344626.44,77389.28,13862.93
2.0,35.0,1204109.9,188702.72,0.0,4975997.0,0.0,3486.76,0.0,3677894.8,1278994.6,2055721.0,5502156.5,0.0,0.0,255228.83,0.0,7745.289
2.0,40.0,873621.56,97066.44,0.0,1822614.4,0.0,83879.03,0.0,1.1949329,397865.3,0.0,2372333.8,0.0,0.0,0.0,0.0,5352.1533
2.0,45.0,805645.9,53230.203,0.0,0.0,0.0,90998.625,0.0,0.9703002,6177.278,0.0,0.0,0.0,0.0,0.0,0.0,6533.94
2.0,50.0,753916.5,0.0,0.0,0.0,0.0,34673.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3801.0835
2.0,55.0,723477.94,0.0,0.0,0.0,0.0,32636.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4889.3467
2.0,60.0,600056.2,0.0,0.0,0.0,0.0,19002.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4850.638
2.0,65.0,0.0,0.0,0.0,0.0,0.0,7709.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4103.2373
2.0,70.0,0.0,0.0,0.0,0.0,0.0,6133.4795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4061.2073
2.0,75.0,0.0,0.0,0.0,0.0,0.0,3779.9944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3924.9817
2.0,80.0,0.0,0.0,0.0,0.0,0.0,2926.7803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3765.465
2.0,85.0,0.0,0.0,0.0,0.0,0.0,2068.9587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4449.779
2.0,90.0,0.0,0.0,0.0,0.0,0.0,1809.4807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5095.6685
2.0,95.0,0.0,0.0,0.0,0.0,0.0,1694.0798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6690.152
2.0,100.0,0.0,0.0,0.0,0.0,0.0,1279.3722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2903.9387
2.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
