"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,22854.94,11979.727,27541.646,60808.312,22061.834,4605.729,22378.848,23599.625,31507.936,143023.28,75831.35,237749.77,264246.84,4685486.0,32010.385,7614.81
2.0,25468.967,26871.33,38007.29,65910.29,68488.76,7497.5938,19230.94,31826.537,46408.39,205955.12,49547.133,301445.2,155068.25,1339610.8,177690.48,8047.6064
3.0,27701.855,33145.727,45588.402,69831.305,103760.83,13095.161,14645.604,29083.408,53657.434,267119.25,31504.256,3813544.8,92840.914,171920.9,134364.72,9115.247
4.0,29405.559,41177.074,33313.996,88904.54,175257.7,15460.792,10235.75,24380.342,62369.605,337080.56,51357.395,1203035.0,62502.145,26464.44,158933.02,11028.098
5.0,30576.6,42208.12,37586.797,108745.36,213240.55,16611.639,4185.2534,20674.564,71681.67,332843.62,48703.156,371725.75,42765.832,49968.707,100644.375,13980.424
6.0,30552.6,43891.32,34716.492,112030.266,201023.28,16826.762,1698.429,17900.553,79098.62,343466.16,45127.996,195460.58,37497.27,126201.69,113912.36,17906.361
7.0,29836.086,46646.234,32052.227,101339.945,188941.53,16374.633,1000.22284,15880.194,84037.86,299741.2,33110.57,113173.55,34818.316,171382.0,112954.1,22847.406
8.0,28853.256,52552.12,29218.625,89752.805,196823.0,15554.029,528.92584,14800.415,88614.19,369609.38,28502.17,69409.66,31260.65,51344.35,129775.26,28821.615
9.0,26758.486,56628.273,34912.586,95360.27,175439.72,14390.4795,411.238,13906.643,90663.805,360780.75,26370.496,42895.684,27458.064,122952.484,125570.08,35552.883
10.0,22597.238,55414.78,35592.215,92529.42,169959.16,13298.967,413.3509,13417.793,91530.14,394559.88,19707.57,46022.934,28549.975,140076.19,128995.12,42955.195
11.0,22589.041,41837.254,32591.71,95146.47,155386.75,12203.252,401.6151,14370.193,92954.41,341268.3,15049.164,49523.863,23795.203,207495.02,123750.48,51249.76
12.0,27302.088,32556.814,35068.316,99461.65,172824.1,11572.78,559.8984,14268.119,93412.46,386402.8,14902.777,102454.57,21750.94,70515.4,119322.82,60290.23
13.0,31473.342,34151.164,41988.152,101694.7,159759.56,10800.353,370.48486,13815.387,90191.11,376598.75,12647.197,125175.26,23099.967,162277.67,121742.94,69631.73
14.0,34454.027,34973.6,43328.598,110393.88,148798.1,10029.092,295.92426,12983.465,82070.29,413083.22,16645.512,165605.47,18913.959,149498.61,120159.65,79101.47
15.0,37007.047,35336.797,42824.355,123391.26,147726.61,9353.49,283.73865,13159.219,70045.31,400996.12,17649.258,153971.84,14754.613,169707.61,123518.83,88321.41
16.0,38881.227,36796.473,38427.004,125869.266,151241.39,8569.407,261.4595,13673.754,73954.85,406371.3,15035.071,160787.02,12602.636,76614.31,108572.88,97141.03
17.0,39193.508,37478.754,35524.24,123833.48,133236.66,7747.506,315.69162,13297.639,75969.38,391924.56,16831.682,125690.28,14573.526,146623.55,115482.375,105283.25
18.0,39188.414,39973.188,29101.893,127951.414,130509.02,6941.3774,361.60498,13650.771,76068.32,381939.56,22377.53,133607.12,12646.9795,125016.805,113219.39,112673.75
19.0,41862.24,39268.855,27173.49,135666.47,116947.47,6414.174,352.19016,13865.822,78725.94,336232.9,21286.127,98642.94,8495.438,201680.31,113729.55,120459.04
20.0,48097.996,39224.51,21497.271,132350.88,133265.08,5951.758,322.95172,13751.743,81130.42,366689.8,26734.104,83825.9,6386.646,112436.42,96596.18,128211.74
