"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,16.081053,2.5806746,11.934427,3.3666987,3.3995817,1.6551994,2.5423262,10.12579,1.5426841,3.5998547,2.4388576,7.256682,1.0527238,1.9369764,2.5107548,15.793413
1.0,1.0,22.930698,26.93369,24.242073,26.843866,13.32271,22.893812,15.583632,25.75736,8.515456,20.116093,26.502867,14.578019,16.408388,3.0146763,25.104918,27.138933
1.0,2.0,30.201378,27.92758,29.29347,32.406075,16.275274,36.92702,20.9794,29.24113,22.133749,20.803988,27.314774,20.480328,21.011852,NaN,NaN,38.861458
1.0,3.0,36.646896,32.139023,32.376038,36.148926,18.224417,48.49529,24.118898,31.634909,25.931606,24.008514,30.627234,23.869333,22.970686,NaN,NaN,48.052586
1.0,4.0,42.27804,35.639324,NaN,38.066322,19.551102,58.108055,25.682888,33.29699,29.220545,26.3625,33.24945,26.059555,23.877531,NaN,NaN,55.884106
1.0,5.0,47.324287,38.55322,NaN,39.097107,NaN,66.0815,26.647497,34.483665,32.004444,28.48107,35.170273,27.661022,24.275145,NaN,NaN,62.76509
1.0,6.0,51.758823,40.985344,NaN,39.63272,NaN,72.74003,NaN,35.29968,34.37409,30.301079,36.6405,28.697424,24.454493,NaN,NaN,68.686966
1.0,7.0,55.68719,43.025185,NaN,39.91612,NaN,78.187035,NaN,35.876713,36.38864,31.811638,37.793774,29.399466,24.533758,NaN,NaN,73.824646
1.0,8.0,59.228436,44.710342,NaN,40.06782,NaN,82.65001,NaN,36.282085,38.118126,33.0262,38.718643,29.884745,24.570452,NaN,NaN,78.28659
1.0,9.0,62.4016,46.129093,NaN,40.14813,NaN,86.3183,NaN,36.568367,39.587532,34.054695,39.42536,30.236368,24.586636,NaN,NaN,82.17509
1.0,10.0,NaN,47.309105,NaN,40.191345,NaN,89.38776,NaN,36.769444,40.835136,34.899487,39.97217,30.466745,24.593935,NaN,NaN,85.56918
1.0,11.0,NaN,NaN,NaN,40.21416,NaN,91.897766,NaN,36.911926,41.893337,35.614395,40.40151,NaN,24.597254,NaN,NaN,88.50681
1.0,12.0,NaN,NaN,NaN,40.226337,NaN,93.9836,NaN,37.011505,42.80357,36.21436,40.746925,NaN,24.598915,NaN,NaN,91.05166
1.0,13.0,NaN,NaN,NaN,40.232677,NaN,95.70462,NaN,37.082302,43.574047,36.70649,41.01684,NaN,24.599396,NaN,NaN,93.26604
1.0,14.0,NaN,NaN,NaN,40.236057,NaN,97.123245,NaN,37.13189,44.220547,37.118378,41.226627,NaN,24.599995,NaN,NaN,95.18985
1.0,15.0,NaN,NaN,NaN,40.237747,NaN,98.296394,NaN,37.166767,NaN,NaN,41.391167,NaN,NaN,NaN,NaN,96.86345
1.0,16.0,NaN,NaN,NaN,40.23888,NaN,99.26149,NaN,37.19132,NaN,NaN,41.521645,NaN,NaN,NaN,NaN,98.31846
1.0,17.0,NaN,NaN,NaN,40.239338,NaN,100.06621,NaN,37.208767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.5837
1.0,18.0,NaN,NaN,NaN,40.240063,NaN,100.73279,NaN,37.220943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.68251
1.0,19.0,NaN,NaN,NaN,40.240047,NaN,101.279335,NaN,37.22943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.63944
1.0,20.0,NaN,NaN,NaN,NaN,NaN,101.730576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,21.0,NaN,NaN,NaN,NaN,NaN,102.10739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,22.0,NaN,NaN,NaN,NaN,NaN,102.41779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,23.0,NaN,NaN,NaN,NaN,NaN,102.67555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,24.0,NaN,NaN,NaN,NaN,NaN,102.885864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,0.0,13.998657,2.1339197,9.439901,3.5005894,2.973136,1.2298516,2.334804,8.242868,1.9994231,2.2141652,2.122833,7.2059016,1.0880092,4.1845746,2.0099642,17.244743
2.0,1.0,24.528444,4.429772,26.329689,9.420698,15.010556,26.25216,5.4651875,18.224388,6.9457226,23.75524,8.912254,14.189341,4.013568,3.5519748,12.19035,24.12898
2.0,2.0,30.44034,35.91697,30.114672,31.31938,17.440668,31.0633,19.051895,31.35303,24.789318,26.234856,30.203243,18.65553,19.801542,NaN,NaN,34.685356
2.0,3.0,36.959938,35.51181,32.967552,34.739834,19.028122,43.62265,24.302048,33.26672,28.896317,25.842384,30.362417,23.351826,22.578186,NaN,NaN,45.37077
2.0,4.0,42.64556,38.419254,NaN,37.375042,20.061563,54.00036,26.211842,34.4911,31.737808,27.962929,33.11551,25.81191,23.687038,NaN,NaN,53.69104
2.0,5.0,47.60407,40.854794,NaN,38.717087,NaN,62.65312,26.990705,35.28524,34.26478,29.504457,35.27217,27.502975,24.18231,NaN,NaN,60.78695
2.0,6.0,52.053207,42.94476,NaN,39.44015,NaN,69.83576,NaN,35.88695,36.29073,31.142395,36.76568,28.655474,24.41761,NaN,NaN,67.02302
2.0,7.0,55.96474,44.666634,NaN,39.815525,NaN,75.83817,NaN,36.290882,38.061165,32.575066,37.89054,29.401348,24.520308,NaN,NaN,72.38739
2.0,8.0,59.43021,46.07895,NaN,40.013424,NaN,80.74491,NaN,36.569557,39.505226,33.7444,38.78736,29.857336,24.564066,NaN,NaN,77.04142
2.0,9.0,62.553963,47.251167,NaN,40.11966,NaN,84.76405,NaN,36.77414,40.802162,34.630306,39.501137,30.20713,24.584568,NaN,NaN,81.082855
2.0,10.0,NaN,48.269756,NaN,40.17571,NaN,88.06595,NaN,36.911213,41.872948,35.401066,40.04139,30.471125,24.592625,NaN,NaN,84.60583
2.0,11.0,NaN,NaN,NaN,40.205948,NaN,90.83269,NaN,37.008293,42.748768,36.027622,40.457943,NaN,24.596859,NaN,NaN,87.68114
2.0,12.0,NaN,NaN,NaN,40.221947,NaN,93.09249,NaN,37.08003,43.541424,36.56273,40.78181,NaN,24.598564,NaN,NaN,90.34247
2.0,13.0,NaN,NaN,NaN,40.230476,NaN,94.971085,NaN,37.131107,44.216457,37.01543,41.049828,NaN,24.599535,NaN,NaN,92.64744
2.0,14.0,NaN,NaN,NaN,40.234882,NaN,96.52062,NaN,37.166573,44.764088,37.36665,41.254856,NaN,24.599688,NaN,NaN,94.653305
2.0,15.0,NaN,NaN,NaN,40.237232,NaN,97.798004,NaN,37.191647,NaN,NaN,41.41413,NaN,NaN,NaN,NaN,96.395836
2.0,16.0,NaN,NaN,NaN,40.238373,NaN,98.85438,NaN,37.208664,NaN,NaN,41.539394,NaN,NaN,NaN,NaN,97.91188
2.0,17.0,NaN,NaN,NaN,40.239212,NaN,99.72288,NaN,37.22058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.22993
2.0,18.0,NaN,NaN,NaN,40.239513,NaN,100.44777,NaN,37.22939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.37606
2.0,19.0,NaN,NaN,NaN,40.24016,NaN,101.04833,NaN,37.23545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.37135
2.0,20.0,NaN,NaN,NaN,NaN,NaN,101.54027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,21.0,NaN,NaN,NaN,NaN,NaN,101.94635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,22.0,NaN,NaN,NaN,NaN,NaN,102.28583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,23.0,NaN,NaN,NaN,NaN,NaN,102.56536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,24.0,NaN,NaN,NaN,NaN,NaN,102.79758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,0.0,13.457228,1.9460182,9.474993,2.7371192,2.9791675,1.4129038,2.2739222,8.1644745,2.0312438,2.3656454,2.232209,6.106969,1.1729529,4.345767,1.9743501,17.161686
3.0,1.0,22.733875,4.628255,26.036066,10.876021,10.644638,NaN,6.5808187,15.043673,8.29394,18.073885,9.055591,15.507975,3.0191402,18.227955,10.488378,25.488419
3.0,2.0,31.808886,22.919779,31.553473,12.218426,19.103083,33.609737,16.390818,21.858732,21.3942,29.091373,12.868842,17.519293,17.190428,NaN,NaN,31.731602
3.0,3.0,37.16294,43.147896,33.736034,33.69385,20.134476,37.773224,22.081081,35.18254,30.888462,31.179543,33.393383,21.7334,21.537552,NaN,NaN,41.250233
3.0,4.0,42.943638,41.644768,NaN,35.981575,20.813356,49.125904,26.324287,35.993225,34.523014,29.748125,32.847935,25.503801,23.428045,NaN,NaN,51.021465
3.0,5.0,47.955708,43.447407,NaN,38.027428,NaN,58.54944,27.470543,36.421593,36.59963,31.209858,35.10314,27.350563,24.069904,NaN,NaN,58.594925
3.0,6.0,52.333397,45.073742,NaN,39.063545,NaN,66.40996,NaN,36.617565,38.45748,32.208733,36.88166,28.60175,24.35413,NaN,NaN,65.05113
3.0,7.0,56.253105,46.515602,NaN,39.622856,NaN,72.93949,NaN,36.83442,39.914158,33.396713,38.0037,29.407578,24.49279,NaN,NaN,70.72619
3.0,8.0,59.702484,47.636826,NaN,39.912823,NaN,78.39973,NaN,36.94951,41.0105,34.473515,38.88315,29.930698,24.55425,NaN,NaN,75.60566
3.0,9.0,62.756973,48.555145,NaN,40.06521,NaN,82.85988,NaN,37.03776,42.12236,35.33933,39.59036,30.22762,24.579613,NaN,NaN,79.83905
3.0,10.0,NaN,49.31273,NaN,40.14726,NaN,86.51209,NaN,37.10778,43.03588,35.966354,40.116165,30.465044,24.591564,NaN,NaN,83.514755
3.0,11.0,NaN,NaN,NaN,40.190388,NaN,89.51105,NaN,37.141857,43.768112,36.5205,40.51982,NaN,24.595894,NaN,NaN,86.71984
3.0,12.0,NaN,NaN,NaN,40.21373,NaN,92.027466,NaN,37.169888,44.333675,36.96096,40.83653,NaN,24.598383,NaN,NaN,89.51787
3.0,13.0,NaN,NaN,NaN,40.22608,NaN,94.08039,NaN,37.193367,44.903175,37.34122,41.084522,NaN,24.599232,NaN,NaN,91.9389
3.0,14.0,NaN,NaN,NaN,40.23268,NaN,95.78764,NaN,37.210716,45.369755,37.67192,41.28434,NaN,24.599834,NaN,NaN,94.035255
3.0,15.0,NaN,NaN,NaN,40.236057,NaN,97.19541,NaN,37.223637,NaN,NaN,41.440315,NaN,NaN,NaN,NaN,95.859764
3.0,16.0,NaN,NaN,NaN,40.237858,NaN,98.35599,NaN,37.23123,NaN,NaN,41.5615,NaN,NaN,NaN,NaN,97.444664
3.0,17.0,NaN,NaN,NaN,40.238705,NaN,99.31577,NaN,37.237453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.82369
3.0,18.0,NaN,NaN,NaN,40.23939,NaN,100.10444,NaN,37.24043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.02258
3.0,19.0,NaN,NaN,NaN,40.23961,NaN,100.76331,NaN,37.243454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.06516
3.0,20.0,NaN,NaN,NaN,NaN,NaN,101.30927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,21.0,NaN,NaN,NaN,NaN,NaN,101.75604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,22.0,NaN,NaN,NaN,NaN,NaN,102.124794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,23.0,NaN,NaN,NaN,NaN,NaN,102.4334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,24.0,NaN,NaN,NaN,NaN,NaN,102.68738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,0.0,14.003388,1.7590156,9.123773,2.7987742,2.9105723,1.6362157,2.2757351,8.144822,1.8045859,2.362478,2.2617402,2.566397,1.5114039,3.7001715,2.0081775,17.196592
4.0,1.0,21.905426,4.4257264,26.081865,10.8302965,11.743634,14.499596,6.7111444,15.273823,6.737259,18.562532,9.13799,19.094349,3.0789957,24.339724,9.731784,25.317236
4.0,2.0,30.172277,14.792851,31.420725,13.425017,16.826267,NaN,14.713126,17.63614,23.49364,22.692793,12.535228,18.606277,5.874934,NaN,NaN,32.84721
4.0,3.0,38.36675,34.974445,34.806232,14.018521,21.75269,39.69916,20.71881,26.096615,26.114466,33.82085,16.452078,20.00635,20.395056,NaN,NaN,38.369705
4.0,4.0,43.136143,49.078117,NaN,34.959885,21.94491,43.287796,24.208868,37.907436,36.35544,35.18315,36.054993,24.019156,22.428375,NaN,NaN,46.972435
4.0,5.0,48.24397,46.681377,NaN,36.640667,NaN,53.67503,27.57707,37.901115,39.14314,33.03237,34.93543,27.215412,23.843391,NaN,NaN,55.93513
4.0,6.0,52.66976,47.69852,NaN,38.373344,NaN,62.30928,NaN,37.749237,40.65952,34.004246,36.779476,28.508526,24.261139,NaN,NaN,62.85739
4.0,7.0,56.529076,48.617542,NaN,39.2471,NaN,69.51662,NaN,37.563126,41.906376,34.550262,38.190678,29.413698,24.43946,NaN,NaN,68.7565
4.0,8.0,59.983974,49.445675,NaN,39.719612,NaN,75.50601,NaN,37.49439,42.91023,35.3557,39.0416,29.976694,24.531935,NaN,NaN,73.94468
4.0,9.0,63.023964,50.115013,NaN,39.96438,NaN,80.51785,NaN,37.413086,43.47336,36.123295,39.70962,30.326231,24.571846,NaN,NaN,78.40317
4.0,10.0,NaN,50.58018,NaN,40.09266,NaN,84.60871,NaN,37.367493,44.247356,36.714046,40.235657,30.500042,24.587723,NaN,NaN,82.27092
4.0,11.0,NaN,NaN,NaN,40.161873,NaN,87.95751,NaN,37.33961,44.926174,37.124367,40.61649,NaN,24.595087,NaN,NaN,85.62872
4.0,12.0,NaN,NaN,NaN,40.19816,NaN,90.70595,NaN,37.30536,45.34222,37.492496,40.910606,NaN,24.597443,NaN,NaN,88.55747
4.0,13.0,NaN,NaN,NaN,40.217846,NaN,93.015396,NaN,37.284355,45.625534,37.76992,41.148457,NaN,24.59907,NaN,NaN,91.11448
4.0,14.0,NaN,NaN,NaN,40.228275,NaN,94.89725,NaN,37.27241,46.03723,38.015858,41.3308,NaN,24.59956,NaN,NaN,93.326645
4.0,15.0,NaN,NaN,NaN,40.23385,NaN,96.46282,NaN,37.26766,NaN,NaN,41.479237,NaN,NaN,NaN,NaN,95.24162
4.0,16.0,NaN,NaN,NaN,40.23668,NaN,97.753365,NaN,37.263733,NaN,NaN,41.592163,NaN,NaN,NaN,NaN,96.90851
4.0,17.0,NaN,NaN,NaN,40.238186,NaN,98.817345,NaN,37.25886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.3564
4.0,18.0,NaN,NaN,NaN,40.238884,NaN,99.69729,NaN,37.257416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.61627
4.0,19.0,NaN,NaN,NaN,40.239487,NaN,100.419945,NaN,37.2544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.71162
4.0,20.0,NaN,NaN,NaN,NaN,NaN,101.024216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,21.0,NaN,NaN,NaN,NaN,NaN,101.52502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,22.0,NaN,NaN,NaN,NaN,NaN,101.93446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,23.0,NaN,NaN,NaN,NaN,NaN,102.27235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,24.0,NaN,NaN,NaN,NaN,NaN,102.555405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,0.0,13.360434,1.6414971,8.931848,2.524233,2.6294084,1.7496251,2.442809,7.413067,1.7775252,1.9783037,2.318518,6.886792,1.7878314,4.130754,2.0518074,17.064257
5.0,1.0,22.952894,3.857755,25.818666,11.06377,8.903556,13.578203,10.853172,16.531906,6.927754,18.618967,10.022414,18.306608,3.5254643,24.435957,11.493892,25.365387
5.0,2.0,29.222649,16.06003,31.39223,13.6241255,16.634035,22.652788,13.307212,18.124002,22.142736,23.413822,12.825622,22.458498,6.062772,NaN,NaN,32.59185
5.0,3.0,36.80885,19.675215,34.760685,15.182666,19.931944,NaN,17.006784,20.212275,29.616333,27.069773,15.435795,21.276226,13.272954,NaN,NaN,39.263386
5.0,4.0,44.183235,42.834908,NaN,15.621369,23.59975,44.73159,22.751148,30.379211,29.935358,37.60669,18.693924,21.79912,21.161282,NaN,NaN,44.149193
5.0,5.0,48.429832,53.870033,NaN,35.63391,NaN,47.83411,25.482615,39.780617,40.574215,38.572094,38.278988,25.600815,22.813345,NaN,NaN,51.95001
5.0,6.0,52.955616,50.817284,NaN,36.99052,NaN,57.433754,NaN,39.199715,43.000423,35.91332,36.60997,28.416296,24.050087,NaN,NaN,60.20624
5.0,7.0,56.862526,51.130356,NaN,38.557255,NaN,65.41797,NaN,38.65368,43.96833,36.426105,38.106476,29.382399,24.350435,NaN,NaN,66.56283
5.0,8.0,60.26136,51.459393,NaN,39.344776,NaN,72.08542,NaN,38.21074,44.622692,36.578957,39.237843,30.005322,24.480375,NaN,NaN,71.978546
5.0,9.0,63.3006,51.818115,NaN,39.77093,NaN,77.628174,NaN,37.956837,45.32664,37.03596,39.872562,30.393675,24.550627,NaN,NaN,76.742836
5.0,10.0,NaN,52.10734,NaN,39.991734,NaN,82.26923,NaN,37.734062,45.60666,37.537655,40.36174,30.615025,24.580698,NaN,NaN,80.83494
5.0,11.0,NaN,NaN,NaN,40.107227,NaN,86.05472,NaN,37.590626,46.05587,37.890305,40.744022,NaN,24.591278,NaN,NaN,84.38486
5.0,12.0,NaN,NaN,NaN,40.169613,NaN,89.152626,NaN,37.500626,46.48747,38.10875,41.016647,NaN,24.59684,NaN,NaN,87.46631
5.0,13.0,NaN,NaN,NaN,40.20228,NaN,91.69393,NaN,37.417522,46.626575,38.32096,41.229996,NaN,24.598215,NaN,NaN,90.15486
5.0,14.0,NaN,NaN,NaN,40.22003,NaN,93.83223,NaN,37.363075,46.75185,38.457382,41.397675,NaN,24.599417,NaN,NaN,92.50237
5.0,15.0,NaN,NaN,NaN,40.22944,NaN,95.57265,NaN,37.32873,NaN,NaN,41.52651,NaN,NaN,NaN,NaN,94.53294
5.0,16.0,NaN,NaN,NaN,40.23447,NaN,97.02107,NaN,37.308804,NaN,NaN,41.63506,NaN,NaN,NaN,NaN,96.29029
5.0,17.0,NaN,NaN,NaN,40.237007,NaN,98.21467,NaN,37.292397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.82017
5.0,18.0,NaN,NaN,NaN,40.23836,NaN,99.19881,NaN,37.278614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.14891
5.0,19.0,NaN,NaN,NaN,40.23898,NaN,100.01275,NaN,37.271404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.30525
5.0,20.0,NaN,NaN,NaN,NaN,NaN,100.68081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,21.0,NaN,NaN,NaN,NaN,NaN,101.23993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,22.0,NaN,NaN,NaN,NaN,NaN,101.70341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,23.0,NaN,NaN,NaN,NaN,NaN,102.08199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,24.0,NaN,NaN,NaN,NaN,NaN,102.394325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0,0.0,13.006705,1.6854004,9.053026,2.5262926,2.6858897,1.6179945,2.6588757,7.6323986,1.7307646,2.0768743,2.498959,5.3564467,1.898845,4.305716,1.9986862,17.147522
6.0,1.0,22.793633,4.408699,25.939772,10.288852,8.462108,15.378943,8.445806,15.525042,5.2741203,19.016584,11.176668,19.168825,4.177639,22.930037,12.760272,25.222128
