"Distribution of fish species biomass (tonne) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,217.04495,6223.7324,3360.1003,3855.5547,9516.46,0.0,11131.906,166.88437,0.0017006749,15884.872,49.02077,0.0,61694.348,512249.84,27084.61,44.644085
1.0,1.0,819.2959,9606.052,13465.802,23990.379,407.01303,0.0,5827.7974,7716.9956,216.7198,55860.8,9817.241,0.0,86985.07,71878.44,11149.094,96.83535
1.0,2.0,1260.8433,1161.1562,5491.302,8929.229,623.13324,0.0,4596.532,7653.059,5658.8765,14865.873,974.81555,0.0,42723.65,0.0,0.0,140.48062
1.0,3.0,1814.5616,562.6264,3332.223,5373.6494,800.15485,1.7456524,3965.9348,3790.4895,5974.6895,13077.792,5201.6406,3213.1426,26623.254,0.0,0.0,206.21323
1.0,4.0,2423.4648,476.943,0.0,3605.9128,800.0585,639.14514,3214.819,2314.4055,3211.6934,7929.593,2935.577,36837.543,17489.568,0.0,0.0,260.9261
1.0,5.0,2974.9321,393.12277,0.0,2544.3784,0.0,362.1965,2616.822,1565.5085,1795.9225,6910.48,2194.913,24802.021,12898.294,0.0,0.0,309.47028
1.0,6.0,3383.6035,349.0879,0.0,2047.4236,0.0,206.53313,0.0,1242.909,1062.1692,5817.309,1807.2426,18876.305,9166.247,0.0,0.0,354.47076
1.0,7.0,3381.7827,326.22125,0.0,1616.1621,0.0,148.75194,0.0,976.98883,691.1667,4811.17,1499.6697,14748.209,6708.806,0.0,0.0,387.4472
1.0,8.0,3109.1226,295.0024,0.0,1262.7693,0.0,118.60857,0.0,762.76776,530.9276,4246.095,1238.5242,12308.41,5357.0347,0.0,0.0,408.56262
1.0,9.0,2915.031,260.61227,0.0,984.7295,0.0,96.45801,0.0,593.2256,448.42807,3910.333,1079.0098,9645.284,4367.0293,0.0,0.0,419.86963
1.0,10.0,0.0,225.83795,0.0,807.9743,0.0,78.953865,0.0,481.55618,386.72342,3602.904,979.54315,8080.889,3578.1917,0.0,0.0,434.85562
1.0,11.0,0.0,0.0,0.0,714.9939,0.0,64.62974,0.0,419.36932,337.17978,3299.0852,878.63654,0.0,3040.8198,0.0,0.0,453.17685
1.0,12.0,0.0,0.0,0.0,632.10736,0.0,53.016624,0.0,363.91574,294.62677,2952.0884,778.72174,0.0,2502.413,0.0,0.0,467.5005
1.0,13.0,0.0,0.0,0.0,558.3595,0.0,45.767933,0.0,315.2828,257.95428,2632.188,686.52325,0.0,2034.6704,0.0,0.0,476.9668
1.0,14.0,0.0,0.0,0.0,493.60718,0.0,41.46531,0.0,272.44373,225.44016,2310.4973,615.3302,0.0,1751.4237,0.0,0.0,482.051
1.0,15.0,0.0,0.0,0.0,436.46228,0.0,37.431915,0.0,235.60423,0.0,0.0,537.91473,0.0,0.0,0.0,0.0,483.26447
1.0,16.0,0.0,0.0,0.0,384.5591,0.0,33.673603,0.0,203.44965,0.0,0.0,474.26135,0.0,0.0,0.0,0.0,481.12863
1.0,17.0,0.0,0.0,0.0,340.22278,0.0,30.200712,0.0,175.5308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.15118
1.0,18.0,0.0,0.0,0.0,300.4144,0.0,27.015371,0.0,151.52625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.81082
1.0,19.0,0.0,0.0,0.0,265.04553,0.0,24.11239,0.0,130.65945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.54727
1.0,20.0,0.0,0.0,0.0,0.0,0.0,21.481083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,19.106855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,16.972704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,15.060402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,13.351345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,40.698418,11287.347,1786.669,0.0,33949.11,0.0,5644.524,775.2037,0.0,4021.2244,0.0,0.0,60991.31,33863.188,66430.97,266.52908
