"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.957297382070692,17.767074321798255,0.17011952584077306,0.0,0.0015222718189473066,0.0,2.2370560281348078,0.07284514228142092,0.07159973266842765,2.7647370551254526E-6,0.002792861825149604,0.08832193656896656,0.0,0.0,0.0,0.0,0.0,0.0,1.8187139910649718E-7,3.4225173825173976E-4,0.017347366224452244,0.0,0.0,8.015588709031906E-5,
2.0,1.0017087354628331,18.179348952148654,0.2464524789982919,0.0,0.032263449454982746,0.008818221855039776,2.264673458867708,0.06987165543576102,0.07161813106665979,2.2805036563051683E-6,0.0011618318834492965,0.06561147456253626,0.0,0.0,0.0,0.0,0.0,0.0,6.02091179219463E-8,5.418790478250639E-5,0.013096428877918998,0.0,0.0,5.671450592124667E-5,
3.0,0.891015861462295,36.89910480563654,0.06760814303272926,0.0,0.05811617181314609,0.02152403557920716,2.148492361871275,0.07983226721399925,0.07160356201699437,2.250716294866907E-6,0.0011742183681039966,0.06847898772399792,0.0,0.0,0.0,0.0,0.0,0.0,5.42594352418001E-8,4.417593870053193E-5,0.01138813965507325,0.0,0.0,3.45489901436023E-5,
4.0,0.7415524760499411,15.296993978927468,0.087527718359446,0.0,0.02410888706709883,0.01649664479585847,2.0225576139656654,0.07025752872971028,0.07160166578103001,2.2733258012984303E-6,0.0011070857884836111,0.04885355409848073,0.0,0.0,0.0,0.0,0.0,0.0,7.857905722198063E-8,6.364561804803134E-5,0.009336405017466446,0.0,0.0,3.8725123286777013E-5,
5.0,0.7119112984096382,15.86121680618872,0.07658667114094321,0.0,0.0356443083462636,6.274424843443861E-4,1.9961651637795548,0.07024610157070366,0.07160572619490248,2.0749237909113146E-6,6.210339765420607E-4,0.05716672470431887,0.0,0.0,0.0,0.0,0.0,0.0,4.8720309549892424E-8,2.4101815001679383E-5,0.011359371346750313,0.0,0.0,1.8398066562896876E-5,
6.0,0.6710722305899878,18.14284668473324,0.30358043753279623,0.0,0.01334585131197534,0.03234568493347732,1.9621732903055527,0.06885148801711909,0.07158522961635572,3.972123008520434E-6,0.0012465120485984531,0.1170245826433717,0.0,0.0,0.0,0.0,0.0,0.0,4.064235921425848E-7,1.3447700945516469E-4,0.024739349738868585,0.0,0.0,2.274735411120231E-5,
7.0,0.6562942976632606,15.819783308079838,0.10386822169359537,0.0,0.030641431089815024,0.018686299742259545,1.972749886094306,0.07048158123562348,0.07161232298059006,2.8695346847965505E-6,0.001026755749648198,0.08360987153242251,0.0,0.0,0.0,0.0,0.0,0.0,2.523654643505583E-7,1.0191489832866509E-4,0.01770846936623254,0.0,0.0,2.8383840628883678E-5,
8.0,0.6586311391759545,16.15755312117631,0.5621467603971599,0.0,0.03048024162122944,0.019028679422290102,1.9584738919614753,0.06974151145915283,0.07162578870628536,2.1545352125516833E-6,7.052504319439113E-4,0.039358683480360285,0.0,0.0,0.0,0.0,0.0,0.0,1.742561213307877E-7,6.449990051727691E-5,0.006310469474828224,0.0,0.0,2.522978042305647E-5,
9.0,0.6382636900404689,12.658341276090546,0.15360648528318183,0.0,0.020291263168063296,0.0,1.9382999603216298,0.07005164778091075,0.07160668173133894,2.314407250806354E-6,9.402384471067788E-4,0.03913526085515877,0.0,0.0,0.0,0.0,0.0,0.0,1.9228540398352678E-7,8.819104880072133E-5,0.00574321567486262,0.0,0.0,2.7206997807599858E-5,
10.0,0.6110357372529556,11.584568519546307,0.9070566112239504,0.0,0.04022304793261595,0.010125670020600172,1.9270782595774767,0.0706043802356146,0.07163940906227609,3.901385308973892E-6,0.001313315616082543,0.06068215392612784,0.0,0.0,0.0,0.0,0.0,0.0,4.844231187412182E-7,1.7130405134135952E-4,0.010825033424778564,0.0,0.0,1.4071014878596242E-5,
