"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,24.601835518033983,4.229636252263299,0.24497785209296427,0.0,0.899784374941387,0.24190397851723056,0.008571194792152596,8.858274875273591E-4,8.939008846330104E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059386753754452105,
2.0,13.946505425505578,7.254890745631523,2.8434655926648373,0.0,1.1336415667986746,0.7734913204699682,0.005774575112013115,8.808415108799892E-4,8.880817760479318E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022407859466979232,
3.0,11.282168776244545,7.6645031693786105,2.6554805177208873,0.0,1.0367530554389313,0.38351281178799207,0.005293090644231057,8.869594833756082E-4,8.922274070352033E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06791017108225096,
4.0,9.983958098551417,10.567771906525538,1.2936992010718054,0.0,0.9151217283302693,0.1832119071794812,0.005098129064632322,8.855113857086827E-4,8.916623248540206E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21565420380867303,
5.0,8.629667690360735,11.48339179510449,1.6910523120823309,0.0,0.8171372346922134,0.3659219536793941,0.004864600230371616,8.860462013069041E-4,9.002048456435403E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357618386715093,
6.0,9.128146158268311,11.841641211028982,1.9758417220682312,0.0,0.6581394685615566,0.33154793129399085,0.004964341031147011,8.834975305179727E-4,8.964049150721635E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5363702931370137,
7.0,7.630873902529334,13.108937957554446,2.0487343473794524,0.0,0.3642971666034389,0.4239926754594351,0.0047179485251290015,8.770947918312112E-4,8.981459442318592E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014704422849531208,
8.0,7.004856821370983,17.03960980367786,0.4730358967575937,0.0,0.18056183691564057,0.44769479046635885,0.00462202058247043,8.729288994236463E-4,8.950877035838992E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037543600563875845,
9.0,7.687870734593197,14.005317004727237,0.5016626496405394,0.0,0.24431929365560295,0.24512823753616614,0.00472303908162767,8.742827641870388E-4,8.956218193368606E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08811188461403947,
10.0,7.222676683211075,14.56776346247267,0.9448755542770964,0.0,0.2722270652285328,0.25079482944652914,0.004652754526812816,8.769782918520103E-4,8.955301124499886E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06900338198752023,
11.0,7.324381329830592,14.26415923838643,0.39669937031840147,0.0,0.27407394888609743,0.2173233070573237,0.0046654382495133935,8.741095347722499E-4,8.944103700338308E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1001459632054436,
12.0,8.530005149563655,12.450444997937531,0.3160286289401875,0.0,0.2822769756745674,0.5164304277899847,0.004850053967085279,8.762615840699003E-4,8.945970614551876E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885751583696666,
13.0,7.257003783335123,13.917389685610303,2.1985995673937087,0.0,0.3069893419340415,0.3497837931873382,0.0046623552444559745,8.736624815918528E-4,8.948476297459951E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19845182526089322,
14.0,7.699076524246088,12.48143329424764,1.7992533280717544,0.0,0.35972863225981105,0.238424082681517,0.004725858725150086,8.756681795738245E-4,9.040228793322125E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02449840566052115,
15.0,7.731889038568671,14.481973226401177,1.8996785120949213,0.0,0.2537635028921717,0.23111387691722837,0.004733181574589282,8.744860696729222E-4,8.954081414910362E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1219546365840929,
16.0,7.544066478308489,13.18111050687491,1.1521567983408352,0.0,0.2546502355069257,0.2894380530818734,0.004700270350739346,8.732651962666258E-4,8.997550343147136E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20245223973917853,
17.0,7.873768737191306,14.736600418385677,0.4076823356394393,0.0,0.26428262392199925,0.24477382480717802,0.0047523081670143965,8.878812766853617E-4,8.939880748848091E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03182810358286898,
18.0,7.771780926690586,12.867041726089806,1.2989698891596064,0.0,0.3350911595018823,0.1864588974589231,0.004739323779035761,8.763883645589005E-4,8.965496331655813E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11473783633955943,
19.0,7.539837186603422,12.28694257477948,1.5116381519412267,0.0,0.20058834296227102,0.5172798120345694,0.004706793257999447,8.745061111928915E-4,8.988949123793968E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011845394184064661,
20.0,9.161262753452018,13.69715554504652,1.6483122520185802,0.0,0.28624836269955994,0.2942041038823164,0.004964751713572232,8.778523472588323E-4,8.917285005969481E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06557708112476576,
