"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.10847461679944864,12.658911909170769,0.4987937195121783,0.0,0.13175799583950562,0.14965547958008382,3.751772387347714,0.05099044403269072,0.05011730490211943,9.661761478771851E-7,0.005534136050811472,0.041154143334216055,0.0,0.0,0.03285681062352731,0.0,0.0,0.0,7.243445298309778E-7,0.004252786287400366,0.031425387918757444,0.0,0.0,0.00466539988552197,
2.0,0.10455456959626357,17.21108562328848,0.056262480783440504,0.0,0.22078268621180255,0.19108232600115987,3.485962978927946,0.05018272536132193,0.04979913472921121,1.085425696925409E-6,0.004926484728745548,0.056820709148307044,0.0,0.0,0.039734494638703696,0.0,0.0,0.0,8.860120144171562E-7,0.004353449609388093,0.0521996830832248,0.0,0.0,0.0028016612020209794,
3.0,0.10494700546169418,14.617799124817095,0.026385994221269474,0.0,0.09648813018044783,0.1706822449702418,3.476956437795397,0.05021622417069139,0.04916700337008459,9.130029383560752E-7,0.0035953297336149687,0.049985676338070224,0.0,0.0,0.052528259522845455,0.0,0.0,0.0,7.645378858356923E-7,0.0032699676639237783,0.0477120031536818,0.0,0.0,0.002426963137350904,
4.0,0.1013969882837461,12.70527291829298,0.03812407566131579,0.0,0.24891215512993536,0.21410995690180165,3.465911431819119,0.05105627036690497,0.04492757523378318,1.3821592829026197E-6,0.007086575222411103,0.06073890202103719,0.0,0.0,0.1385505884904764,0.0,0.0,0.0,1.0578811726317872E-6,0.005734787481631774,0.04999730603105622,0.0,0.0,0.001863774590003003,
5.0,0.08312794211992103,13.084696523584963,0.28381103835559035,0.0,0.27540257072954255,0.20341181436712227,3.374698332437323,0.05124642510456791,0.046208515239065495,1.0289234885595816E-6,0.00355763175143524,0.04134657564212403,0.0,0.0,0.11284769013584764,0.0,0.0,0.0,8.26289587531395E-7,0.0030634239535280057,0.037115660649297645,0.0,0.0,0.0015140516550485193,
6.0,0.08293977785644924,13.933012521066079,0.06611756817785167,0.0,0.24582276529147318,0.2512246162967576,3.3705387942574596,0.0504655132366394,0.04956920189749843,1.2370862715542673E-6,0.006321496130381899,0.06243384857108347,0.0,0.0,0.04438024820996826,0.0,0.0,0.0,7.878098435783198E-7,0.0038580508503569836,0.036378331504119,0.0,0.0,9.462732102157536E-4,
7.0,0.07827650240172133,14.242677589009409,0.05069237851642554,0.0,0.34738005384371046,0.39097111127856154,3.3490939362911267,0.050692703486018564,0.0499689206961273,1.0957183513192303E-6,0.0065680482300437566,0.05038277950844229,0.0,0.0,0.03622331511958451,0.0,0.0,0.0,7.485024588994507E-7,0.004417863259107184,0.03303921580151342,0.0,0.0,5.187238802212529E-4,
8.0,0.07634323238127552,17.613921248531728,0.07347286749463362,0.0,0.22883882085881818,0.25633576170752703,3.3407649464159395,0.05088451712160855,0.0496782924321882,9.191835537785726E-7,0.005913010670348803,0.04292120155412892,0.0,0.0,0.04209918093668452,0.0,0.0,0.0,6.426699925311414E-7,0.004116423676783218,0.029377759596651717,0.0,0.0,3.6051109892188104E-4,
9.0,0.07537148712076168,15.841160810713887,0.04645080167044582,0.0,0.23541147282313432,0.24923731403596855,3.3349202639327338,0.05129340796774587,0.048258408200151585,9.579669684096957E-7,0.006179163321767521,0.04483246462125908,0.0,0.0,0.07093257593978203,0.0,0.0,0.0,6.653737889729336E-7,0.004247606604383798,0.030218036692402285,0.0,0.0,3.1387145862652436E-4,
10.0,0.07805171652392265,12.9376998169747,0.057650936387055526,0.0,0.2984288953171094,0.27427144893801164,3.3462753810723913,0.0502891685623423,0.04799789830822067,1.184047223669367E-6,0.008668279412273513,0.06586101165889263,0.0,0.0,0.07622443071235162,0.0,0.0,0.0,6.793978528988616E-7,0.004517111972170377,0.032503676098103805,0.0,0.0,2.8245515448496966E-4,
11.0,0.08063611830324295,13.702554281610952,0.06043877217356019,0.0,0.3576924816458892,0.3088904730410221,3.361904741558844,0.05111940969723538,0.04893285308854184,6.270595240992607E-7,0.003444379342678454,0.027405898468432707,0.0,0.0,0.057245496232045126,0.0,0.0,0.0,4.78820032936149E-7,0.0027446369931240526,0.021878649931462907,0.0,0.0,2.311057820508146E-4,
12.0,0.07300221255433169,16.025282966743944,0.07983347076981984,0.0,0.2158296875852072,0.2702576418419762,3.3253698163502166,0.051001746128395274,0.04908991943477525,9.467521207790245E-7,0.004515931331900058,0.043363101494069835,0.0,0.0,0.054057025712205116,0.0,0.0,0.0,6.313919669630584E-7,0.002934069446976742,0.027257831534805932,0.0,0.0,2.0398828271405242E-4,
13.0,0.07620559481849072,14.502491560876537,0.0707103020675711,0.0,0.2163078021049001,0.2710524770999679,3.346648538754771,0.051164608356697006,0.04926570785475513,6.593832081005991E-7,0.0035516003252741447,0.0313236570253657,0.0,0.0,0.050487459073700926,0.0,0.0,0.0,4.740126873768044E-7,0.0025794147318252345,0.022450070107890227,0.0,0.0,3.626743444568429E-4,
14.0,0.0856531448834087,17.02375429272387,0.07933202620932575,0.0,0.2080661339482186,0.3224411887988625,3.3845271082775064,0.05044975149520583,0.04804198739346272,5.921599729182287E-7,0.0037182905786943524,0.02938811335403083,0.0,0.0,0.07532371877043605,0.0,0.0,0.0,4.393505217634568E-7,0.002840548294823717,0.022324819601793864,0.0,0.0,5.022091202479704E-4,
