"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,6.966178851087928,3.5208847486551766,0.18825920186992365,0.0,1.8169017968882497,0.01911036925900462,0.16848132331438762,4.4141700130220963E-4,4.4391171480196557E-4,2.7681661828961682E-5,5.403865355788986E-4,0.07974541143666651,0.0,0.0,0.0,0.0,0.0,0.0,4.1133916248454496E-5,7.754330540997483E-4,0.07616330775136787,0.0,0.0,6.896687488261215E-4,
2.0,5.892663283879943,6.806011278391655,3.2299745566282367,0.0,1.4878194675355516,1.0040807432846084,0.15820845894363453,4.40956439317455E-4,4.400517368340504E-4,2.5369565680438252E-5,5.46053713280523E-4,0.0334107330568896,0.0,0.0,0.0,0.0,0.0,0.0,3.969693804622979E-5,8.331932263704212E-4,0.027786557577859805,0.0,0.0,1.1130543939272277E-4,
3.0,5.738497762865923,6.978508658894493,2.518345050104699,0.0,1.529185361680833,0.7627084521276661,0.1565763894575767,4.415931752811862E-4,4.4233840429413085E-4,2.4310815575521153E-5,4.3060488850106684E-4,0.04978495164647305,0.0,0.0,0.0,0.0,0.0,0.0,3.8147830530124355E-5,6.618935334445983E-4,0.04368132951382779,0.0,0.0,2.6550904656292776E-4,
4.0,5.885536364716589,7.367500582672328,3.713731446178632,0.0,1.5149913932095709,0.374131755704042,0.1578928850295482,4.4463053280169795E-4,4.407316431695251E-4,2.0800258467088766E-5,4.3473737171262057E-4,0.05083940044978751,0.0,0.0,0.0,0.0,0.0,0.0,3.219971157014821E-5,6.506001119356309E-4,0.04747738005652985,0.0,0.0,4.6591150062625687E-4,
5.0,5.347617084945251,7.145097448360957,0.7386268318328627,0.0,1.5906374922415814,0.10195872947873155,0.15263126155366885,4.446742194181499E-4,4.430748227272726E-4,1.90112597433129E-5,3.0472369661103797E-4,0.06994954806414524,0.0,0.0,0.0,0.0,0.0,0.0,2.9850821495524682E-5,4.7237618803828513E-4,0.06859722209619001,0.0,0.0,7.086376521783874E-4,
6.0,4.750834441711064,8.793634830663786,1.8785938299838032,0.0,1.5613670233169112,0.1324487922022468,0.14711091339258867,4.4509116932063005E-4,4.41380626117047E-4,3.5612638843793645E-5,6.246176989945001E-4,0.095944180560979,0.0,0.0,0.0,0.0,0.0,0.0,5.0204397960693664E-5,8.58552383272581E-4,0.10273026809195421,0.0,0.0,7.779639946800591E-4,
7.0,3.913380444794452,6.641927347724353,1.7172310439076637,0.0,1.764465953257022,0.1255522717513495,0.13948220961387994,4.433600790332329E-4,4.4468041351581976E-4,2.5612836050778275E-5,4.0091364566742906E-4,0.07663581676289331,0.0,0.0,0.0,0.0,0.0,0.0,3.687237460341458E-5,5.673457147462275E-4,0.07996221906990339,0.0,0.0,0.0010679136068191038,
8.0,4.252204340043342,7.3189627889934155,1.7868466963555352,0.0,1.671859623657942,0.25395225725062853,0.14281064909370392,4.4516519653181613E-4,4.4228325467681194E-4,1.8527839746121175E-5,2.752258985737534E-4,0.04828027722642685,0.0,0.0,0.0,0.0,0.0,0.0,2.6952175706652318E-5,3.9624777464341014E-4,0.050620872122630695,0.0,0.0,0.0013388673760551227,
9.0,3.6678429689572867,8.226145885317951,2.362768830395113,0.0,1.6669606672918356,0.2216082626191845,0.13681133691529582,4.436895673793054E-4,4.445405194270156E-4,2.1668593960148585E-5,3.435167177739232E-4,0.05544359485332751,0.0,0.0,0.0,0.0,0.0,0.0,3.142320824786203E-5,4.907768304106537E-4,0.057837701456164826,0.0,0.0,0.0016309435273385716,
10.0,4.350819697717096,6.870844323309126,1.0437486352640513,0.0,1.7046993926034337,0.06808114540249463,0.14292782019927766,4.4420102086941034E-4,4.4192997552550654E-4,3.3146878085224815E-5,5.501698189864908E-4,0.09249993798331935,0.0,0.0,0.0,0.0,0.0,0.0,4.5150454335219863E-5,7.368220913930083E-4,0.10016233582875114,0.0,0.0,0.00311807913280227,
11.0,4.7220286778561285,7.299930410627659,1.75291050280936,0.0,1.6866562394134104,0.16750818586252128,0.14675744941551316,4.442413967471284E-4,4.4173910324160344E-4,1.5620554934764898E-5,2.5634533876193826E-4,0.053933079870593106,0.0,0.0,0.0,0.0,0.0,0.0,2.3526740409773556E-5,3.8000917896442E-4,0.052471765200301806,0.0,0.0,0.004920732960368919,
12.0,4.062065004686079,6.944111438848517,2.4542003563800647,0.0,1.711613537898759,0.17386776995854822,0.1405988536075464,4.449635983390237E-4,4.4239743705286967E-4,2.0214895286284798E-5,3.025349541155837E-4,0.06305123523820155,0.0,0.0,0.0,0.0,0.0,0.0,2.8770070100703322E-5,4.249737739275365E-4,0.06165058038383427,0.0,0.0,0.008760521250196149,
13.0,4.175913947920222,8.347611763332438,2.9826488440745433,0.0,1.5681714645597402,0.2371598783499992,0.1419273686833865,4.4442786570147226E-4,4.416666883820638E-4,1.5519208777370383E-5,2.3863372270065616E-4,0.043230283293625944,0.0,0.0,0.0,0.0,0.0,0.0,2.2814968899122936E-5,3.4339338298014976E-4,0.04043456963501258,0.0,0.0,0.013180468378736255,
14.0,4.488580171574478,8.205374842165885,2.499746452246067,0.0,1.5232033464775934,0.10210846122663729,0.1442106759052861,4.449229778323572E-4,4.41527403778333E-4,1.3957458092755529E-5,2.18751554670221E-4,0.049654188881847694,0.0,0.0,0.0,0.0,0.0,0.0,2.0830260172373566E-5,3.2200615891832284E-4,0.04858357809066067,0.0,0.0,0.03517481559103903,
15.0,4.465366409543449,8.565033994369763,1.763400545531304,0.0,1.4726732292968239,0.12207979523916017,0.14417128989964986,4.441778168787298E-4,4.435575599275953E-4,1.5926997978377353E-5,2.704866748297981E-4,0.04161241055213262,0.0,0.0,0.0,0.0,0.0,0.0,2.287785587596724E-5,3.799191884803508E-4,0.044245313992968785,0.0,0.0,0.049208135386679196,
16.0,3.968941203049667,6.919369731108772,3.083786804627387,0.0,1.690984233753832,0.30674809665527913,0.1395589020361395,4.4606455180504445E-4,4.383377475465279E-4,9.965097496391816E-6,1.5417843249727949E-4,0.021777395824501413,0.0,0.0,0.0,0.0,0.0,0.0,1.548417202714593E-5,2.3385237830353745E-4,0.023935448020708117,0.0,0.0,0.011625557460151325,
17.0,4.484281814917951,6.691580935009303,4.332113738199645,0.0,1.6639521260028776,0.2739129083424565,0.14429150695585277,4.4535102615752073E-4,4.447367414544744E-4,1.4673721810192268E-5,2.3631158625814764E-4,0.0327153830907323,0.0,0.0,0.0,0.0,0.0,0.0,2.1356269866228814E-5,3.392017549002982E-4,0.034715250465141866,0.0,0.0,0.0037581228706238443,
18.0,4.71904405793844,6.115819548451614,2.6862891429082105,0.0,1.7493926707819683,0.1734048675115364,0.14670544341086936,4.432604195985965E-4,4.4060253138202124E-4,1.6140828763044043E-5,2.558214480597239E-4,0.03894295743599922,0.0,0.0,0.0,0.0,0.0,0.0,2.292002009092687E-5,3.598255744188116E-4,0.04214328506884077,0.0,0.0,0.008632972228019427,
19.0,4.3958025194791,8.385504724648529,4.614138487384455,0.0,1.5365247108984552,0.3222821928326194,0.143671365476059,4.4508433624759443E-4,4.3866780676910037E-4,9.735360067480749E-6,1.611673832523196E-4,0.025735238910303652,0.0,0.0,0.0,0.0,0.0,0.0,1.473009528238305E-5,2.3572825261212687E-4,0.02580831680101054,0.0,0.0,0.002245948048697476,
20.0,4.869264760045136,8.762471423211384,1.7243781774927365,0.0,1.5173454507042126,0.2449911240855317,0.14781360775357746,4.4381236780733437E-4,4.4258369533937183E-4,7.621524000550532E-6,1.6198582340026005E-4,0.024972428503632342,0.0,0.0,0.0,0.0,0.0,0.0,1.2010645790144644E-5,2.354274513933922E-4,0.024093931171444576,0.0,0.0,0.00516674526553828,
