"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,17.78463380758846,6.436004114631106,1.252732169002547,0.0,0.0069336932267482256,1.82719773935516E-4,0.12884300246500782,0.9819930487621807,0.988339812665973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15268648606755977,
2.0,4.816874346310995,7.8116456936746665,0.24020134177560315,0.0,0.18651600854055858,0.00734854026192747,0.05738402366135773,0.9714958225613844,0.9863268509876584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04233877496299763,
3.0,4.216281784039888,5.519270964571506,0.7526663093948571,0.0,0.32950937298676414,0.02143681012457924,0.05533443536446009,0.9804888902753064,0.9858201685748944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00103428854788766,
4.0,3.766414121108036,6.078511570182517,0.8075057553469365,0.0,0.3629449378613972,0.04697134332028236,0.05385865627761732,0.9776363669717658,0.9858453774696884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.103391785381252E-5,
5.0,3.242255758089163,6.284731124728522,0.8637523647500985,0.0,0.3747397075976204,0.07332824028461375,0.052137492546759666,0.9781807874906989,0.9856443078272779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.195383416930511E-6,
6.0,3.2120523254429263,6.207509933855143,1.2948007790140839,0.0,0.37696489397827226,0.04006223234841589,0.052094792952005,0.981220057932698,0.985904795885342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001915198510582451,
7.0,3.1672021041073064,6.516530004254653,1.2354748218807812,0.0,0.3310554611887798,0.06134675521936979,0.05195531067983499,0.980057016774673,0.9859453710718991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034385600722085874,
8.0,3.0182131173481057,6.303881120211574,1.5389511089564314,0.0,0.3370195333083951,0.03777585978208757,0.05143715155366214,0.9802133245516086,0.985793108666298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008303305758776436,
9.0,2.784264960346385,5.688981028961677,1.1905847553842397,0.0,0.39103240345188467,0.04971632388556357,0.0506892498604159,0.9801543767275399,0.9859990954454584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004809422213773672,
10.0,3.1394285192936877,6.653195385691424,1.3407160606553412,0.0,0.3598340813153247,0.0603581094545942,0.05178394992063897,0.9796662180646849,0.9858927136429184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003109218791461269,
11.0,3.2963517379556446,6.866302215872366,1.4102128019506361,0.0,0.376971598169881,0.02244349754436175,0.052292525418799606,0.9770960954366261,0.9861294089960722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034968149803011528,
12.0,3.0297525454166716,6.312779365180954,1.1577772703446454,0.0,0.30012309223122186,0.06198218021951831,0.051430262796341254,0.9790631837375579,0.9859532097206558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037087098093517424,
13.0,2.784671734039518,6.444445099102333,1.3563396306463922,0.0,0.3363087664192006,0.08808578007321256,0.05071721355273925,0.97905197322454,0.9859359950136646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005723568332587034,
14.0,2.7964209703250473,6.322229277442918,1.3335832802766079,0.0,0.3505172815334021,0.04961012833643144,0.05073387431779756,0.9805269458617685,0.9854941750098839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004516886643456069,
15.0,2.9505421026006924,6.327596416020271,1.3038884713136103,0.0,0.3787630513654097,0.040688375567510565,0.051203108723310804,0.9790534354780389,0.9855909773038519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002918076259631633,
16.0,3.1430119482232906,6.693496333091989,1.3142313667541814,0.0,0.3592198802337274,0.036554304424969784,0.05183055575620996,0.9781233983704046,0.9856569894250369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025219714655537284,
17.0,2.843376695881413,6.542642048888526,1.090704614553066,0.0,0.38560311499360234,0.03160624123170517,0.05088110028488264,0.9792776572367015,0.9856872565914743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025141601153202725,
18.0,3.022608537729658,6.200887348702692,1.1879426356445963,0.0,0.3667422195923082,0.06337000592440664,0.05141960212909089,0.9763886742883676,0.9856405513330487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027825550772682187,
19.0,3.2138752729605717,6.2631626710269686,1.1305801102266984,0.0,0.3790530525911832,0.0573283791058337,0.0520469037357259,0.9767841058616682,0.9857665174730094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024075664789968694,
20.0,2.909879764112862,6.4185084919353,1.013836687226421,0.0,0.37178431060550476,0.07288380227031087,0.05111800546407627,0.9764133727825267,0.9858368750975528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002490579883567213,
