"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,8.148359679691449,3.6142145686330327,0.2705538451218429,0.0,0.9160434600547765,0.4392689341201255,0.007806450282440802,0.0021479590810690144,0.0021488896223050597,1.8684230669877895E-4,0.00586009575796996,0.08529064645213133,0.0,0.0,0.0,0.0,0.0,0.0,2.801210072475195E-4,0.008783818316604075,0.12780926140401333,0.0,0.0,0.0034951260085565976,
2.0,2.037567092357752,5.3141252287738325,1.7713459240323837,0.0,1.5541042062053299,0.8513369778023118,0.0046285304406748825,0.002142407824445447,0.0021501007160166894,2.2613817759189483E-4,0.0017563018958447762,0.04841495240715516,0.0,0.0,0.0,0.0,0.0,0.0,3.3919096035718316E-4,0.0026343209137305347,0.07261496252395407,0.0,0.0,8.432003381377369E-4,
3.0,4.19420128318372,5.274456412990923,3.3921787476177356,0.0,1.418537331673169,1.314903486391567,0.005257840309290313,0.002147315513931086,0.0021489116645313972,1.7175116491151244E-4,0.0015365233798289722,0.007109212228197903,0.0,0.0,0.0,0.0,0.0,0.0,2.576172652933093E-4,0.002304695954514338,0.010663076970785626,0.0,0.0,1.1633410403989568E-4,
4.0,5.19961730031053,5.259039370926269,3.632760637151949,0.0,1.4063189041367232,0.864319351944476,0.0055735571980027624,0.0021460482556493925,0.0021514654514971647,2.5464491366926974E-4,0.0025761520876226855,0.01043063347407129,0.0,0.0,0.0,0.0,0.0,0.0,3.819416709263038E-4,0.003863950143837086,0.0156441378339017,0.0,0.0,1.1498310827460516E-4,
5.0,5.148528134590447,5.780755199750431,3.171023876614378,0.0,1.3913600813684668,0.6572559622936984,0.0055635377709061596,0.002148304398876261,0.002150639138146141,1.7403209847548917E-4,0.0019451047886360217,0.008631419275750573,0.0,0.0,0.0,0.0,0.0,0.0,2.6104214601028233E-4,0.0029175839688660742,0.012946605687258783,0.0,0.0,1.0682616583553412E-4,
6.0,5.403556797212969,6.1164955962764695,4.547349442876919,0.0,1.3184316010968216,0.4984576548792158,0.0056439482774416315,0.0021443501304662478,0.0021480584664379573,1.8858272971687784E-4,0.00222827402573625,0.016451085307963177,0.0,0.0,0.0,0.0,0.0,0.0,2.826316615038457E-4,0.0033393170901146155,0.0246433129207681,0.0,0.0,1.816629111027656E-4,
7.0,5.317187981582657,5.816869464458268,3.740967133206288,0.0,1.2831949513280732,0.6472695937080767,0.005601346412964705,0.0021491959159366035,0.0021525101069234664,1.719008220139784E-4,0.0020324901940676253,0.01520643458717846,0.0,0.0,0.0,0.0,0.0,0.0,2.577125723373986E-4,0.0030469487278037785,0.022789246583037232,0.0,0.0,1.154096808634566E-4,
8.0,4.883944944703147,4.976052937673068,3.3461942128026765,0.0,1.317808330863398,0.8035887002210914,0.0054675941160633006,0.0021503432046585604,0.0021460204586667775,1.4851862863242462E-4,0.0016744835055597597,0.009644559964896254,0.0,0.0,0.0,0.0,0.0,0.0,2.2268855959518453E-4,0.002510633971176552,0.01445716669455625,0.0,0.0,4.1588662490162456E-5,
9.0,4.49029927270766,6.01244250395055,4.0172086856858416,0.0,1.2357652886313641,0.9649437542770588,0.005349331685752885,0.002144640547093543,0.0021436746216781603,1.5170371432124787E-4,0.0016944257312301073,0.006143213285800395,0.0,0.0,0.0,0.0,0.0,0.0,2.2744808069166325E-4,0.0025403357853531496,0.009207998929976036,0.0,0.0,4.104153191161968E-5,
10.0,3.8043441530406943,5.122344671513667,2.8463459341241837,0.0,1.3600578485683927,0.7522812754411803,0.005137249439187104,0.0021461253125057383,0.002148331168175373,1.8311704230011128E-4,0.0020240489519763667,0.009318598975831881,0.0,0.0,0.0,0.0,0.0,0.0,2.743809960916757E-4,0.003032593986987038,0.013956114108177372,0.0,0.0,1.975272528199854E-5,
