"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.015691995028270386,0.06294242221980367,0.0058282441719894225,0.0,3.75525101325227E-4,0.0,0.26132444866032134,0.08039669762874535,0.08041517584375366,6.836142712858579E-4,0.014455858237267503,0.033904624681424654,0.0,0.0,0.0,0.0,0.0,0.0,2.2820751246684627E-4,0.00482077656079199,0.011292020510290086,0.0,0.0,0.017570739485684526,
2.0,0.10572737050976042,0.06698246667696969,0.010237955460769409,0.0,0.003638951140132688,9.006786427082419E-4,0.26280018116773446,0.08040132645531455,0.08039816209276464,5.566033500818291E-4,0.01206753062163872,0.025169168572067635,0.0,0.0,0.0,0.0,0.0,0.0,1.897527839932854E-4,0.0041129833291977435,0.008576028766417538,0.0,0.0,0.007271572942742776,
3.0,0.09060698846137101,0.03969857039856293,0.01556985501247292,0.0,0.003932873405369377,0.003792269146927667,0.26255561111944126,0.08039182882245831,0.08039047111636592,5.255552814006364E-4,0.011178622171652114,0.023498071461337026,0.0,0.0,0.0,0.0,0.0,0.0,1.794023556517492E-4,0.003815299215907483,0.008018436200744236,0.0,0.0,0.0026005276060764642,
4.0,0.1459005121686473,0.045407054671836346,0.013198005197435664,0.0,0.004612736281284475,0.002404151092100172,0.26347558713926983,0.08039206210692569,0.0803890267644871,4.639173966517513E-4,0.010059624857768104,0.021567693771682998,0.0,0.0,0.0,0.0,0.0,0.0,1.5745681072308151E-4,0.003412721851539269,0.007312683380950644,0.0,0.0,0.0016744583892689567,
5.0,0.013788504427672483,0.09890421335894413,0.00959512721574248,0.0,0.0036402874240773187,0.002315902151581583,0.26128727459961876,0.08040575759385736,0.080388201195523,3.952939085037163E-4,0.008417875150479289,0.018382069281913983,0.0,0.0,0.0,0.0,0.0,0.0,1.349894242137163E-4,0.0028742347124393226,0.006275324409051562,0.0,0.0,0.0012658120381383471,
6.0,0.1512930751478236,0.10176052675949775,0.007143299178103344,0.0,0.0038808189342340554,0.0011796380636747471,0.2635608648343143,0.08042873496411307,0.08038795874174888,8.61901906873948E-4,0.01900839060728322,0.04368491722879492,0.0,0.0,0.0,0.0,0.0,0.0,2.82706531594147E-4,0.006227975408861235,0.014293756712599507,0.0,0.0,0.001045231475114172,
7.0,0.11984385818289173,0.1757905424096737,0.005833374254068508,0.0,0.0023334008131678944,5.97643285276895E-4,0.2630330002552184,0.08044335168012251,0.08038766125867583,5.921508543126328E-4,0.012927626233456682,0.029734128408147886,0.0,0.0,0.0,0.0,0.0,0.0,1.955503066010627E-4,0.004264410293786579,0.009794468176095755,0.0,0.0,9.080162896820946E-4,
8.0,0.17523860067485772,0.24632011273180732,0.004632801262514063,0.0,0.005273612708520173,6.867111099575835E-4,0.26393936044861205,0.08045571609354016,0.08038744137015852,4.172163976161265E-4,0.009061589186057883,0.02096218529213445,0.0,0.0,0.0,0.0,0.0,0.0,1.3824650631545404E-4,0.0029993048529906156,0.006928455567776355,0.0,0.0,8.168066073848797E-4,
9.0,0.10385866998414349,0.22467861462652847,0.004312573126075686,0.0,0.004436986919669969,5.446399004654551E-4,0.2627634176398251,0.08048000591416693,0.08038722281248352,4.8102980681687384E-4,0.010315261255107353,0.024247586360447645,0.0,0.0,0.0,0.0,0.0,0.0,1.5921811822442838E-4,0.0034105716428163156,0.008005450377217319,0.0,0.0,7.597864559276819E-4,
10.0,0.18966473788969138,0.2099929907892693,0.0050272675836816934,0.0,0.002524219366214062,2.8225310841467464E-4,0.2641882106910876,0.08045764406234904,0.08038722909771864,8.297966524291606E-4,0.018485616402342694,0.0435444913712644,0.0,0.0,0.0,0.0,0.0,0.0,2.695148538507842E-4,0.005998435818482771,0.014113458324323678,0.0,0.0,7.194764416872407E-4,
