"Mean size of fish species in cm, weighted by fish numbers in the catches, and including first ages specified in input."
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,35.32742,4.1372814,24.546707,6.632103,NaN,26.96879,NaN,26.049011,5.2441916,20.955675,4.4504266,15.925614,1.2808051,2.3755515,7.6767793,46.69488
2.0,37.578915,3.5031211,27.594912,9.950325,NaN,32.29141,NaN,28.817287,10.634256,23.545504,3.9985294,17.157562,1.2693425,11.323016,6.843537,30.242605
3.0,41.637203,2.9798987,27.562634,10.923706,NaN,33.678875,NaN,28.023901,7.045846,24.43202,4.7622676,18.788074,1.4262272,19.724712,5.0626373,29.502165
4.0,43.44326,2.54763,26.825335,10.159374,NaN,36.450993,NaN,25.062899,6.3444853,23.387371,4.7637787,19.889425,1.8319277,21.684242,7.2513814,31.443151
5.0,43.872875,2.342415,27.759842,10.312923,NaN,31.386724,NaN,24.143358,4.6993413,21.975048,5.6114483,20.484465,2.301589,15.464611,6.941771,33.947224
6.0,45.970913,2.3511484,27.459518,9.57638,NaN,22.130009,NaN,23.093811,3.901804,23.180454,7.064033,20.996737,2.403304,21.023577,7.0594344,36.54137
7.0,45.291355,2.3476474,26.280764,10.335186,NaN,20.41919,NaN,22.67692,3.6774218,22.85728,7.775047,20.537094,2.3896637,15.879429,7.518705,39.01219
8.0,44.266964,2.2266963,26.630999,9.756685,NaN,14.921416,NaN,22.73609,3.8409274,21.602587,8.611201,20.020338,2.334922,20.207396,6.704191,41.47408
9.0,41.138958,2.2858124,27.640995,8.994556,NaN,15.92992,NaN,23.517136,3.720797,22.134993,8.505714,19.423515,2.3320568,17.025583,7.566347,43.720642
10.0,39.188034,2.2620492,27.610035,8.567895,NaN,20.173916,NaN,24.431318,3.725217,23.384113,9.132494,20.205389,2.3155546,20.342096,6.887969,45.868107
11.0,37.857727,2.3929753,27.134611,9.441926,NaN,20.495808,NaN,24.357994,3.6497533,23.28312,8.2314825,20.340479,2.3432424,17.32863,7.334642,47.918804
12.0,41.365337,2.8483613,27.420856,9.302571,NaN,22.739773,NaN,24.261164,3.5522654,23.19614,6.792098,18.912565,2.2565894,20.09924,6.987159,49.832214
13.0,42.45513,3.0070758,27.544773,9.48432,NaN,25.026941,NaN,24.435816,3.798252,23.116423,7.5484905,19.421005,2.2399116,17.635298,7.319046,51.642864
14.0,43.341,3.1422668,28.17399,9.119887,NaN,27.430447,NaN,24.568981,3.6636517,22.75036,6.2953877,20.401257,2.2783687,19.32452,7.859789,53.275745
15.0,44.204857,3.0831473,27.901821,8.98586,NaN,30.001007,NaN,24.917906,3.66473,23.26866,6.420833,20.691492,2.3249702,19.618286,6.8313475,54.883427
16.0,43.161587,3.0726075,26.663141,9.024068,NaN,27.443733,NaN,25.487177,3.878688,22.97134,5.763114,19.942734,2.2897577,20.44943,7.8916597,56.439526
17.0,43.508675,2.9509969,26.823391,9.129362,NaN,32.12296,NaN,25.603401,3.4741423,23.33764,6.3650384,19.378443,2.2968192,17.210648,6.9573183,57.92017
18.0,41.387226,2.9067097,27.957762,9.306004,NaN,31.220778,NaN,25.432518,3.3955953,24.297832,6.44385,19.02657,2.3034823,20.818634,7.4263396,58.74116
19.0,37.919556,2.7823846,27.458334,9.080722,NaN,28.263803,NaN,25.567596,3.780898,24.24181,5.6673527,20.013803,2.3577237,21.370338,7.6235347,58.755413
20.0,38.178364,2.7188723,26.898058,8.796782,NaN,32.249073,NaN,25.526783,4.3111296,23.95146,6.5853386,19.901957,2.2933912,17.431032,7.4764504,54.0168
