"Distribution of cumulative catch (number of fish per time step of saving) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,0.0,8955102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9852707E8,3.0785626E8,1319981.5,0.0
1.0,5.0,0.0,708395.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109434.18,0.0,0.0,2621794.5,8746660.0,1173378.4,0.0
1.0,10.0,1437.3802,65829.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5203158.0,0.0,0.0,9.384223E7,1.5438858E7,2041775.8,0.0
1.0,15.0,849226.94,669243.06,1208286.9,0.0,0.0,0.0,0.0,0.0,0.0,1.8216772E7,0.0,0.0,1.4854421E8,3016437.0,76591.18,8719.627
1.0,20.0,1824635.4,1256983.8,5164395.0,1.0906869E7,0.0,0.0,0.0,0.0,5784575.0,3.0084342E7,0.0,0.0,1.7764318E8,778118.75,949123.1,23011.646
1.0,25.0,1965595.1,2377695.5,3741010.2,2.4461342E7,0.0,0.0,0.0,3.8944856E7,6313088.0,8702283.0,2.0344596E7,3.2458986E8,0.0,3453223.2,999257.44,6703.25
1.0,30.0,1818906.8,704698.56,1278731.1,7417052.0,0.0,0.0,0.0,1.7696394E7,1783379.4,3330058.2,2.730784E7,4.629748E7,0.0,5253106.5,0.0,10910.25
1.0,35.0,1273457.5,100385.41,0.0,7077975.5,0.0,0.0,0.0,4215915.5,389812.53,1607207.1,9779192.0,0.0,0.0,2696356.5,0.0,4860.2036
1.0,40.0,956358.6,72949.37,0.0,2806821.2,0.0,0.0,0.0,0.112188235,152716.75,0.0,4369904.5,0.0,0.0,185388.38,0.0,8065.695
1.0,45.0,847481.4,37805.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4850.7607
1.0,50.0,809035.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5690.2793
1.0,55.0,699697.7,0.0,0.0,0.0,0.0,19447.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6108.974
1.0,60.0,439676.62,0.0,0.0,0.0,0.0,5280.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4703.6426
1.0,65.0,0.0,0.0,0.0,0.0,0.0,6117.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4767.8623
1.0,70.0,0.0,0.0,0.0,0.0,0.0,3807.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5032.4106
1.0,75.0,0.0,0.0,0.0,0.0,0.0,2215.1475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5326.8594
1.0,80.0,0.0,0.0,0.0,0.0,0.0,1547.0527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4854.5806
1.0,85.0,0.0,0.0,0.0,0.0,0.0,1707.9307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5954.903
1.0,90.0,0.0,0.0,0.0,0.0,0.0,1055.4489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6221.2056
1.0,95.0,0.0,0.0,0.0,0.0,0.0,1250.9005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8704.825
1.0,100.0,0.0,0.0,0.0,0.0,0.0,977.9955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4475.335
1.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,2.329963E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.788055E9,4.411125E7,2769420.8,0.0
2.0,5.0,0.0,3604247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176517.81,0.0,0.0,8551450.0,9800088.0,1986294.9,0.0
2.0,10.0,7097.022,568894.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1468569.8,0.0,0.0,2.7644642E7,1.7563554E7,7607375.5,0.0
2.0,15.0,151556.03,103311.586,398970.53,0.0,0.0,0.0,0.0,0.0,0.0,3198150.5,0.0,0.0,1.689718E8,3.0138126E7,1.746518E7,59781.062
2.0,20.0,643496.9,28262.322,1331327.5,7425602.0,0.0,0.0,0.0,0.0,9936545.0,2.5043126E7,0.0,0.0,1.793316E8,1.6170118E7,4744262.5,118537.89
2.0,25.0,2390396.8,422751.66,3480729.0,6063219.5,0.0,0.0,0.0,3.2033446E7,2.3383964E7,3.5419256E7,4.9032572E7,1.9032389E8,236551.39,2051097.4,2358.439,27553.8
2.0,30.0,1906330.1,2436065.2,2383656.2,1.928044E7,0.0,0.0,0.0,5.975638E7,7435237.0,7493663.5,1.0879361E8,2.27034E7,0.0,83734.266,0.0,12350.407
2.0,35.0,1247572.5,2207325.5,0.5919531,4709988.5,0.0,0.0,0.0,5648103.0,965801.5,1401617.2,9505051.0,0.0,0.0,158531.62,0.0,7609.9375
2.0,40.0,866773.9,354369.12,0.0,1629723.0,0.0,0.0,0.0,6.0650654,188279.48,0.0,3073973.8,0.0,0.0,0.0,0.0,4774.4316
2.0,45.0,781260.9,60752.2,0.0,0.0,0.0,0.0,0.0,0.26478043,3737.909,0.0,0.0,0.0,0.0,0.0,0.0,6200.6216
2.0,50.0,748721.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3518.498
2.0,55.0,727638.5,0.0,0.0,0.0,0.0,5465.9873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4542.0386
2.0,60.0,466129.5,0.0,0.0,0.0,0.0,17885.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4585.645
2.0,65.0,0.0,0.0,0.0,0.0,0.0,4791.1147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.9358
2.0,70.0,0.0,0.0,0.0,0.0,0.0,3332.2131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3799.9119
2.0,75.0,0.0,0.0,0.0,0.0,0.0,2352.2788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3653.2642
2.0,80.0,0.0,0.0,0.0,0.0,0.0,1865.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3549.1194
2.0,85.0,0.0,0.0,0.0,0.0,0.0,1049.3134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.271
2.0,90.0,0.0,0.0,0.0,0.0,0.0,1131.4459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4812.824
2.0,95.0,0.0,0.0,0.0,0.0,0.0,923.2751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6272.356
2.0,100.0,0.0,0.0,0.0,0.0,0.0,725.4117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2732.64
2.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,2.3564626E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.254786E9,0.0,2622209.8,0.0
3.0,5.0,0.0,1269081.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202182.0,0.0,0.0,5.231027E7,30383.729,5850296.0,0.0
