"Distribution of the biomass (tonne) of prey species (in columns) in the diet of cod by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,0.0017149112,1.5392701E-5,0.0067700427,0.012734514,0.0016733826,0.029931104,2.9831497E-5,1.394234E-5,0.06012705,0.16159834,0.77343655,1.8112743,0.7692322,5.492108E-4,0.0,0.0,0.0,0.0,0.0,0.7251079,0.7391075,0.032289475,0.01569655,13.780727,9.058551E-6,6.6835895E-8
1.0,1.0,0.09623566,5.7141347,0.27851534,21.403284,0.96020436,0.07433292,11.0588455,0.82051057,12.557849,1.584573,21.179775,12.487028,9.406771,3.9651866,8.731952,0.0,0.0,0.0,0.0,0.0,0.0,3.8939042,0.0,0.07610864,101.35033,8.481153E-5,5.4702094E-5
1.0,2.0,0.5320794,7.4593573,1.2641392,21.086805,3.6111996,0.4428863,11.35917,1.9984752,14.825143,11.333238,24.771154,20.43135,35.786354,9.303789,7.6796446,0.0,0.0,0.0,0.0,0.0,0.0,0.97189415,0.0,0.016922211,87.63028,8.0210666E-5,9.824764E-5
1.0,3.0,0.5115379,4.9560566,5.7509527,16.286148,1.7428198,1.5121282,6.7500076,6.231689,11.345379,12.971126,20.406752,17.462955,33.695408,4.8657694,5.780755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.921585,3.99612E-5,4.894336E-5
1.0,4.0,0.22735187,2.9291265,3.0562365,10.547272,0.59809494,0.5338955,4.561763,3.9334848,5.6137075,6.47828,12.015216,12.134058,17.35912,2.908296,3.604534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.812641,1.8083316E-5,2.2139639E-5
1.0,5.0,0.19810152,0.87130284,2.0238085,6.784137,0.50779456,0.47684106,2.1037433,2.5114846,2.893877,4.6532283,5.8629537,5.3289523,8.735427,2.4087098,1.39121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.218982,9.88505E-6,1.210957E-5
1.0,6.0,0.16208114,0.75530195,1.4423538,4.3907943,0.18599953,0.4091281,0.93748313,1.8022969,1.7528777,2.6706295,3.0511262,3.9285867,4.0589404,1.170374,0.4829553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0060434,5.6704416E-6,6.9391326E-6
1.0,7.0,0.12516034,0.36206418,0.6765571,3.3458607,0.103339925,0.24128328,0.5780426,1.0940503,1.1360562,1.6142564,2.5632267,2.2730985,4.5792236,0.9368215,0.6485353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4794232,3.4004174E-6,4.16319E-6
1.0,8.0,0.157242,0.3494833,0.69488823,2.7426755,0.12115709,0.22648782,0.4030704,0.96886986,1.0418804,1.6402693,1.8150753,2.3293836,2.5184653,0.82940143,0.42635056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0841179,3.2573873E-6,3.988197E-6
1.0,9.0,0.10871608,0.38942584,0.5111698,2.4290576,0.10404324,0.17599395,0.377987,0.7842825,0.8401407,1.2482927,1.6633418,1.5980619,2.4464676,0.5588559,0.2133183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65964824,2.5322292E-6,3.098335E-6
