"Distribution of the biomass (tonne) of prey species (in columns) in the diet of herring by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,0.010477968,4.716076E-5,0.0,0.06096379,0.017117858,2.4674432,1.9802824E-4,37.413776,4.909029E-9,349.30878,5.7872057,573.32184,59.933746,0.0,0.0,0.7295053,3.1867687E-5,0.08628175,238.58707,147.96683,434.82922,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,4.1178823,1.04257124E-4,6.747596,0.05897709,0.017374873,41.033794,0.0013073072,30.787024,0.0,313.39243,43.79258,1105.3708,105.43504,0.0,0.0,0.0,0.0,0.0,308.8217,171.90028,677.73193,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,7.25672,3.7763515E-4,7.5371513,0.12874906,0.11527221,15.976758,0.0013442235,35.1554,5.1667594E-4,284.30847,88.02205,181.05054,93.202644,0.0,0.0,0.0,0.0,0.0,30.876242,131.474,462.24756,0.0,0.0,0.0,0.0,0.0
1.0,3.0,0.0,2.5824213,2.96263E-4,16.279896,0.06675038,0.1239837,9.805552,7.984353E-4,53.168415,4.885656E-14,142.86272,163.37807,138.0469,99.66228,0.0,0.0,0.0,0.0,0.0,0.0,115.5298,396.39636,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.0,2.8481922,1.3048835E-4,7.555331,0.06359796,0.028914055,2.6432629,0.001220211,12.0274725,6.7495403E-6,180.60277,120.48748,107.40669,77.018425,0.0,0.0,0.0,0.0,0.0,0.0,84.08058,288.55157,0.0,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.6416892,2.7879933E-4,6.2859855,0.03299117,0.242749,5.5459967,0.0024593715,34.158386,3.1947653E-7,115.07903,116.39844,88.14786,53.244087,0.0,0.0,0.0,0.0,0.0,0.0,54.81789,207.32375,0.0,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,5.5797454E-6,0.0047331024,0.057396267,0.045125816,1.5120854,0.0018956773,26.746252,1.2101157E-8,72.44629,105.59113,65.96483,25.929691,0.0,0.0,0.0,0.0,0.0,0.0,44.144997,163.41263,0.0,0.0,0.0,0.0,0.0
1.0,7.0,0.0,1.6787194,7.989808E-5,6.6484,0.029251749,0.0027803842,3.3258524,3.2139872E-4,13.66758,0.007522604,49.086536,71.186966,54.72174,23.209476,0.0,0.0,0.0,0.0,0.0,0.0,35.03867,115.19809,0.0,0.0,0.0,0.0,0.0
1.0,8.0,0.0,0.02750027,5.922965E-5,3.8268678,0.029613702,0.010805165,1.2905525,1.1694795E-4,7.476486,0.002711985,33.247646,32.773827,43.915043,23.058681,0.0,0.0,0.0,0.0,0.0,0.0,26.934956,97.08335,0.0,0.0,0.0,0.0,0.0
1.0,9.0,0.0,0.057480607,6.810492E-7,1.3450328,0.021036834,0.0021780017,1.9768939,2.8666167E-4,6.119578,1.0079307E-11,39.156708,48.9827,21.93411,26.108755,0.0,0.0,0.0,0.0,0.0,0.0,23.828083,79.85371,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.0,1.8546937E-12,1.6790089E-4,0.3971349,0.022854943,0.010966547,0.3845047,0.0012715132,1.4057262,2.363253E-6,41.855133,24.663315,22.67536,12.791521,0.0,0.0,0.0,0.0,0.0,0.0,20.418467,71.69894,0.0,0.0,0.0,0.0,0.0
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,2.6223902E-4,0.0,0.003303996,3.13101E-6,0.13106346,1.0462274E-10,0.6278866,0.0,11.501182,0.06326299,118.061584,0.0,0.0,0.0,0.07604573,3.1248571E-6,0.04139609,20.168482,26.29745,60.18031,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,6.9694414,0.0044477964,1.3855817,0.1677682,0.013237964,0.17225088,0.0014718066,28.886482,1.7301389,828.7573,1.274765,829.7406,98.68755,0.0,0.0,0.0,0.0,0.0,205.54285,157.54172,549.18756,0.0,0.0,0.0,0.0,0.0
2.0,2.0,0.0,0.9122997,0.0020595852,1.3429618,0.38898945,0.028576797,7.3028893,0.0010772202,33.81031,0.009393089,625.54144,2.768418,546.0321,51.01771,0.0,0.0,0.0,0.0,0.0,88.85322,149.41231,489.925,0.0,0.0,0.0,0.0,0.0
2.0,3.0,0.0,0.48527518,0.0012523696,4.994335,0.1820022,0.017906163,4.912697,0.0016182718,28.868824,0.07676514,189.03745,2.0523574,149.8394,58.109894,0.0,0.0,0.0,0.0,0.0,0.0,69.776665,229.55322,0.0,0.0,0.0,0.0,0.0
2.0,4.0,0.0,0.5087387,4.1114909E-4,1.5038654,1.1947079,0.009787328,2.0474377,8.637938E-4,21.313025,0.048846066,141.00925,3.086168,92.87302,30.75601,0.0,0.0,0.0,0.0,0.0,0.0,44.826553,158.32054,0.0,0.0,0.0,0.0,0.0
2.0,5.0,0.0,1.1873863E-5,2.926685E-4,2.7397997,0.21752062,0.0052351127,1.3573298,0.0013524727,13.882976,0.0014043344,100.69637,3.0937726,75.8149,26.578424,0.0,0.0,0.0,0.0,0.0,0.0,36.845478,116.11675,0.0,0.0,0.0,0.0,0.0
2.0,6.0,0.0,0.1206485,5.1736657E-4,2.0863383,1.4829628,0.0055748275,1.8420525,9.451389E-4,6.0815845,0.0,82.44403,1.880072,51.000954,10.895693,0.0,0.0,0.0,0.0,0.0,0.0,23.793224,69.634125,0.0,0.0,0.0,0.0,0.0
2.0,7.0,0.0,0.0,3.4203065E-5,0.009046446,1.6869282,0.008908446,2.1088173,4.8586057E-4,3.6494842,0.0013373488,47.94315,1.4671305,36.376183,11.772266,0.0,0.0,0.0,0.0,0.0,0.0,18.936232,61.43369,0.0,0.0,0.0,0.0,0.0
2.0,8.0,0.0,0.0,2.5314017E-4,0.7495891,2.1961725,3.101066E-4,0.28912166,4.0280842E-4,2.835719,0.0,32.14725,1.8430904,35.267483,6.2548046,0.0,0.0,0.0,0.0,0.0,0.0,11.864808,36.928703,0.0,0.0,0.0,0.0,0.0
2.0,9.0,0.0,0.10022348,3.1221894E-4,0.72513217,0.4643224,0.0014480327,0.46537393,5.4814084E-4,4.5437293,0.25935718,29.973324,0.21050526,22.10786,7.1496944,0.0,0.0,0.0,0.0,0.0,0.0,9.622464,36.650146,0.0,0.0,0.0,0.0,0.0
2.0,10.0,0.0,0.0,6.1442015E-6,0.005091272,0.9318473,0.009601756,0.40332168,4.8990114E-5,0.84518445,0.0,31.318752,0.08032359,16.173904,5.042564,0.0,0.0,0.0,0.0,0.0,0.0,9.581264,28.062073,0.0,0.0,0.0,0.0,0.0
2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,4.2768497,0.0,0.0,0.0025860656,0.005966991,0.0,1.1550602E-8,2.0208657,0.0,127.657326,0.05458656,79.094154,0.0,0.0,0.0,0.043320112,1.8554175E-6,0.06511783,28.15754,27.492537,65.8587,0.0,0.0,0.0,0.0,0.0
3.0,1.0,0.0,0.0,0.0022115451,0.0063966867,0.023417989,0.016368512,3.5495784,1.5273575E-4,7.8458276,0.0,156.38258,0.042014617,90.17492,0.005926296,0.0,0.0,0.0,0.0,0.0,35.3898,36.986355,91.016495,0.0,0.0,0.0,0.0,0.0
3.0,2.0,0.0,7.0337496,0.0038783043,3.316773,1.4190654,0.09095422,2.8029888,0.0034352536,68.79213,0.0,435.04022,2.8434384,403.70923,16.836737,0.0,0.0,0.0,0.0,0.0,131.4933,169.07646,463.32108,0.0,0.0,0.0,0.0,0.0
3.0,3.0,0.0,1.0140066,8.7347155E-4,0.44073245,0.41317365,0.018600587,7.877042,0.0058175973,44.67293,5.5095425E-4,325.9932,3.951934,338.9101,8.625026,0.0,0.0,0.0,0.0,0.0,7.533006,126.73456,359.55524,0.0,0.0,0.0,0.0,0.0
3.0,4.0,0.0,0.6740401,0.0012817383,1.4406441,0.4359642,0.03025966,2.3709242,0.002353612,16.052877,2.7069733E-9,74.55246,2.9927993,82.594864,1.9581082,0.0,0.0,0.0,0.0,0.0,0.0,53.545975,140.59346,0.0,0.0,0.0,0.0,0.0
3.0,5.0,0.0,0.63589513,3.6883366E-4,3.7946973,0.45641887,0.013305301,1.343409,0.001701177,7.854556,4.7395057E-9,62.24157,1.6921376,49.84605,4.098908,0.0,0.0,0.0,0.0,0.0,0.0,31.134861,77.85494,0.0,0.0,0.0,0.0,0.0
3.0,6.0,0.0,0.1600099,2.4325619E-4,0.2896046,0.32563463,0.0056801056,1.0283557,0.0034864768,4.8772693,2.0182713E-4,41.158867,2.7294412,41.226883,2.0905373,0.0,0.0,0.0,0.0,0.0,0.0,19.746908,49.07613,0.0,0.0,0.0,0.0,0.0
3.0,7.0,0.0,0.4939122,1.3088297E-4,0.60605353,0.4310435,0.05033538,0.88219416,9.1862126E-4,4.755336,1.3986682E-4,21.10418,1.068167,30.33507,2.2208884,0.0,0.0,0.0,0.0,0.0,0.0,12.292626,31.4374,0.0,0.0,0.0,0.0,0.0
3.0,8.0,0.0,0.13817199,3.6509093E-5,0.49574566,0.063997105,0.0034766216,0.24041346,1.4206645E-4,3.874466,6.645841E-4,17.57123,0.25946817,16.458063,1.6617073,0.0,0.0,0.0,0.0,0.0,0.0,8.726705,23.139168,0.0,0.0,0.0,0.0,0.0
3.0,9.0,0.0,0.108598515,2.3092561E-4,0.094741754,0.097865306,0.0039537386,0.72484314,4.5083615E-4,2.3693619,2.157548E-10,17.260454,0.52962106,8.715025,0.58459944,0.0,0.0,0.0,0.0,0.0,0.0,7.2043467,17.288757,0.0,0.0,0.0,0.0,0.0
3.0,10.0,0.0,0.14347564,1.4937496E-4,0.36267397,0.29482812,0.010867136,0.17384686,3.6583206E-5,0.9378932,0.01173168,12.924938,0.1925333,12.062358,0.75678897,0.0,0.0,0.0,0.0,0.0,0.0,4.898569,10.676713,0.0,0.0,0.0,0.0,0.0
3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
