"Distribution of the biomass (tonne) of prey species (in columns) in the diet of whiting by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.020305479,489.12912,0.042705283,3638.9023,4.988413,0.07632304,1103.1487,0.6016016,584.4937,53.497635,2324.1633,6.9352846,4346.6514,1815.7501,79.46649,0.0,0.0,0.0,0.0,0.0,983.1906,1279.0815,146.09895,15.349394,7380.9385,0.0014332039,3.030807E-4
1.0,1.0,0.9805637,89.207825,11.757954,330.88342,21.889015,1.5431669,176.36902,15.287484,188.66203,118.10459,266.96744,108.98018,560.08685,288.67383,90.77053,0.0,0.0,0.0,0.0,0.0,0.37726447,61.878338,0.25647247,1.2023095,1226.4222,9.672201E-4,0.0011696554
1.0,2.0,1.3439434,34.137527,6.694999,109.08258,10.588312,1.2305307,74.20604,9.364315,62.768147,114.351875,87.54652,69.74498,173.3245,105.891495,36.83442,0.0,0.0,0.0,0.0,0.0,0.0,20.71652,0.0,0.33982646,398.66434,3.5376658E-4,4.332133E-4
1.0,3.0,0.81248635,11.378878,10.784675,74.15016,5.657127,1.6010567,39.639393,9.488223,36.519135,68.559975,61.692688,66.56561,107.959854,66.02658,26.004702,0.0,0.0,0.0,0.0,0.0,0.0,8.626518,0.0,0.14578041,196.87173,1.7731558E-4,2.1726308E-4
1.0,4.0,0.491932,9.300641,9.954847,42.111244,3.7081006,1.08867,29.725542,9.248762,22.654938,48.065643,42.969097,46.43083,80.73969,41.437683,19.67492,0.0,0.0,0.0,0.0,0.0,0.0,5.0602875,0.0,0.082530886,119.03162,1.0818631E-4,1.3256138E-4
1.0,5.0,0.25669876,6.0638776,7.0322747,31.900076,2.560174,0.6603486,18.814547,7.4372196,14.784956,31.166714,28.450386,33.656086,66.30799,27.559452,11.300972,0.0,0.0,0.0,0.0,0.0,0.0,3.484195,0.0,0.056608666,83.725,7.713257E-5,9.450722E-5
1.0,6.0,0.30421367,4.608207,5.0875225,26.908278,1.6961387,0.518316,14.99012,5.7524085,10.904899,23.650805,21.380365,28.160402,59.344563,21.560854,10.29468,0.0,0.0,0.0,0.0,0.0,0.0,2.3862233,0.0,0.042444706,64.32288,5.780662E-5,7.079733E-5
1.0,7.0,0.2519183,4.116705,4.263752,19.14732,1.3203999,0.33566597,12.693222,5.0803947,8.817687,17.774134,21.46488,18.618317,44.012947,21.337557,7.380586,0.0,0.0,0.0,0.0,0.0,0.0,1.9625696,0.0,0.032248013,49.714607,4.610769E-5,5.6485962E-5
1.0,8.0,0.13901404,2.7956944,3.7058525,19.097721,1.1511415,0.27691117,9.392036,3.746595,7.533457,16.326267,16.064438,16.592648,29.704,15.519276,5.4674845,0.0,0.0,0.0,0.0,0.0,0.0,1.5037662,0.0,0.02406725,37.16704,3.4948527E-5,4.281026E-5
1.0,9.0,0.1581762,2.8897245,2.8035045,9.503911,1.2461588,0.27560195,9.47667,2.79947,4.961938,10.879481,13.074548,17.611217,20.072361,9.94555,5.5765753,0.0,0.0,0.0,0.0,0.0,0.0,1.3344662,0.0,0.02158551,32.587433,3.1311218E-5,3.8384736E-5
1.0,10.0,0.10792395,2.6026103,1.967228,10.508138,0.70647585,0.1901501,5.922882,2.7614436,5.059796,9.6987705,12.235595,11.397071,14.540516,9.553422,3.181119,0.0,0.0,0.0,0.0,0.0,0.0,1.1306281,0.0,0.01790575,27.568478,2.613032E-5,3.2018506E-5
1.0,11.0,0.19513819,1.7288283,2.1071026,10.788011,0.6376447,0.19140896,5.903532,2.3559284,4.5921106,9.11874,10.087952,7.947474,15.561715,8.617637,2.4311318,0.0,0.0,0.0,0.0,0.0,0.0,0.8653366,0.0,0.014268357,22.294859,2.0582147E-5,2.520206E-5
1.0,12.0,0.14213853,0.9764848,1.8880849,8.518293,0.72572905,0.1256429,4.8728967,1.7797732,3.7987678,8.080534,7.891423,8.466418,13.492342,7.7736106,2.6015508,0.0,0.0,0.0,0.0,0.0,0.0,0.80477697,0.0,0.013352258,21.264448,1.9190276E-5,2.3508814E-5
1.0,13.0,0.13187958,1.520986,1.8730485,6.5364623,0.39923295,0.21879424,4.1393886,1.9814531,3.1714604,6.512717,9.060015,8.552833,12.475532,5.633578,2.7586098,0.0,0.0,0.0,0.0,0.0,0.0,0.6148065,0.0,0.010475164,16.749174,1.5608173E-5,1.911916E-5
1.0,14.0,0.10074271,1.0666629,1.1493767,5.540137,0.43440533,0.14852542,3.313294,1.429636,2.82605,5.3696456,6.4948297,6.6671624,14.714685,5.7260847,1.8599219,0.0,0.0,0.0,0.0,0.0,0.0,0.5125659,0.0,0.009615882,15.426181,1.3502963E-5,1.6528125E-5
1.0,15.0,0.045705054,1.1738453,1.3848566,5.3804398,0.4878871,0.068490714,2.6402636,1.1479897,2.596341,6.5758166,5.6904917,6.2125363,8.718123,6.021163,1.7524383,0.0,0.0,0.0,0.0,0.0,0.0,0.53787,0.0,0.00903985,13.91768,1.2729541E-5,1.5581776E-5
1.0,16.0,0.07669347,1.0021791,0.9985939,4.9909015,0.376965,0.10439269,3.9141445,1.2423397,2.362397,5.633868,6.059675,5.279856,7.099593,3.4683502,1.422751,0.0,0.0,0.0,0.0,0.0,0.0,0.47964713,0.0,0.0074416604,12.190439,1.1356075E-5,1.3905861E-5
1.0,17.0,0.046752084,0.8860475,0.999639,4.961717,0.258265,0.06040358,2.7026062,0.92220306,1.4812729,5.251626,3.9879699,3.7297633,7.4662323,4.3055844,1.7356261,0.0,0.0,0.0,0.0,0.0,0.0,0.42019397,0.0,0.00714506,10.945926,1.0123724E-5,1.239884E-5
1.0,18.0,0.016742583,0.5189023,0.6774037,3.975981,0.2394104,0.06850975,2.280772,0.852311,1.746549,4.0912185,2.6437123,3.2601898,7.9318333,4.3983636,1.3768183,0.0,0.0,0.0,0.0,0.0,0.0,0.41542295,0.0,0.006387214,9.799327,9.320493E-6,1.1417544E-5
1.0,19.0,0.0439945,0.45699033,0.84177375,4.78209,0.22797298,0.062062267,1.8675648,0.86094016,1.4191614,3.892039,3.2039347,3.8454676,4.340391,3.8244705,1.082317,0.0,0.0,0.0,0.0,0.0,0.0,0.3357478,0.0,0.005140008,7.9936953,7.75032E-6,9.503421E-6
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,247.82248,0.024584977,866.61395,10.12864,0.18417285,571.64154,0.30562153,1056.4397,6.156316,1947.961,0.028107932,4029.0312,1156.8877,50.126274,0.0,0.0,0.0,0.0,0.0,622.26575,1173.2527,115.379456,16.301304,8026.2505,0.0017881474,8.1472995E-10
2.0,1.0,0.38528475,2182.6462,3.288068,5370.0127,377.08563,0.8165881,2019.1226,45.28245,3258.6477,113.01433,9698.736,45.47876,8761.545,2450.5356,1404.7875,0.0,0.0,0.0,0.0,0.0,838.3598,1625.7078,166.55298,28.186378,16209.201,0.009125733,9.880995E-4
