"% of prey species (in rows) in the diet of predator species (in col)"
"Time","Prey",lesserSpottedDogfish,redMullet,pouting,whiting,poorCod,cod,dragonet,sole,plaice,horseMackerel,mackerel,herring,sardine,squids,cuttlefish,thornbackRay
1.0,lesserSpottedDogfish,0.0036312845,0.0,0.0,3.409392E-5,0.0,0.0070346273,0.0,0.0,0.0,2.7145315E-5,9.678627E-7,0.0,0.0,7.8946243E-7,2.0695221E-7,0.0
1.0,redMullet,1.3328391,0.2166104,3.5117846,0.7572389,0.770746,0.34507772,0.1071753,0.17439793,0.0015241811,0.5328658,0.3382803,0.0030297758,0.2960482,0.026825747,0.16185477,1.5399896
1.0,pouting,0.020154951,3.3201613E-5,0.0020760125,9.011225E-4,2.9696352E-5,0.0395618,2.6277885E-5,7.069078E-5,1.0186792E-5,0.0037226947,3.1244417E-5,2.472839E-5,5.894859E-8,4.2094787E-5,0.0,0.45990202
1.0,whiting,2.3729408,0.0030884955,3.565178,5.7290735,0.26833388,0.9521861,0.08210578,0.14362204,0.05103721,2.4680297,0.031259377,0.014537616,0.006360444,0.5572751,0.0,2.979728
1.0,poorCod,1.4470986,0.0,0.31337094,0.021708144,0.025975427,0.10262123,0.0019687985,0.0035955342,0.025850879,0.29136908,6.99978E-4,0.0035391066,3.008126E-4,0.03952333,0.0,0.7073115
1.0,cod,0.014193601,0.0,0.019173155,7.8838045E-4,2.0816902E-4,0.018782716,4.5998738E-4,4.067379E-5,1.6141942E-4,0.0060002324,2.3039294E-5,0.0015806694,2.153835E-6,0.005140559,0.0,0.040868104
1.0,dragonet,3.951958,0.12092274,3.0334492,1.4866548,0.44848242,0.3544513,0.11708698,0.17630391,0.18357322,1.481191,0.3437105,0.03290227,0.10177176,0.37054938,0.38282073,3.1386023
1.0,sole,0.043847755,3.9900977E-5,0.007988627,0.0014599947,7.105268E-4,0.060750775,2.8897682E-4,0.0010561285,7.5712094E-5,0.010680161,5.1956544E-5,2.2375587E-5,3.4115155E-7,2.5119112E-4,7.276317E-6,0.34828204
1.0,plaice,4.1289864,0.0010329852,2.8183434,0.8325691,0.08647891,0.64039665,0.010899846,1.1709689,1.2174314,0.74316674,0.0040154816,2.1138194,2.6165985E-4,0.98853743,0.2649205,1.9631498
1.0,horseMackerel,0.6022471,0.00566336,0.11042731,0.05582334,0.016717913,0.17572592,0.010875259,0.031390194,0.0010003069,0.37452987,0.0023072069,0.0011119826,0.014569289,0.0025652484,0.0,1.8496445
1.0,mackerel,3.0385349,0.69230014,4.8873906,3.7507906,0.55363226,2.9376721,0.33540645,0.67465585,0.0073742676,2.5124779,2.618525,1.6664598,0.005616251,0.18091317,0.0,4.5122623
1.0,herring,2.6912167,0.0,0.61927545,0.0030559162,0.007707225,0.49385902,0.0,0.0,0.028716162,0.2862353,0.021190505,0.78385454,2.8610544E-4,0.008585841,0.0,2.293312
1.0,sardine,5.8210607,0.20524523,5.59773,11.384535,1.540387,4.460799,0.13367538,0.34174472,0.004927311,4.4733605,4.797776,3.802913,0.05027037,4.7090616,0.0,7.4673266
1.0,squids,11.59868,1.8095963E-4,4.012316,1.6490605,0.27398783,0.6328833,0.002293016,0.46014416,5.5865414E-4,4.3978896,0.053232197,1.034762,4.5177698E-4,0.15835711,0.048457924,7.74016
1.0,cuttlefish,5.6204867,0.0017365791,1.9327279,0.10388163,0.8610466,0.24887194,0.011570938,0.994966,0.0010362654,0.0,0.0,0.0,0.0,0.0012304218,1.125981,4.2288375
1.0,thornbackRay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9774854E-5,0.005379473
1.0,diatoms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31113663,0.3263554,0.0,0.0,0.0
1.0,microPhytoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4744342E-5,1.9080337E-5,0.0,0.0,0.0
1.0,heterotrophicFlagellates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6046256,29.897285,0.0,0.0,0.0
1.0,microZooplankton,0.0,17.47415,0.0,0.0,9.636759,0.0,20.4986,3.874836,32.190105,13.079464,5.1351547,25.883665,22.736902,0.0,0.0,0.0
1.0,mesoZooplankton,0.213588,36.381397,10.213301,31.83898,62.145885,59.901756,35.590263,15.374706,16.409729,40.949673,49.412262,11.718794,46.38955,27.185032,0.0,0.0
1.0,Macrozoo,3.583098,7.1068573,8.315938,24.95439,13.543518,22.87691,4.730326,2.0133762,8.317448,28.389318,37.24148,51.023205,0.17394869,38.706314,0.0,0.0
1.0,meioBenthos,0.101376995,34.808884,0.22938687,1.1383595,1.6189096,0.053790387,36.645885,32.321953,39.507122,0.0,0.0,0.0,0.0,23.654068,85.34416,1.2369801
1.0,depositBenthos,0.074515745,2.9531317,0.080601014,0.0978276,0.12371001,0.009012052,1.6064582,4.1608596,1.99862,0.0,0.0,0.0,0.0,3.4010067,6.437807,0.12166629
1.0,suspensionBenthos,53.33948,0.02872731,50.729527,16.192867,8.076775,5.687852,0.114633076,38.08131,0.053700168,0.0,0.0,0.0,0.0,0.004719391,6.23397,59.3665
1.0,largeBenthos,3.959429E-5,0.0,1.6948245E-5,1.0947998E-6,8.1458545E-8,4.4061826E-6,0.0,0.0,2.4441205E-9,0.0,0.0,0.0,0.0,0.0,1.7901081E-6,7.6793134E-5
1.0,veryLargeBenthos,2.5334302E-5,0.0,0.0,2.9396173E-8,0.0,2.4165583E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4894577E-7,1.8509452E-5
2.0,lesserSpottedDogfish,5.252822E-4,0.0,0.0,1.0733183E-5,0.0,0.002810376,0.0,0.0,0.0,4.718406E-5,5.3952124E-7,0.0,0.0,9.962941E-7,1.0926477E-7,0.0
2.0,redMullet,1.6052313,0.8751685,6.319368,1.4156722,0.7055993,0.42338732,0.33355933,0.55981296,0.035719104,0.47120252,0.5857652,0.21764077,0.44020858,0.27200168,0.037219543,2.2431242
2.0,pouting,0.009317314,2.5821877E-5,0.005244158,8.747898E-4,2.2132057E-4,0.03821196,4.896669E-6,5.047235E-4,2.723235E-4,0.004353076,1.00551275E-4,3.898594E-5,1.8586226E-6,0.002833841,0.0,0.12828654
2.0,whiting,4.3171086,0.020358196,2.5800676,3.0687263,0.04914582,3.4799562,0.04929193,0.3299736,0.5976275,1.4291493,0.08999575,0.028874703,0.029642561,1.837021,0.0,4.0236135
2.0,poorCod,5.403624,0.0,2.1492264,0.1704981,0.23140758,0.562969,0.018661374,0.021455582,0.17494196,0.7394529,0.011154104,0.046954546,0.014941358,0.3407313,0.0,3.1988013
2.0,cod,8.129317E-4,0.0,8.882123E-4,0.0014827078,2.1998971E-4,0.2161323,0.0,2.1264883E-4,0.001139618,7.0477463E-4,0.0040846425,0.0076869195,1.8413091E-5,0.014868513,0.0,0.0096626645
2.0,dragonet,2.3117652,0.00947442,2.1288426,2.0175722,0.46466032,0.17898728,0.2648012,0.27542076,0.22213547,0.8285197,0.14482619,0.23058048,0.1677503,0.7286559,0.044680014,2.0807662
2.0,sole,0.13751034,3.2550033E-5,0.018899586,0.008849678,0.0020805118,0.13135867,4.1737073E-4,0.003652307,0.0013600078,0.009109054,2.3455806E-4,1.4899837E-4,3.0235731E-5,0.0025262237,3.3169152E-4,0.12561132
2.0,plaice,3.3374636,5.5671105E-4,2.2373555,2.0450401,0.09622478,0.8014361,0.004726735,0.44140875,1.6951507,0.44761565,0.052956477,1.6986723,0.0061540566,2.414784,0.009822242,2.481252
2.0,horseMackerel,0.13545834,0.0073392773,0.08549921,0.11204106,0.019535566,0.18534216,0.0127414465,0.061258756,0.022716083,0.2353995,0.011974997,5.9268007E-4,0.016027158,0.020068098,0.0,0.59434307
2.0,mackerel,5.8669233,2.023623,8.57665,6.6382194,0.8811829,1.7610906,0.5601073,0.9721961,0.0987188,2.9533565,4.108957,5.192938,0.009846048,0.8462385,0.0,6.3502035
2.0,herring,1.4397956,0.0,0.00609639,0.001856704,0.0011617541,0.33998466,0.0,0.0,0.123169854,0.02482306,0.015651552,1.2189137,4.7049866E-4,0.09615605,0.0,0.41339466
2.0,sardine,7.134495,0.5829815,7.1363506,13.869383,1.3612231,1.5950618,0.06129531,1.1227716,0.28237176,4.1074977,3.41444,10.000994,0.17563611,16.38022,0.0,8.896524
2.0,squids,10.260304,8.732218E-5,2.2875018,1.3531106,0.051290058,0.31669328,0.001535224,0.028852727,5.695467E-4,1.6488286,0.059464067,1.7465484,5.2955864E-5,2.5596945,2.1859427E-4,4.3153615
2.0,cuttlefish,14.67753,9.81888E-4,3.559413,0.48322296,0.54979765,0.32070693,0.028475923,0.76519716,0.008531633,0.0,0.0,0.0,0.0,0.0022227308,1.4992926,6.610457
2.0,thornbackRay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9829553E-5,0.0074997423
2.0,diatoms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0834455,0.352856,0.0,0.0,0.0
2.0,microPhytoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9445345E-5,1.9862036E-5,0.0,0.0,0.0
2.0,heterotrophicFlagellates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.248646,32.155144,0.0,0.0,0.0
2.0,microZooplankton,0.0,22.951038,0.0,0.0,9.320403,0.0,24.817108,5.800432,21.761803,21.166855,7.0294604,23.253185,25.795376,0.0,0.0,0.0
2.0,mesoZooplankton,0.087298654,36.87113,16.894531,22.549065,60.316513,54.424644,39.901814,19.914427,28.292439,49.242855,44.86438,13.115331,40.36052,17.415453,0.0,0.0
