"Mean Trophic Level of fish species, weighted by fish catch, and including first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,3.8944736,3.4384615,3.7339993,4.0908647,NaN,4.2118306,NaN,3.327587,3.4977093,3.8282115,3.9463544,3.603624,3.5266457,4.097373,3.6267917,4.046168
2.0,4.0979867,3.4257987,3.804955,4.000434,NaN,4.3651924,NaN,3.3600626,3.464488,3.8988225,3.9981456,3.6951282,3.5799992,4.0301867,3.8094885,4.22203
3.0,4.0361466,3.433445,3.7967732,4.005617,NaN,4.4070606,NaN,3.4051669,3.50763,3.94024,3.9428828,3.6446376,3.5653477,4.0348372,3.734532,4.1537237
4.0,4.0298243,3.431235,3.773096,4.002562,NaN,4.4753685,NaN,3.4220288,3.4523091,4.0161505,3.9448752,3.6350663,3.5359552,4.1477604,3.685539,4.11499
5.0,4.116707,3.385731,3.7977424,3.9632616,NaN,4.5117974,NaN,3.438994,3.4476311,4.027675,3.9194484,3.6948533,3.461535,4.1781335,3.5729334,4.1291804
6.0,4.142099,3.4218047,3.7892072,3.9725997,NaN,4.537227,NaN,3.4778836,3.4706154,4.025588,3.9322076,3.6417663,3.440746,4.231973,3.5467994,4.110518
7.0,4.138122,3.41733,3.75972,3.9936054,NaN,4.562992,NaN,3.4966156,3.5099015,4.055929,3.9231553,3.6373792,3.4292772,4.1329494,3.5562165,4.129486
8.0,4.139042,3.428216,3.7739792,3.9622262,NaN,4.5851607,NaN,3.517184,3.4830852,4.0071015,3.930528,3.6065094,3.4341724,4.1097436,3.5027463,4.138388
9.0,4.1497345,3.4152102,3.8310306,3.9562433,NaN,4.560702,NaN,3.5064795,3.4671419,4.015057,3.905557,3.6355662,3.4459527,4.1887426,3.500289,4.1553063
10.0,4.0791254,3.4067342,3.793433,3.95438,NaN,4.5472083,NaN,3.466629,3.4580843,3.9689837,3.9091668,3.6440268,3.4433618,4.078385,3.551847,4.1634526
11.0,4.054668,3.3659546,3.774797,3.9955635,NaN,4.45146,NaN,3.4706788,3.4627557,4.0083237,3.9499743,3.67874,3.4331825,4.185423,3.5168145,4.1796
12.0,4.0520606,3.3851366,3.7842484,4.0045147,NaN,4.478668,NaN,3.4461594,3.4546583,3.9757626,3.9486303,3.6373327,3.4328444,4.1201425,3.5751572,4.18264
13.0,4.0805163,3.406949,3.7747507,3.9736788,NaN,4.473844,NaN,3.4423387,3.4239397,3.9892697,3.9174457,3.6106942,3.4178712,4.1515913,3.538327,4.1816154
14.0,4.086685,3.3856142,3.7972844,3.95291,NaN,4.4417105,NaN,3.4450645,3.4215996,4.0102286,3.933751,3.6699388,3.4276078,4.1704583,3.5266023,4.190924
15.0,4.126507,3.3911214,3.8119378,3.9411948,NaN,4.571743,NaN,3.4245224,3.4464364,4.022173,3.9405727,3.6929977,3.4421651,4.156064,3.5581696,4.215313
16.0,4.1048055,3.3744972,3.736991,3.9857142,NaN,4.4882007,NaN,3.4108477,3.4173136,3.9910424,3.9379897,3.686461,3.4302297,4.180415,3.43713,4.221858
17.0,4.134892,3.4040556,3.7956023,3.9790778,NaN,4.5387917,NaN,3.405544,3.4528224,4.026544,3.9274087,3.664696,3.435019,4.19837,3.5165813,4.237826
18.0,4.1051626,3.3757312,3.7736726,3.9440877,NaN,4.5578394,NaN,3.4205952,3.4457488,4.0041947,3.9197838,3.6599019,3.4452732,4.154288,3.5098734,4.239169
19.0,4.0659785,3.3788705,3.838903,4.0001345,NaN,4.499735,NaN,3.4160018,3.4661372,4.014454,3.9343681,3.7067652,3.4317517,4.111688,3.4772415,4.233046
20.0,4.072803,3.3629467,3.770112,3.974185,NaN,4.431336,NaN,3.431255,3.4089415,4.003,3.9178019,3.6660426,3.439711,4.135714,3.5459607,4.2241917
