"Mean trophic level of fish species by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,NaN,3.6677098,3.3262036,3.5497718,3.3190284,3.4537241,3.7030036,3.268877,3.753183,3.376201,3.3904064,3.2332652,3.145865,3.5170803,3.901754,NaN
1.0,5.0,3.0,3.8224144,3.521684,3.8023508,3.471522,3.555109,3.8579373,3.7748287,3.8332443,3.4252918,3.73595,3.1519043,3.1866148,3.56028,3.5532796,NaN
1.0,10.0,3.5155404,3.8911846,3.6598296,3.8524787,3.428832,3.4050696,3.8872335,3.8866827,3.320046,3.4489546,4.139864,3.3336608,3.3828511,3.7726867,3.6317532,3.4866197
1.0,15.0,3.6307898,3.869838,3.3767712,3.4997942,3.5299253,3.444879,3.864159,3.8941023,3.4390886,3.7721303,3.5161293,3.4524837,3.4982507,4.0702777,3.029496,3.533335
1.0,20.0,3.8723388,3.492839,3.6609383,3.7084126,3.700179,3.9140513,3.4110231,3.3440194,3.4739766,3.8472722,3.7157905,3.541934,3.5505176,4.0223026,3.3090532,3.6914902
1.0,25.0,3.8648555,3.4060383,3.7511418,4.1092873,NaN,4.212362,3.3864844,3.3360415,3.4773538,3.8237684,4.014628,3.5871115,NaN,4.0127583,3.4387388,3.5024107
1.0,30.0,3.6561487,3.4221795,3.7608345,4.107964,NaN,3.7789357,NaN,3.363343,3.5166094,3.8338287,4.1268983,3.6518292,NaN,4.3166285,NaN,3.7202265
1.0,35.0,3.7486112,3.4264534,NaN,4.219969,NaN,4.164352,NaN,3.4019666,3.5158932,3.889716,4.065212,NaN,NaN,4.56271,NaN,3.5952232
1.0,40.0,3.8141916,3.4375713,NaN,4.264862,NaN,4.2171326,NaN,NaN,3.525686,NaN,4.124121,NaN,NaN,4.29902,NaN,3.7551367
1.0,45.0,3.8642378,3.4580147,NaN,NaN,NaN,4.2823577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.67648
1.0,50.0,3.91397,NaN,NaN,NaN,NaN,4.4802012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.881563
1.0,55.0,3.951521,NaN,NaN,NaN,NaN,4.365308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.865192
1.0,60.0,3.9480264,NaN,NaN,NaN,NaN,4.3975887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9456642
1.0,65.0,NaN,NaN,NaN,NaN,NaN,4.5015607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9832335
1.0,70.0,NaN,NaN,NaN,NaN,NaN,4.5170527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.018531
1.0,75.0,NaN,NaN,NaN,NaN,NaN,4.5696263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0540705
1.0,80.0,NaN,NaN,NaN,NaN,NaN,4.560441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.086904
1.0,85.0,NaN,NaN,NaN,NaN,NaN,4.5891027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0457287
1.0,90.0,NaN,NaN,NaN,NaN,NaN,4.616564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.091626
1.0,95.0,NaN,NaN,NaN,NaN,NaN,4.627993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0882115
1.0,100.0,NaN,NaN,NaN,NaN,NaN,4.6664586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.118116
1.0,105.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,110.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,115.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,120.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,125.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,0.0,NaN,3.66936,3.3375256,3.5377364,3.3372808,3.3275046,3.7010276,3.2437282,3.6421852,3.3400037,3.4083138,3.0935907,3.1630242,3.53645,3.926615,NaN
