"Mean abundance (number of fish), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,9.369541E7,6.5012874E9,1.4369392E8,2.6048005E8,1.0198234E9,605623.4,1.1851053E10,1.10902296E8,9.771301E7,2.3205883E9,9.739196E7,8.5583706E8,1.8029784E11,2.5210605E11,1.9504374E9,4208020.0
2.0,7.895494E7,2.1804597E10,1.2765906E8,2.0021622E8,9.447212E9,662753.94,1.0844191E10,1.7051635E8,2.7718266E8,1.6373937E9,2.2617147E8,3.8630218E8,6.865763E11,2.9342407E10,1.0116789E10,1.4106074E7
3.0,6.6981372E7,2.1916752E10,1.3180707E8,2.8959674E8,2.0458211E10,1368391.0,5.5818696E9,1.0754937E8,2.6788635E8,1.2651238E9,1.7810123E8,1.9986387E8,9.8221045E11,1.5511701E8,1.2746797E10,2.466927E7
4.0,5.943627E7,3.032462E10,1.2930766E8,5.940396E8,3.875387E10,1332299.4,4.649466E9,8.160268E7,2.5737402E8,2.071113E9,9.30682E7,1.4455424E8,5.944184E11,2.1627726E7,6.542935E9,3.3272746E7
5.0,5.425056E7,4.136889E10,1.4621434E8,1.0599771E9,5.377564E10,2792330.5,2.0966789E9,7.566905E7,2.4737323E8,2.139827E9,4.900214E7,8.895633E7,4.523726E11,1.2046485E8,2.7551757E9,3.9768372E7
6.0,4.6248044E7,6.910531E10,1.3759606E8,1.2690175E9,3.8890734E10,2909898.2,7.6361043E8,7.000153E7,2.0878531E8,1.9892036E9,3.2453374E7,1.0961955E8,2.5473242E11,9.738477E7,2.6114662E9,4.382051E7
7.0,3.8577956E7,6.0141576E10,1.4749904E8,1.5010714E9,3.1465236E10,2773444.5,2.221206E8,5.927051E7,1.9648198E8,1.8375501E9,2.166092E7,7.347994E7,2.5832573E11,2.000439E8,2.4295718E9,4.6156184E7
8.0,3.356628E7,5.8954437E10,1.440666E8,1.7989464E9,3.398959E10,4968949.0,1.2160104E8,5.6345068E7,1.7240426E8,1.530352E9,2.5377864E7,9.708132E7,4.2344153E11,1.5242744E8,2.7974943E9,4.7713804E7
9.0,3.1712226E7,8.082668E10,1.4923856E8,1.7767997E9,4.310478E10,5412083.5,1.9713334E8,5.7329616E7,1.5431838E8,1.4625832E9,3.0723544E7,9.646826E7,2.6296705E11,2.1679163E8,2.4400868E9,4.8277708E7
10.0,2.5784658E7,1.0893388E11,1.3741878E8,1.5116086E9,4.7082578E10,4671795.0,1.3574646E8,5.8719896E7,1.3778653E8,1.3326483E9,3.2420982E7,9.769888E7,2.258916E11,1.6809346E8,1.9622629E9,4.7568016E7
11.0,2.016217E7,7.701596E10,1.290484E8,1.2752687E9,4.889472E10,4068976.5,9.174386E7,6.553594E7,1.1872513E8,1.192374E9,3.916423E7,9.660689E7,3.0987397E11,3.398767E8,2.5650396E9,4.672741E7
12.0,1.808425E7,3.4514465E10,1.2315308E8,1.4507909E9,3.930734E10,3616655.2,8.280831E7,7.292508E7,1.07387144E8,1.4017516E9,3.657284E7,8.676298E7,2.907642E11,2.1911794E8,2.5326013E9,4.590675E7
13.0,1.676959E7,2.9719124E10,1.2015692E8,1.4619525E9,4.254159E10,3215068.8,1.01411176E8,7.119979E7,1.0328573E8,1.3682354E9,4.597218E7,1.2308471E8,2.6102022E11,2.1943016E8,2.0998618E9,4.434183E7
14.0,1.519243E7,2.562662E10,1.2918424E8,1.4122163E9,4.334058E10,2885370.8,1.1044568E8,7.509797E7,1.1289383E8,1.1206431E9,5.387899E7,1.1240669E8,2.4944076E11,2.186842E8,2.5869576E9,4.3103132E7
15.0,1.3844545E7,2.5041168E10,1.252487E8,1.3797567E9,4.687666E10,2584234.2,6.074113E7,7.70135E7,1.0399571E8,1.0889782E9,5.9863164E7,8.432028E7,2.6193922E11,1.6528635E8,2.995166E9,4.140081E7
16.0,1.2546249E7,1.8182214E10,1.2590087E8,1.3596874E9,4.76492E10,2329557.8,8.39677E7,8.42083E7,9.169673E7,9.704519E8,6.2901796E7,1.2020591E8,2.3304256E11,2.6693123E8,3.2096594E9,3.9424604E7
17.0,1.2356022E7,2.838897E10,1.18782E8,1.4135663E9,4.154492E10,2103736.2,1.2325698E8,9.275638E7,9.116721E7,7.499189E8,7.288701E7,1.3884698E8,2.3567663E11,3.9349427E8,2.8986401E9,3.762584E7
18.0,1.1188353E7,1.5872353E10,1.0154696E8,1.4541088E9,4.28347E10,1880140.5,1.1577252E8,9.217975E7,1.0838883E8,6.5493325E8,7.7938856E7,1.26374584E8,2.9649777E11,4.184726E8,2.6676577E9,3.5773612E7
19.0,9774998.0,2.109205E10,8.900977E7,1.2223667E9,4.5496504E10,1689573.9,2.2385158E8,9.226264E7,1.3671986E8,8.0987117E8,7.3663784E7,1.385637E8,2.3264358E11,2.732432E8,2.8342446E9,3.428395E7
20.0,8799393.0,2.7309992E10,8.331619E7,1.2440776E9,4.5728584E10,1554702.8,1.496309E8,9.4007736E7,1.4347848E8,1.0784447E9,7.8517144E7,1.3445262E8,2.0578068E11,2.3426398E8,2.5729577E9,3.9005424E7
