"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,22307.648,20154.36,26120.676,59116.074,15920.527,2093.802,30807.572,29688.215,21097.086,147811.3,30354.564,127494.81,276938.62,551658.94,34535.953,7311.4805
2.0,23591.146,52577.06,34144.793,50376.848,69984.734,2352.4175,27634.996,50454.688,64414.13,184591.58,61988.5,57035.66,250779.97,373688.62,195697.34,7382.9443
3.0,24376.275,70790.8,44168.824,48125.016,138193.08,3902.6025,21558.75,43359.234,87214.125,205975.78,55293.22,30797.523,219278.94,54646.86,196045.92,8439.635
4.0,24473.012,97875.43,40580.79,64812.61,201432.47,4214.6377,16259.884,40383.496,103462.625,211288.44,36010.484,18754.92,149035.75,22910.094,118529.45,10597.202
5.0,23971.91,117935.414,44703.812,89477.49,228131.42,7246.2656,8426.86,40318.133,121053.375,186119.94,23640.016,11293.412,116524.69,23027.84,86391.58,13906.955
6.0,22161.75,129545.414,43987.848,82916.086,208259.2,8143.8125,3049.0107,39191.805,126552.03,183155.25,17099.635,9617.053,114543.07,34939.188,73801.87,17896.13
7.0,19535.951,135510.89,44947.117,80453.12,195745.5,8253.938,1325.9375,37249.016,127986.625,182903.55,12294.453,11573.3,106820.984,35784.023,84321.13,22358.79
8.0,17158.24,143219.89,48435.94,82427.93,187510.5,13335.392,896.78467,36157.94,137267.53,180239.67,11740.752,13349.699,97006.19,36969.05,78335.09,27440.682
9.0,14252.23,144573.98,47378.074,85876.81,183249.88,14856.994,861.76825,37037.305,146278.58,172842.11,11187.966,17257.037,100461.555,29015.299,74982.8,32652.318
10.0,9683.32,137982.53,43984.215,88011.25,190504.78,13829.423,869.5913,36166.06,147910.2,161212.45,9951.149,15978.368,100679.88,26429.635,94097.99,37099.79
11.0,7508.5244,80671.31,43777.797,112293.664,199389.05,12810.829,997.11316,35849.15,147245.55,159145.16,10384.632,12675.711,108190.79,30441.754,103433.45,41296.125
12.0,8040.972,46313.75,43619.91,138563.48,193721.89,11967.972,1115.2906,36997.395,155810.3,157254.47,12444.953,16791.945,113645.29,40367.707,91739.88,45410.055
13.0,8203.513,47630.21,43199.645,127001.35,188281.56,11079.376,996.4677,38777.6,157137.97,153926.77,14310.4,17750.557,113912.89,47730.355,94850.19,48902.383
14.0,7972.272,49488.63,41845.926,128948.875,187178.89,10276.479,1073.6925,42960.863,148619.78,143945.4,17251.752,16747.275,104447.516,44460.395,86898.25,52012.246
15.0,7299.7085,51210.6,41050.883,148909.05,180814.33,9452.291,1161.7274,45330.773,125771.12,130093.25,21364.734,21871.846,97611.195,56371.36,95857.125,54378.137
16.0,6727.5703,52542.203,42775.26,146855.27,169852.6,8702.793,802.3899,48570.445,127646.15,119212.74,20243.705,18916.188,96040.71,50757.605,94123.22,56277.727
17.0,6048.837,52056.574,45304.535,149155.39,176564.83,7997.7744,673.554,52034.49,139077.48,114433.734,21755.998,17996.084,103073.01,60723.1,87026.76,57570.7
18.0,4898.1304,54045.508,43428.53,130002.85,193824.25,7235.3433,1074.9896,54767.22,140711.17,109312.305,21541.51,18520.508,118289.85,42595.11,80535.305,57851.91
19.0,3894.0164,54280.945,41013.5,121075.4,209571.89,6608.546,1251.401,57871.496,143020.1,106994.72,23128.459,17402.29,123803.31,29772.777,100613.5,57878.414
20.0,3459.4783,57499.805,40990.93,127693.46,222847.77,6067.8037,1157.572,58458.598,148163.78,110808.62,24110.143,21623.875,116451.586,32714.621,84924.83,58063.785
