"cumulative catch (number of fish caught per time step of saving). ex: if time step of saving is the year, then annual catches in fish numbers are saved"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,1.1675391E7,1.4318005E7,1.1384332E7,5.3679876E7,0.0,43459.215,0.0,6.1435452E7,1.4420073E7,7.135114E7,5.9514164E7,3.6759536E8,8.2849126E8,3.482286E8,5989783.0,128881.16
2.0,1.0231802E7,3.3536752E7,7044561.5,3.2857476E7,0.0,39498.707,0.0,9.38125E7,4.494676E7,7.644305E7,1.5813269E8,2.1663152E8,2.7566838E9,1.3342399E8,3.381703E7,279745.7
3.0,7396370.5,2.3108674E7,7996683.0,4.016527E7,0.0,77264.336,0.0,4.036587E7,3.639819E7,5.1884764E7,1.05197176E8,9.609227E7,2.2861115E9,2.0997412E7,2.1245396E7,520266.88
4.0,5164971.0,2.8760344E7,6859230.0,7.029487E7,0.0,66118.67,0.0,2.3248346E7,2.2131778E7,5.6636908E7,6.375726E7,8.787703E7,1.8325484E9,7277162.0,1.0337959E7,659473.56
5.0,4089714.2,2.7344248E7,5972380.0,1.0024247E8,0.0,117192.04,0.0,1.530587E7,1.601146E7,3.4285316E7,2.6818578E7,3.5850844E7,1.05911085E9,5904837.0,8354936.0,686180.06
6.0,6194336.0,5.299586E7,2.1589368E7,1.586931E8,0.0,258285.69,0.0,2.0096486E7,2.1694754E7,6.801809E7,2.5916908E7,3.4298724E7,1.1363844E9,1.5905201E7,1.1802184E7,1817454.6
7.0,4119554.2,3.9299708E7,1.4053959E7,1.1335353E8,0.0,169083.48,0.0,1.5750123E7,1.4943002E7,6.1143628E7,1.5892984E7,4.0009092E7,9.498681E8,1.1728906E7,9581122.0,1313907.9
8.0,2634127.8,4.3775308E7,1.0115197E7,8.469471E7,0.0,229729.89,0.0,9374292.0,1.1740893E7,4.64768E7,1.4213551E7,3.884647E7,6.570476E8,8923489.0,6545414.5,963462.56
9.0,2748320.2,4.1020388E7,1.1515007E7,1.0254069E8,0.0,283932.94,0.0,1.1904038E7,1.5887759E7,4.344725E7,1.5535518E7,4.659935E7,6.211433E8,7999600.0,6764523.0,1133712.6
10.0,3390079.8,5.266148E7,2.1339824E7,1.6237056E8,0.0,416828.94,0.0,1.7711244E7,2.3038238E7,5.902027E7,1.9111696E7,5.0783692E7,8.3539117E8,1.0524403E7,1.4197092E7,2014240.0
11.0,1705262.2,2.1842522E7,6716161.5,1.0936927E8,0.0,154023.78,0.0,1.4233496E7,1.3959563E7,2.722328E7,1.2001587E7,2.1210726E7,4.9799798E8,6242204.0,7976207.0,763675.56
12.0,1709980.6,1.4930747E7,1.0976882E7,1.6161403E8,0.0,185050.4,0.0,1.6579947E7,1.7089468E7,4.1673924E7,1.971291E7,4.3948064E7,6.973684E8,9795369.0,7746594.5,1073124.5
13.0,1188073.4,9961681.0,6887216.0,1.1325081E8,0.0,121516.39,0.0,1.697683E7,1.3731004E7,2.8423554E7,1.7430586E7,3.1308424E7,4.9731136E8,9777271.0,6947240.0,746652.0
14.0,928686.5,9305790.0,5590487.5,1.056408E8,0.0,96994.93,0.0,1.6502008E7,9133977.0,2.2304156E7,1.968472E7,2.748181E7,4.5587488E8,8205273.5,5389258.5,634248.8
15.0,900301.8,1.2508816E7,8127014.0,1.3877683E8,0.0,105428.37,0.0,1.6421885E7,7706749.5,2.0402486E7,2.5025964E7,3.3133772E7,4.131284E8,1.1790782E7,7677501.0,769351.5
16.0,558365.0,9933127.0,3351370.8,8.8507304E7,0.0,52744.79,0.0,1.3444395E7,5664209.5,1.909348E7,2.3936982E7,4.3021264E7,5.8015674E8,6649095.0,4586669.5,374732.4
17.0,748464.06,1.0623014E7,7278641.5,1.2737674E8,0.0,77383.82,0.0,1.6055149E7,1.0318023E7,1.6272368E7,2.2745152E7,2.6351194E7,4.1472502E8,1.1139645E7,5802834.0,623882.06
18.0,741226.8,1.3958908E7,8804012.0,1.2103659E8,0.0,79940.08,0.0,1.477705E7,8876762.0,2.3696912E7,3.0145782E7,4.531028E7,8.5548576E8,9148329.0,5791592.0,700738.4
19.0,436429.8,6682045.0,3624161.2,7.040644E7,0.0,39756.723,0.0,1.1864271E7,4898120.5,1.4998361E7,2.276996E7,3.1941084E7,5.4688224E8,4049594.8,5028557.0,344482.16
20.0,338044.75,5503547.5,2149013.2,6.32958E7,0.0,28033.01,0.0,1.1388937E7,4675383.0,1.8610554E7,2.579548E7,5.1396536E7,6.43571E8,3386295.8,3234572.0,272955.25
