"Distribution of fish species biomass (tonne) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,0.0,0.0,15925.246,0.0,0.0,0.0,264.87476,0.0,0.0,0.0,0.0,0.0,15081.045,313899.06,1270.6221,0.0
1.0,5.0,0.0,12.340242,72097.86,0.0,3958.2815,0.0,2448.9321,0.0,0.0,98.491104,0.0,0.0,2614.3708,31179.83,6688.776,0.0
1.0,10.0,4.284665,309.13416,35526.348,0.0,718.2279,0.0,3455.6616,0.0,0.0,7223.4995,0.0,0.0,45754.688,29242.826,3648.484,0.0
1.0,15.0,221.95023,1242.127,3933.8005,0.0,3001.6804,0.0,3601.5933,0.0,0.0,29949.604,0.0,0.0,86096.4,5921.2095,2707.206,15.104189
1.0,20.0,539.9156,1667.1566,9478.112,3910.888,0.0,0.0,5825.637,0.0,3682.2034,45254.773,0.0,0.0,129066.84,1720.8828,4952.8335,54.78323
1.0,25.0,651.0749,1729.1306,12055.149,11935.141,0.0,0.0,5018.6074,6073.495,5188.7256,19306.043,8738.062,102669.9,0.0,14331.936,7869.89,27.346725
1.0,30.0,1094.4458,566.93884,6937.915,7258.5654,0.0,0.0,0.0,7980.9673,3412.788,19104.557,11440.643,18597.074,0.0,26520.408,0.0,61.935265
1.0,35.0,1623.5533,560.0723,0.0,9510.8,0.0,0.0,0.0,6019.688,1822.3455,12253.836,5965.0933,0.0,0.0,15679.178,0.0,47.662235
1.0,40.0,2257.779,679.5429,0.0,4644.6987,0.0,0.0,0.0,0.0,1546.6378,0.0,3534.7163,0.0,0.0,1030.5616,0.0,110.495605
1.0,45.0,3043.8225,409.84506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.14203
1.0,50.0,3870.7805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.8112
1.0,55.0,4660.341,0.0,0.0,0.0,0.0,515.2837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.37117
1.0,60.0,3772.0684,0.0,0.0,0.0,0.0,178.5824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.33893
1.0,65.0,0.0,0.0,0.0,0.0,0.0,245.32654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.85068
1.0,70.0,0.0,0.0,0.0,0.0,0.0,202.31145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.93042
1.0,75.0,0.0,0.0,0.0,0.0,0.0,146.47932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.5986
1.0,80.0,0.0,0.0,0.0,0.0,0.0,122.95217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.18445
1.0,85.0,0.0,0.0,0.0,0.0,0.0,164.24097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.9982
1.0,90.0,0.0,0.0,0.0,0.0,0.0,120.4044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1057.4219
1.0,95.0,0.0,0.0,0.0,0.0,0.0,168.31755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1711.4619
1.0,100.0,0.0,0.0,0.0,0.0,0.0,149.46803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.50055
1.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,27959.84,0.0,0.0,0.0,173.84471,0.0,0.0,0.0,0.0,0.0,57627.145,96979.38,1687.3728,0.0
2.0,5.0,0.0,26.36318,172795.95,0.0,2748.6257,0.0,3869.0007,0.0,0.0,379.69186,0.0,0.0,18772.87,113372.68,11401.189,0.0
2.0,10.0,8.31302,213.74063,89207.73,0.0,6377.5093,0.0,828.12665,0.0,0.0,1109.4938,0.0,0.0,9957.205,45346.06,28595.766,0.0
2.0,15.0,42.460022,453.49442,15694.285,0.0,1643.747,0.0,2464.4873,0.0,0.0,6639.3867,0.0,0.0,60095.688,53923.73,18042.107,49.319862
2.0,20.0,109.345665,887.2174,9133.311,3219.6882,0.023795966,0.0,3901.9255,0.0,4024.439,49565.797,0.0,0.0,89113.74,34060.23,15403.39,153.71527
2.0,25.0,739.0808,2337.3933,14011.208,6.957872,0.0,0.0,5729.0454,6417.593,5766.998,72518.914,6273.8374,44291.74,105.571625,6070.802,7142.1724,126.04922
2.0,30.0,1227.9481,2579.6306,27243.701,7779.435,0.0,0.0,0.0,8370.511,5809.4995,18980.318,30130.916,7342.252,0.0,950.6882,3405.4895,115.47576
2.0,35.0,1603.5784,863.3787,184.0212,2807.1123,0.0,0.0,0.0,5430.5205,3775.4692,9594.643,3455.413,0.0,0.0,939.22015,208.56506,84.38598
2.0,40.0,2145.7224,534.3615,0.0,1044.438,0.0,0.0,0.0,10.402063,2018.5438,0.0,1275.0454,0.0,0.0,0.0,0.0,96.27593
2.0,45.0,2901.7544,386.09088,0.0,0.0,0.0,0.0,0.0,0.0,65.591324,0.0,0.0,0.0,0.0,0.0,0.0,147.90256
2.0,50.0,3716.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.56737
2.0,55.0,4609.3057,0.0,0.0,0.0,0.0,153.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.83878
2.0,60.0,4872.0503,0.0,0.0,0.0,0.0,667.89496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.91727
2.0,65.0,0.0,0.0,0.0,0.0,0.0,243.12773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.15863
2.0,70.0,0.0,0.0,0.0,0.0,0.0,188.77608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.67624
2.0,75.0,0.0,0.0,0.0,0.0,0.0,167.28831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.434
2.0,80.0,0.0,0.0,0.0,0.0,0.0,165.42923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.35297
2.0,85.0,0.0,0.0,0.0,0.0,0.0,112.60001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.4489
2.0,90.0,0.0,0.0,0.0,0.0,0.0,143.65048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.59
2.0,95.0,0.0,0.0,0.0,0.0,0.0,138.06755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1623.8243
2.0,100.0,0.0,0.0,0.0,0.0,0.0,123.61738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.37787
2.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,42191.918,0.0,0.007841753,0.0,107.25638,0.0,0.0,5.441099,0.0,0.0,97798.27,0.0,1869.2649,0.0
3.0,5.0,0.0,3.8550494,121418.73,0.0,3613.8135,0.0,2151.4644,0.0,0.0,876.57465,0.0,0.0,28309.447,312.4368,11760.036,0.0
3.0,10.0,9.156716,161.55779,71015.3,0.0,6004.0757,0.0,452.12698,0.0,0.0,4977.4805,0.0,0.0,7745.497,8935.259,22444.535,0.0
3.0,15.0,45.572685,548.3768,44703.605,0.0,1675.3729,0.0,1451.4658,0.0,0.0,4229.0913,0.0,0.0,21350.06,12538.35,16191.318,42.74798
3.0,20.0,83.7845,427.97635,20872.193,13480.636,19.281479,0.0,2653.827,0.0,4055.9412,11318.295,0.0,0.0,64510.605,14679.406,13585.139,167.47363
3.0,25.0,128.55638,753.5338,9531.864,990.9271,0.0,0.0,4548.1714,7789.435,5965.852,75041.63,177.27185,23717.727,1410.2665,8975.123,4455.384,337.8769
3.0,30.0,550.4142,2106.2375,26010.504,388.75488,0.0,0.0,5.987064E-4,9503.743,5634.2803,74247.336,8564.147,3193.8892,56.87058,570.30865,1983.2947,343.7136
3.0,35.0,1696.3162,2779.042,13021.885,2266.863,0.0,0.0,0.0,5661.139,6251.743,12550.665,9522.311,0.0,6.031433E-5,0.0,795.86365,309.3638
3.0,40.0,2057.2776,894.6569,0.029566677,223.1241,0.0,0.0,0.0,39.588783,3512.2305,0.0,518.71497,0.0,0.0,0.0,0.0,111.137955
3.0,45.0,2798.112,369.01703,0.0,0.0,0.0,0.0,0.0,12.785718,396.19083,0.0,0.0,0.0,0.0,0.0,0.0,181.48116
3.0,50.0,3858.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.32552
3.0,55.0,4407.1445,0.0,0.0,0.0,0.0,1246.6403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.5765
3.0,60.0,5727.8164,0.0,0.0,0.0,0.0,318.60712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.3677
3.0,65.0,282.04053,0.0,0.0,0.0,0.0,553.21716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.43744
