"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.012028199575286287,2.160210666901815,0.0503321857573825,0.0,0.5298759195531988,0.17189034869094413,4.1089305322352265,0.00272677722196115,0.002726576077032317,9.142024986247122E-8,0.1005245893226971,0.30041076348104895,0.0,0.0,0.0,0.0,0.0,0.0,3.3298295581600624E-8,0.0170750388402074,0.04120118641437967,0.0,0.0,0.0014817180090411705,
2.0,0.009734328265925346,3.4032342260084727,0.03526941241349482,0.0,0.4646751958803683,0.285231872383681,3.546704102908862,0.002696508629117748,0.0027265328005234117,6.308725541730453E-8,0.06621928149525508,0.30131636320145977,0.0,0.0,0.0,0.0,0.0,0.0,2.947389610663097E-8,0.012249667322764923,0.04068432688512469,0.0,0.0,0.0011244877895576248,
3.0,0.00958824284538089,2.528695828999741,0.036177458819090805,0.0,0.5614205008854745,0.21904134741109627,3.5331528104097885,0.0026980657105387736,0.002726584643306654,6.077468155382868E-8,0.06309649293858585,0.284199370238725,0.0,0.0,0.0,0.0,0.0,0.0,2.8204653414486112E-8,0.0115960464183014,0.0383999983922568,0.0,0.0,0.0011829621768662832,
4.0,0.009474266069405225,3.2796053160332805,0.05058039748985563,0.0,0.5030204519999365,0.2440930268421862,3.5272399425330856,0.002708660029550936,0.0027265701946079875,4.904865339705229E-8,0.04511008646047723,0.22695914110034715,0.0,0.0,0.0,0.0,0.0,0.0,2.2935602587656378E-8,0.007884369184407023,0.029274816013636133,0.0,0.0,0.0012231132182705545,
5.0,0.008924762473093649,2.5396055498310663,0.067434957341788,0.0,0.4846253617107461,0.2414842663760201,3.499693090616754,0.002716966223364131,0.0027265649426718424,5.557207845948286E-8,0.04499680258933618,0.18993092123723718,0.0,0.0,0.0,0.0,0.0,0.0,2.360856759859307E-8,0.008227933203447968,0.027692158490985514,0.0,0.0,0.0012106978689580801,
6.0,0.00862982861705269,3.059748978399518,0.08736806438486996,0.0,0.4842947319737501,0.27062147916001245,3.48806321958392,0.0027109475192055228,0.0027265741331333835,5.7024662446318946E-8,0.05075276782382605,0.18427955171140373,0.0,0.0,0.0,0.0,0.0,0.0,2.3698176415589223E-8,0.008960542574874646,0.026781394079949734,0.0,0.0,0.0010186859625587175,
7.0,0.0081420866695226,2.9559916417172794,0.08646919038885087,0.0,0.43593761054654967,0.24583341201986347,3.4683327607040755,0.002704377986341991,0.002726454055522487,4.17782990800383E-8,0.047949021821693416,0.16818893931768006,0.0,0.0,0.0,0.0,0.0,0.0,1.8933783964831377E-8,0.007461017720992669,0.02236970246719152,0.0,0.0,9.455757881471271E-4,
8.0,0.008841218233388706,3.2795628238649535,0.08774387415885353,0.0,0.48878657914952084,0.2575102100064612,3.504335937229552,0.002703011405726972,0.0027264777783921577,5.038133218306605E-8,0.03852108681774746,0.1400782651622942,0.0,0.0,0.0,0.0,0.0,0.0,1.695809626511878E-8,0.006698760912390974,0.02027069367242571,0.0,0.0,8.541492872760294E-4,
9.0,0.008461970027087614,2.784766887444307,0.08671495792833406,0.0,0.47188746113891367,0.24541052533754404,3.4830539870294595,0.002702470188463186,0.0027266085777738693,6.8218953056045E-8,0.04777607729372028,0.16588847273728413,0.0,0.0,0.0,0.0,0.0,0.0,2.1154260095541527E-8,0.008248905462681411,0.024660278764424032,0.0,0.0,8.07301865294077E-4,
10.0,0.009943688372451912,3.0058825006274965,0.11453357955234697,0.0,0.4328402583007208,0.22298202675611745,3.5613931164911,0.0027112240891342967,0.0027265311746860264,6.452752677956664E-8,0.057456608377309315,0.18491100529552132,0.0,0.0,0.0,0.0,0.0,0.0,1.9149058900528723E-8,0.008633516222104128,0.024954601866086244,0.0,0.0,7.035026828037869E-4,
