"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,8.328036165570962,8.32899179788031,0.05417227911163218,0.0,0.45372289195941823,0.0,0.9230828033297699,0.9647095347521032,0.9851247846879347,1.7222989129224892E-4,0.016929623735104028,0.3507166569471798,0.0,0.0,0.0,0.0,0.0,0.0,1.1911438042234463E-4,0.011720883499903884,0.24309226838735767,0.0,0.0,0.002705527204250897,
2.0,7.082342940176576,6.353882564237412,0.40881443697463415,0.0,0.5726610971322456,0.7663151202798418,0.7978873953209332,0.9702411777348642,0.9850577391255999,1.476938473234646E-4,0.009296124004919915,0.05591692587493159,0.0,0.0,0.0,0.0,0.0,0.0,1.0062464020655155E-4,0.006333548770079649,0.03809886082422319,0.0,0.0,1.0841190270809003E-4,
3.0,6.9444053958776735,9.400071452136416,0.3522388343034055,0.0,0.2993730255362461,0.4909453539927203,0.7922458738615691,0.957114686024028,0.9848419765773437,1.4484578360684646E-4,0.009383586316230038,0.09187980719078373,0.0,0.0,0.0,0.0,0.0,0.0,9.871792658555126E-5,0.0063953655063543,0.06262350960276132,0.0,0.0,2.545162536431235E-6,
4.0,7.166337251872504,7.349986165421557,0.14131550878248292,0.0,0.33217306323783635,0.30037364265134564,0.8014875652298894,0.9620676244073307,0.9850554315922884,1.190081800054109E-4,0.009135946260509363,0.10163473013968793,0.0,0.0,0.0,0.0,0.0,0.0,8.10702783291447E-5,0.00622362155121994,0.06923888322239549,0.0,0.0,1.5432535952925773E-6,
5.0,5.322954632995114,8.232138459285629,0.2348373605188353,0.0,0.42747872445429475,0.4160999376888102,0.7180574550271999,0.9720975534984467,0.9850798728745392,1.2361143103119672E-4,0.007331126890453844,0.09190275346688509,0.0,0.0,0.0,0.0,0.0,0.0,8.465517428968228E-5,0.005021017677669945,0.06296510622874334,0.0,0.0,3.0784405929387796E-7,
6.0,5.7200259771621225,7.306442982784536,0.2540646210149766,0.0,0.6180375629127348,0.5549013362186849,0.7397928246989175,0.9764646336749877,0.9850179926979187,1.1906299369764433E-4,0.006238654667997523,0.0684275488031024,0.0,0.0,0.0,0.0,0.0,0.0,8.164361663900087E-5,0.004278206452436378,0.046941652500972555,0.0,0.0,4.5975434469575133E-8,
7.0,5.111067591631148,7.150142614633226,0.29814798666380776,0.0,0.5492002495364738,0.570725851754033,0.709820812638336,0.9778678151238164,0.9850479092259938,9.57833577713469E-5,0.005054175824655632,0.047458936713410976,0.0,0.0,0.0,0.0,0.0,0.0,6.535361511984687E-5,0.003448580026591173,0.032385901234105736,0.0,0.0,8.688056415435084E-9,
8.0,5.769582538614081,8.581384732006553,0.5768107094226449,0.0,0.5821925268220836,0.48802680585016694,0.7377676563578991,0.9744846944669483,0.9852140335745464,8.224794069785341E-5,0.004551368125640994,0.045924622607441214,0.0,0.0,0.0,0.0,0.0,0.0,5.7210332214584295E-5,0.003166347905823177,0.03197746968728992,0.0,0.0,1.6028840330718917E-9,
9.0,5.457923425168688,7.703115627608602,0.4921782534877268,0.0,0.5289821731813136,0.546248330059251,0.7250657443055751,0.9720877611553846,0.9851517161446085,1.0164478267009058E-4,0.005247339064357298,0.05043564166313083,0.0,0.0,0.0,0.0,0.0,0.0,7.117352464926773E-5,0.00367495157544589,0.035361359034489975,0.0,0.0,0.0,
10.0,5.837245283449278,7.178055214507982,0.32611689803773786,0.0,0.5161789210179062,0.6180700204880586,0.7422899735161912,0.9629633834034356,0.9851194669368486,9.608248220148834E-5,0.0057262039507063375,0.05242546841136265,0.0,0.0,0.0,0.0,0.0,0.0,6.753425841833928E-5,0.00402569500755769,0.0368956675082334,0.0,0.0,0.0,
