"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,21199.521,7222.241,348193.34,210445.77,11839.793,8151.2866,32614.986,43010.035,75942.875,124135.72,205533.05,229007.0,477264.6,1083484.1,44301.72,7153.729,52021.703,29433.375,16463.96,17559.355,39341.47,45800.0,9402.784,457910.2,272108.8,91600.0,91600.0
2.0,22315.219,8561.414,711569.6,308115.97,14797.716,14241.826,21797.78,36299.59,66770.625,153567.16,366143.0,175131.47,515800.84,381417.12,77356.04,7425.433,53219.2,29225.908,15947.398,17261.234,37955.32,45800.0,9101.973,451288.25,268434.0,91600.0,91600.0
3.0,21965.334,8673.502,685639.1,200947.23,14951.423,21832.984,17983.467,31141.438,90156.4,172746.92,403810.44,94596.875,518134.22,55786.844,62074.387,7825.0947,51153.547,29987.79,16952.51,17112.916,39800.91,45800.0,9348.098,445036.25,266443.38,91600.0,91600.0
4.0,21360.135,8898.879,656232.06,233391.11,23585.771,31930.217,11575.359,27856.514,86475.42,168567.47,319110.38,50643.76,483396.38,18510.521,71346.83,8791.084,51432.473,32140.717,17324.836,18015.105,38319.867,45800.0,9613.781,454662.78,264137.53,91600.0,91600.0
5.0,20534.605,8712.481,607700.6,341379.84,33330.13,52282.03,6120.109,26517.518,95214.71,149636.27,272329.8,28553.64,358981.7,44396.766,68935.19,10343.555,50703.336,30185.596,16756.383,17351.287,37669.48,45800.0,9348.676,455215.8,265129.7,91600.0,91600.0
6.0,19323.33,8144.2812,554670.1,421366.7,32266.314,65704.914,3129.712,26090.256,93537.85,136801.78,280620.25,18827.453,336967.5,62883.133,68790.45,12389.311,52573.766,30323.074,16568.242,17282.217,38353.49,45800.0,9495.598,454667.56,268450.12,91600.0,91600.0
7.0,18087.398,7780.982,588232.2,431091.9,30360.453,81893.24,1911.6908,26421.115,90910.555,127546.914,255591.48,16164.787,357457.03,49551.625,68657.99,14936.056,52169.863,29312.557,16502.82,17234.322,39030.316,45800.0,9286.089,456457.7,269976.12,91600.0,91600.0
8.0,16793.541,7475.7793,603651.44,430273.0,35796.445,107230.984,1841.9529,25951.426,93982.19,109286.92,253702.23,15872.8125,402372.9,42045.832,64090.02,17885.326,51419.95,30727.854,16828.66,17369.818,38299.11,45800.0,9219.673,455400.34,266255.25,91600.0,91600.0
9.0,14818.856,7113.704,673113.75,425614.0,41427.844,112332.54,1820.8147,25649.115,105107.31,92890.45,291003.4,16535.129,398313.22,50239.234,62971.598,20930.828,51889.88,29711.979,16462.19,17279.656,38979.887,45800.0,9238.049,452816.9,268105.2,91600.0,91600.0
10.0,11637.835,6917.537,677572.56,453299.94,41171.105,129472.44,2041.9167,25655.996,93129.3,81498.43,310406.7,17238.502,378482.03,24541.71,59440.66,23918.729,52752.72,29172.594,16660.502,17051.24,39736.406,45800.0,9334.929,457000.66,271871.22,91600.0,91600.0
11.0,10295.513,6224.7847,605776.1,450381.62,53447.867,142415.78,1796.3668,25888.275,99624.62,76135.62,315201.78,20451.957,353941.4,29602.398,49779.98,26991.742,52079.703,29280.71,16665.877,17310.857,39778.074,45800.0,9294.303,454361.28,270163.6,91600.0,91600.0
12.0,11215.353,6062.9272,513743.88,402975.84,55194.516,143536.78,1900.154,26423.588,93440.49,78045.08,330971.75,22231.078,365195.62,37429.73,51303.81,30294.738,51685.387,30675.824,17197.627,17772.166,40011.047,45800.0,9365.874,456204.22,268616.9,91600.0,91600.0
13.0,11694.652,5850.7646,495483.88,351775.1,64340.645,143476.89,1844.8396,27738.377,98478.984,77764.664,341562.1,27001.502,391370.16,31953.871,56250.117,33654.625,51710.234,29768.357,16360.526,16670.22,37638.46,45800.0,9062.807,448950.47,265484.3,91600.0,91600.0
14.0,11529.625,5802.0547,544072.5,322486.62,65055.016,148356.48,1780.7638,28585.63,96618.53,76180.1,308509.22,29047.816,369260.44,45603.28,63789.984,36753.99,53368.76,27861.719,15673.088,16831.373,38757.17,45800.0,9097.815,442797.1,268780.0,91600.0,91600.0
15.0,10933.695,5630.2437,579061.25,342642.25,49807.57,155125.6,1130.1064,29751.922,90872.375,76350.74,315555.84,28262.193,381662.03,64556.04,57544.656,39650.383,51986.605,29772.27,16058.549,17258.861,38426.863,45800.0,9133.278,439618.8,265972.88,91600.0,91600.0
16.0,10338.273,5465.489,611946.8,368566.6,46044.652,140766.95,1053.5631,30721.197,104295.836,74674.15,338239.3,29684.39,369651.12,56278.938,54558.996,42367.695,52592.64,28315.865,15967.7295,16749.592,39013.723,45800.0,9227.259,446734.22,271329.88,91600.0,91600.0
