"Distribution of the biomass (tonne) of prey species (in columns) in the diet of horseMackerel by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,0.002603556,73.853264,128.50179,5.527463,1.4368091,38.82023,0.14283657,57.982918,7.425417,11.404056,21.097473,60.071144,158.58969,0.0,0.0,0.0,0.0,0.0,0.29250893,398.9524,842.51697,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.23365977,618.06537,359.0913,75.83908,83.58251,90.81665,0.5006518,67.17333,15.156932,520.3673,46.529366,782.7362,579.25684,0.0,0.0,0.0,0.0,0.0,0.0,1244.1356,1711.0559,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.058412828,158.06685,74.49747,19.227463,17.889519,22.950563,0.12608723,30.694468,2.7130196,134.4058,41.648064,172.69931,190.40703,0.0,0.0,0.0,0.0,0.0,0.0,355.68066,562.91095,0.0,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.095436834,87.64164,83.029305,31.84451,12.576478,21.490362,0.08836748,24.306252,6.5746446,76.55877,16.954205,176.24377,228.41396,0.0,0.0,0.0,0.0,0.0,0.0,304.7294,510.4637,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.0,4.3933984E-4,35.43855,28.885666,15.639974,4.7131467,9.387634,0.038027156,17.432999,8.439718,30.217402,23.25755,77.81888,97.46201,0.0,0.0,0.0,0.0,0.0,0.0,136.88153,279.5592,0.0,0.0,0.0,0.0,0.0
1.0,5.0,0.0,8.757412E-4,33.093967,20.729624,15.216256,4.349575,9.550676,0.040322445,18.336258,10.201776,24.367168,19.02104,51.930775,85.36328,0.0,0.0,0.0,0.0,0.0,0.0,111.79545,248.57423,0.0,0.0,0.0,0.0,0.0
1.0,6.0,0.0082695475,0.0015317281,32.76633,14.20327,12.111446,5.3843884,5.9145656,0.01761852,14.666018,18.474064,17.184288,19.949638,61.48751,91.82791,0.0,0.0,0.0,0.0,0.0,0.0,83.931915,193.33022,0.0,0.0,0.0,0.0,0.0
1.0,7.0,5.453833E-4,4.7565097E-4,20.98768,14.72315,10.959433,3.2204401,4.561244,0.020674428,11.3087435,15.317781,12.220761,15.136317,64.97676,73.89692,0.0,0.0,0.0,0.0,0.0,0.0,65.69111,164.99875,0.0,0.0,0.0,0.0,0.0
1.0,8.0,0.02994444,1.9352799E-4,19.67216,10.142394,9.684938,2.3442175,5.162485,0.009298694,9.240356,13.567085,9.934428,17.839314,66.46934,66.33116,0.0,0.0,0.0,0.0,0.0,0.0,56.48766,146.32602,0.0,0.0,0.0,0.0,0.0
1.0,9.0,0.0060397326,4.0965935E-4,16.367435,5.9584665,7.1164126,3.1157606,5.4261227,0.019218111,8.046656,15.997015,12.59462,24.30984,52.09248,63.6636,0.0,0.0,0.0,0.0,0.0,0.0,49.580467,141.18881,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.08852487,5.2075984E-4,18.348904,12.461361,8.636106,3.3495162,4.163952,0.0056809396,9.123089,12.906982,9.545761,20.231396,53.911495,47.91163,0.0,0.0,0.0,0.0,0.0,0.0,45.259563,123.32976,0.0,0.0,0.0,0.0,0.0
1.0,11.0,9.167141E-4,6.4031314E-4,17.387642,9.911605,9.257258,2.1490238,3.639277,0.008619601,11.179527,11.503076,8.85024,21.089245,34.19243,47.870525,0.0,0.0,0.0,0.0,0.0,0.0,40.13287,123.996574,0.0,0.0,0.0,0.0,0.0
1.0,12.0,0.008910868,8.3513645E-4,13.163356,6.9445596,7.524517,1.8124198,6.036147,0.03275878,8.409848,16.16861,7.490555,21.694353,44.30017,45.060055,0.0,0.0,0.0,0.0,0.0,0.0,31.672117,98.72053,0.0,0.0,0.0,0.0,0.0
1.0,13.0,0.0124952905,7.8463193E-4,13.977951,6.577881,8.410686,1.5897741,1.7197702,0.027341986,9.065828,5.394177,10.01587,20.98201,37.90184,37.696667,0.0,0.0,0.0,0.0,0.0,0.0,30.660112,92.29169,0.0,0.0,0.0,0.0,0.0
1.0,14.0,0.0035019557,2.9698995E-4,8.393116,4.4917707,7.5773187,1.8575882,3.7471702,0.017036235,7.2535734,6.267502,6.7359195,21.337116,30.971222,45.63592,0.0,0.0,0.0,0.0,0.0,0.0,22.87144,77.11921,0.0,0.0,0.0,0.0,0.0
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
