"Mean Trophic Level of fish species, weighted by fish biomass, and excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,4.35015,3.6647398,3.6877246,4.4518723,3.537565,4.667245,3.7820747,3.4371035,3.6465297,3.7733026,4.105184,3.5837805,3.448692,3.6219606,3.764577,4.5170617
2.0,4.4358964,3.5492964,3.6210082,4.55829,3.5680184,4.734657,3.7983963,3.4315343,3.654908,3.8482165,4.1206713,3.7437878,3.4019678,3.6598353,4.0572143,4.5657306
3.0,4.4220138,3.5667834,3.6235752,4.4925904,3.544727,4.7243695,3.784063,3.4641273,3.723205,3.8460555,4.1949205,3.7366354,3.3360784,3.8184834,4.067815,4.5214105
4.0,4.4275594,3.5632362,3.6741438,4.4730124,3.481389,4.75125,3.8317928,3.4619563,3.7623277,3.871572,4.2586164,3.696409,3.295118,3.9711738,3.982065,4.519463
5.0,4.4220653,3.581879,3.6894736,4.4786687,3.479598,4.7656612,3.8735902,3.4660177,3.7449965,3.8764791,4.285229,3.780452,3.2844727,3.8693044,3.917018,4.5137753
6.0,4.423361,3.5681067,3.7247517,4.460831,3.4343286,4.8058076,3.9516754,3.4802763,3.723556,3.8741894,4.153177,3.814314,3.2957606,3.99391,3.959166,4.525851
7.0,4.4293666,3.5982795,3.689633,4.485003,3.4964883,4.84559,3.9650679,3.5023546,3.7522194,3.8561223,4.1419783,3.712224,3.3007615,3.7585497,4.0302615,4.543989
8.0,4.4435015,3.5908513,3.7091658,4.4348454,3.5510368,4.8218727,3.9461365,3.5167766,3.7590227,3.826068,4.1604543,3.6858888,3.300343,3.9356575,3.9989245,4.5502806
9.0,4.43424,3.593931,3.7053082,4.4559107,3.4657624,4.804164,3.9240575,3.5401278,3.8038564,3.8556316,4.1742454,3.6523006,3.3027084,3.9301589,3.9510186,4.547504
10.0,4.416295,3.601218,3.7103539,4.4885907,3.5680323,4.849228,3.9267652,3.510385,3.8336372,3.8799133,4.178677,3.748218,3.2926211,4.033332,3.966559,4.5689073
11.0,4.4147315,3.6225436,3.688452,4.501927,3.541982,4.855215,3.9099653,3.5201595,3.828191,3.9076529,4.1762013,3.7115624,3.2994182,3.9398787,3.9100466,4.5640583
12.0,4.4292607,3.579844,3.727496,4.4753304,3.5123239,4.875781,3.8774693,3.5192714,3.8641853,3.9377406,4.1579666,3.7379663,3.302609,3.9334042,3.8779044,4.580431
13.0,4.4479127,3.5660157,3.689967,4.4842973,3.4785488,4.863103,3.8813293,3.5182004,3.8880706,3.916425,4.20204,3.6529255,3.3121665,3.9351652,3.9395115,4.5811834
14.0,4.438469,3.5818038,3.731953,4.488948,3.467894,4.86576,3.880595,3.493666,3.865378,3.93064,4.233883,3.68718,3.3052843,4.0704207,3.9312222,4.573437
15.0,4.46354,3.5850072,3.7742398,4.490755,3.5030127,4.900755,3.8965924,3.5127065,3.8583272,3.9312515,4.2365627,3.7888446,3.3023157,4.029896,3.9468045,4.5954385
16.0,4.449412,3.5871491,3.7652316,4.467211,3.508312,4.8470116,3.8692396,3.5269022,3.8788064,3.886414,4.2049375,3.831267,3.3072753,3.907467,3.9027452,4.590285
17.0,4.441391,3.5713196,3.7313707,4.5065756,3.5097122,4.875768,3.8797128,3.5149014,3.9156783,3.8766012,4.1597557,3.771106,3.3110878,3.9111161,3.9770994,4.586101
18.0,4.4313946,3.5671253,3.7422078,4.4786835,3.534667,4.8508153,3.9173172,3.5184162,3.8879979,3.843466,4.204073,3.7538896,3.300552,3.829787,3.9763494,4.5862837
19.0,4.4226885,3.597109,3.728172,4.5127273,3.498675,4.8020344,3.9413092,3.5241098,3.9275036,3.8907247,4.118556,3.7267559,3.3005984,3.9580061,3.9958708,4.57269
20.0,4.417818,3.598391,3.7290778,4.478585,3.4860992,4.851844,3.9333165,3.5320215,3.926424,3.9084888,4.170677,3.7623663,3.2938516,3.9106984,3.8523767,4.567469
