"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,3687.248,1021.5777,5866.4976,13836.533,0.0,274.00357,0.0,6973.878,2398.3723,7981.419,29537.389,64241.445,31287.469,20703.219,1795.7021,416.4695
2.0,3705.7085,1418.4854,10693.862,5421.722,0.0,280.1022,0.0,6969.9526,3307.2876,13213.841,46660.168,37644.348,27896.479,22091.232,6397.5327,374.71832
3.0,3446.1807,1368.7539,14239.685,5884.092,0.0,413.9811,0.0,7369.609,3614.4165,13408.692,20593.645,15728.2295,14956.342,11619.607,3146.5474,383.87665
4.0,2660.9875,1093.0287,13336.5625,6059.5586,0.0,338.31216,0.0,6004.988,3445.9795,14341.003,10046.136,14579.654,13589.323,584.6482,1795.7256,348.8543
5.0,2491.9858,1026.0975,16233.321,11106.223,0.0,544.2296,0.0,4534.9507,3297.0828,9629.231,4267.4106,5896.303,7182.688,663.6048,1849.1582,419.8777
6.0,2246.1355,949.5608,14176.627,11027.107,0.0,567.94507,0.0,3838.1812,3107.0144,7896.629,3015.7712,4588.8765,5585.9424,2276.4585,1929.2059,492.88232
7.0,1640.8655,752.13525,10501.893,8687.855,0.0,455.8645,0.0,3403.6948,2544.891,7186.693,4137.276,5433.1553,5543.3184,4412.535,1313.3462,455.57895
8.0,1431.0914,688.0987,11640.921,8526.119,0.0,685.1683,0.0,2937.024,2540.869,7398.93,4209.243,7150.91,6689.908,2809.8347,1162.3365,579.81244
9.0,1500.2112,820.31226,13320.363,7219.724,0.0,861.68536,0.0,3413.251,3136.9136,7727.3965,6356.275,8138.987,6640.2695,9088.507,1544.7656,852.80597
10.0,1137.1863,783.7073,15343.348,6740.376,0.0,767.1982,0.0,3657.4832,3143.5847,7341.692,8083.4263,8201.889,6351.165,2818.8213,1766.4451,974.27686
11.0,848.21423,642.1858,11192.851,5806.2134,0.0,565.55035,0.0,3177.918,2673.185,4708.6646,5683.3325,5710.176,4281.206,2458.5415,1428.871,840.9172
12.0,693.0415,463.2979,7223.2915,4739.903,0.0,382.53128,0.0,2791.1785,2154.6375,4370.66,6141.665,7150.978,4938.795,4460.3286,1122.3372,658.6633
13.0,704.919,439.9754,7138.865,5760.0835,0.0,339.73575,0.0,2869.1099,2118.6118,3411.3127,5792.6445,6564.2285,3527.0496,2532.9382,943.86084,718.73346
14.0,799.40936,478.8323,8734.014,6045.246,0.0,341.54095,0.0,2720.5815,2151.4287,3492.2246,8289.713,7356.675,3910.1455,2927.7092,1277.8096,914.4629
15.0,664.5619,401.6068,7745.2437,4212.597,0.0,252.39865,0.0,2237.873,1776.991,2460.5513,6499.865,5626.5625,3263.58,2860.8381,723.43756,777.4502
16.0,700.14996,406.87393,9580.009,5497.7363,0.0,248.64104,0.0,2323.1992,2018.4224,3563.1313,8428.014,11057.784,5707.067,3897.7998,1085.6606,959.34595
17.0,612.4206,351.15103,6707.304,5380.677,0.0,249.27806,0.0,2236.2703,1928.2002,2163.862,6403.986,5876.6836,2806.873,3359.539,889.87933,902.6029
18.0,582.6924,346.86862,7640.0464,5498.0977,0.0,329.58023,0.0,2173.299,2000.3921,3471.3179,8520.614,11126.868,4873.251,1615.5548,891.69794,1051.7277
19.0,556.31775,347.85614,9081.432,4165.2314,0.0,364.90436,0.0,2394.8806,2157.3425,3279.5918,6879.216,9161.745,4573.137,1592.383,1100.4781,1270.8346
20.0,521.1986,347.63882,10357.408,4424.119,0.0,315.40353,0.0,2405.4243,2034.5133,4075.6157,6722.678,9954.319,5214.082,3528.4116,1039.0806,1311.7762
