"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,15.627859,5.9190164,13.062336,3.3416255,3.5582798,2.2909746,3.4153483,4.1175876,1.8974335,3.7541823,2.658859,7.262825,1.0513809,2.0424244,4.870907,17.269444
1.0,1.0,23.403896,24.92228,24.316786,24.602905,13.104978,22.459347,18.273344,25.039326,7.1169033,19.834696,26.478725,13.920855,16.620848,3.8915603,25.49574,27.43048
1.0,2.0,30.636095,25.997738,29.337107,32.678585,16.164799,36.505474,21.987617,28.690975,21.080595,20.771193,27.329277,20.50333,21.013138,NaN,NaN,39.099148
1.0,3.0,37.011868,30.728277,32.398663,36.286507,18.134706,48.140007,24.370897,31.255428,25.234129,23.980766,30.60101,23.848846,22.989216,NaN,NaN,48.273727
1.0,4.0,42.624805,34.526573,NaN,38.14342,19.489538,57.835213,25.835993,33.072166,28.684385,26.327114,33.251415,26.101408,23.88736,NaN,NaN,56.07311
1.0,5.0,47.638565,37.69557,NaN,39.134014,NaN,65.89392,26.743034,34.34707,31.548944,28.49902,35.20346,27.611652,24.276964,NaN,NaN,62.91485
1.0,6.0,52.033035,40.30989,NaN,39.6526,NaN,72.5148,NaN,35.210205,33.994247,30.289688,36.642532,28.68811,24.452944,NaN,NaN,68.825294
1.0,7.0,55.941914,42.462784,NaN,39.92614,NaN,78.0115,NaN,35.827232,36.068996,31.788416,37.796154,29.389282,24.533985,NaN,NaN,73.94149
1.0,8.0,59.451424,44.274796,NaN,40.073196,NaN,82.50204,NaN,36.244476,37.843933,33.03536,38.705208,29.903728,24.570095,NaN,NaN,78.39869
1.0,9.0,62.581596,45.757652,NaN,40.151344,NaN,86.222466,NaN,36.53474,39.338493,34.048405,39.410835,30.227715,24.58646,NaN,NaN,82.26314
1.0,10.0,NaN,47.00535,NaN,40.19296,NaN,89.299164,NaN,36.750202,40.620094,34.893112,39.955597,30.473778,24.593872,NaN,NaN,85.64628
1.0,11.0,NaN,NaN,NaN,40.21497,NaN,91.8232,NaN,36.89876,41.726,35.611626,40.398563,NaN,24.597235,NaN,NaN,88.56944
