"Distribution of fish biomass (tonne) by Trophic level. Class i designates interval [i,i+1[."
"Time","TL","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.9000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.3000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.8000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,16.390495,8346.179,324.9167,0.0,649.6119,0.0,19064.059,16721.703,2965.7424,0.0,0.0,0.0,4014.5596,0.0,14254.4795,0.0
1.0,3.1000001,50.81049,3961.8037,1717.4049,0.0,5213.8394,0.0,22754.66,4688.9077,3709.0144,0.0,0.0,0.0,21242.27,0.0,5455.75,0.0
1.0,3.2,65.78139,352.36887,4772.8423,0.0,2401.8987,0.0,3212.7798,285.6129,2464.82,0.0,0.0,0.0,62494.02,0.0,917.5038,2.2299085
1.0,3.3,345.0376,185.81218,4795.569,0.0,208.53099,0.0,1105.039,132.88922,2031.9042,62702.344,5118.6816,77082.805,91267.43,230995.75,14808.32,24.684526
1.0,3.4,356.16016,98.05434,1233.0116,0.0,74.96472,0.0,301.17,62.840256,601.2384,4001.7637,487.75793,2294.0808,5695.3403,4957.7427,2691.5205,8.019537
1.0,3.5,227.30238,45.175613,670.30585,0.0,50.49829,0.0,100.32265,31.138319,57.049686,3351.168,506.179,582.2024,2268.807,2792.438,1344.643,10.132332
1.0,3.6000001,305.90906,27.795828,573.31464,0.0,46.852413,0.0,41.49186,32.792755,77.59579,3395.4158,352.31415,450.5134,1765.7871,1811.7592,1264.0356,16.151299
1.0,3.7,548.44464,15.209301,551.81366,93.11321,63.007256,0.0,31.98235,87.302864,80.666824,2683.6924,488.97403,1149.533,4683.778,2054.5374,1457.4918,24.460548
1.0,3.8,1416.332,31.890728,811.94794,978.6616,109.076485,0.0,60.139095,70.22614,101.32817,3008.2712,549.39075,2780.698,4320.0957,4310.5405,986.14935,405.6228
1.0,3.9,3978.2908,39.50134,1314.4423,5208.966,244.66086,0.0,53.28307,128.56123,309.38086,7186.461,1756.872,5819.428,16194.099,12968.829,7018.9214,729.0466
1.0,4.0,3278.5723,124.451935,2887.0054,5638.0337,448.86105,68.437645,94.67611,259.56033,1507.0361,9205.107,2272.0354,6230.864,21786.799,25405.387,9247.031,633.4578
1.0,4.1000004,4589.6265,286.98276,4046.7312,10098.605,367.79028,31.712816,168.4631,619.43915,2315.3577,11729.564,4164.3228,7164.253,21139.664,29335.443,1723.7313,1075.019
1.0,4.2,3928.6267,137.39478,4218.6973,13062.451,545.54004,177.34738,112.375465,376.68005,1337.915,21826.064,5528.5024,16053.674,3274.3594,27543.584,627.80225,1530.2194
1.0,4.3,1263.2662,35.761337,510.38202,7330.9907,39.115005,345.5104,8.220965,77.38684,215.42047,4581.6084,1932.9114,936.3777,1127.7454,11661.826,231.35835,1221.8356
1.0,4.4,562.7944,1.0922698,324.1456,3522.0288,12.654571,409.7185,0.0,0.0,6.1240935,1630.0575,641.6382,82.13008,98.01441,5324.021,52.48244,693.27563
1.0,4.5,355.19177,2.332323,234.54666,2296.378,7.4603777,352.78088,0.0,2.7923253,0.42357516,897.8764,517.2895,164.65758,174.00705,5109.927,60.65672,428.63376
1.0,4.6000004,374.04663,0.35120216,220.61996,1674.6501,7.3216047,233.8764,0.0,0.0,11.821224,945.2957,690.9935,132.30148,0.0,5185.803,141.8178,283.799
1.0,4.7,323.44333,0.0,178.73318,1275.0234,4.7189445,199.67636,0.0,0.0,0.0,859.6862,596.49,42.178963,0.0,4005.4727,46.78665,167.06598
1.0,4.8,252.0347,0.0,197.9846,1012.2721,6.921787,122.98669,0.0,0.0,4.0093217,1297.6415,451.4164,212.85013,135.29414,2620.3003,48.45695,117.23712
1.0,4.9,170.09618,0.0,244.98387,837.4828,13.073784,65.33152,0.0,0.0,0.0,1488.9833,594.41675,397.80347,0.0,4346.1934,82.76393,79.60282
1.0,5.0,201.69992,0.0,127.136375,446.5162,5.977429,39.771923,0.0,0.0,2.159684E-5,1303.0964,721.06964,400.71008,0.0,3161.2495,20.579954,40.17095
1.0,5.1,92.694046,0.0,47.45964,169.49374,2.229868,14.584912,0.0,0.0,0.0,605.12317,591.94824,140.40291,0.0,1457.4906,0.0,15.589699
1.0,5.2000003,15.270691,0.0,33.57959,12.914485,0.28643197,1.1423519,0.0,0.0,0.0,425.1548,295.5232,361.18927,0.0,1434.2025,1.5865431,3.665099
1.0,5.3,16.852201,0.0,7.484499,43.521893,0.0,4.5245934,0.0,0.0,0.0,14.45828,23.051006,0.0,0.0,0.0,0.0,2.2212963
1.0,5.4,10.839472,0.0,0.0,38.04373,0.0,1.5564357,0.0,0.0,0.0,52.528175,21.082943,0.0,0.0,303.33978,0.0,3.1949785
1.0,5.5,4.8094234,0.0,0.0,6.9483232,0.0,0.0,0.0,0.0,0.0,58.063435,4.546176,0.0,0.0,2.4524552E-5,1.8700403,1.0164334
1.0,5.6,0.0,0.0,0.0,19.682394,0.0,1.1481112,0.0,0.0,0.0,5.739832,1.5077066,0.0,0.0,0.0,0.0,0.28639123
1.0,5.7000003,0.0,0.0,0.0,0.0,0.0,0.4465413,0.0,0.0,0.0,22.329617,41.0787,0.0,0.0,192.87733,0.0,0.0
1.0,5.8,0.0,0.0,0.0,9.921845,0.0,3.374124,0.0,0.0,0.0,5.8364997,1.3013348E-5,0.0,0.0,0.0,0.0,2.1525881
1.0,5.9,0.0,0.0,0.0,17.559893,0.0,0.0,0.0,0.0,0.0,8.108418,5.792331,0.0,0.0,0.0,0.0,0.16440974
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.995382,10.024172,0.0,0.0,3.3056596E-5,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
