"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.3701356707702537,0.8022398967896446,0.06432182026837546,0.0,0.17579708645010134,0.13215554610304575,0.21499040418718915,0.7961615049193451,0.798697172950733,1.2245756503009676E-5,0.0027276012474041103,0.06721998494240079,0.1825,0.7300000000000004,0.7579377715771191,0.0,0.0,0.0,5.235412060723635E-7,1.1661277491508711E-4,0.0028738471143257903,0.0,0.0,0.6779660702895817,
2.0,0.9937255613252796,1.7179080600831083,0.4076583229430885,0.0,0.5948551382205202,0.1401728817252094,0.2601995543247318,0.7963768606409319,0.7961283927941193,1.0581777504051199E-5,8.484151062415921E-4,0.033647964341542234,0.09125000000000003,0.7300000000000001,0.7594258660361322,0.0,0.0,0.0,4.524013322899888E-7,3.6272178681861605E-5,0.0014385469635070196,0.0,0.0,0.5938363515459298,
3.0,1.137799816628399,1.7952774463418542,0.4796131944938657,0.0,0.60038799429768,0.2902175001085658,0.272452514780469,0.7965988430741394,0.7959506361607273,9.406320357122853E-6,8.356760044469195E-4,0.01145609389536559,0.09125000000000008,0.7300000000000001,0.7652079537311652,0.0,0.0,0.0,4.021471685526976E-7,3.572754554986831E-5,4.897808651824706E-4,0.0,0.0,0.6876135578719118,
4.0,1.1784833893808244,2.054597047113506,0.6654169720214442,0.0,0.5230201441172418,0.264990906710278,0.2768983326989877,0.7958991317369065,0.7975747219001219,7.400827105419533E-6,7.302257549274883E-4,0.010384855300060716,0.09125000000000008,0.7300000000000002,0.7620369169778574,0.0,0.0,0.0,3.16406581149323E-7,3.121924499689992E-5,4.4398234338111526E-4,0.0,0.0,0.6746107675397218,
5.0,1.181604696778258,2.150906038558583,0.649851061945478,0.0,0.47198404892853246,0.2424433720969653,0.27572492161266543,0.7962350517527687,0.7973458855642852,7.351505785125041E-6,8.120328234585908E-4,0.010884685663571415,0.09125000000000001,0.7300000000000001,0.7632283039824032,0.0,0.0,0.0,3.1429795327437614E-7,3.4716731764131614E-5,4.6535152471994585E-4,0.0,0.0,0.6825886020022764,
6.0,1.0612077598480691,2.1441294744844113,0.5715386171946604,0.0,0.4397101104985268,0.19231747598570634,0.2656341391048707,0.7966152499675824,0.7967202184701656,7.392896552818232E-6,7.312979671531753E-4,0.011836515570124903,0.09125000000000005,0.7300000000000003,0.7642780402323686,0.0,0.0,0.0,3.160675272841998E-7,3.126508514419206E-5,5.060449826643597E-4,0.0,0.0,0.691382419116539,
7.0,1.2242712641149156,2.009381594851519,0.6408080585354381,0.0,0.411816427825207,0.19102756254929126,0.28025829006157,0.7963445168491516,0.7968781253041693,5.692899637802398E-6,5.874050203748449E-4,0.00945464888094899,0.09125000000000004,0.7300000000000001,0.7683571490725851,0.0,0.0,0.0,2.433877843064633E-7,2.5113249046265535E-5,4.042133515317087E-4,0.0,0.0,0.7597504146617726,
8.0,1.2457033169830924,2.1428260389890483,0.6306998442914782,0.0,0.4082207215942412,0.20977969980991112,0.2811784933348032,0.7959736865235126,0.7969632770761551,5.253536341269E-6,5.275159669407264E-4,0.007784453736139505,0.09124999999999998,0.7300000000000002,0.7704075658005242,0.0,0.0,0.0,2.246037434744828E-7,2.2552820275880894E-5,3.328077196889674E-4,0.0,0.0,0.7906878824316783,
9.0,0.9916236179749323,1.9841913619934688,0.5566440524800396,0.0,0.38008802250983115,0.16096258685490702,0.26005105335277395,0.7968060307680686,0.7969626021882181,6.786151936165573E-6,6.923538931194224E-4,0.010359640939670256,0.09125000000000007,0.7300000000000004,0.7792773269674881,0.0,0.0,0.0,2.9012745503940413E-7,2.960011430437573E-5,4.4290435717046994E-4,0.0,0.0,0.9401733449291744,
10.0,0.900193974420932,2.0847317300593584,0.676269393239223,0.0,0.44135304654847596,0.17979984713668182,0.2527729650388069,0.7967191377975119,0.7970011791199396,6.870005873240322E-6,6.382878406969445E-4,0.011049192460997798,0.09125000000000001,0.7300000000000002,0.7684719580445023,0.0,0.0,0.0,2.937124513064163E-7,2.7288635525103995E-5,4.7238466204474434E-4,0.0,0.0,0.7621277936122455,
