"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,7.002921002658656,5.194527599306758,0.18642343384608603,0.0,0.37304593366575517,0.09494038762557706,0.7160401919814131,0.031332666794069985,0.03153915835567825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05759127201560833,
2.0,8.101037785743442,5.582790279991124,1.780558769086242,0.0,0.5643856160986059,0.4646435405226308,0.7218897288397296,0.03130082072889964,0.0314645688464376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010473679731417069,
3.0,7.131990169535732,5.603193454536716,1.9818201311473413,0.0,0.5362770139635471,0.40109545755689413,0.6881350664979321,0.03130336835875683,0.03144411446060161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006554471109775875,
4.0,5.979670206063512,6.212050095890013,1.9591603707204077,0.0,0.5391541124528481,0.5097661872907755,0.6518436932178875,0.031387843267465146,0.03150012222126049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008970917502385089,
5.0,5.216844066726395,7.473390994757782,1.5823207777961636,0.0,0.47641097039696306,0.3977486450293736,0.6290508326745976,0.03128000603637569,0.03146449415862725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019883125933276118,
6.0,4.554017430148972,7.058728312793235,2.261601501818181,0.0,0.4847835734253746,0.4546180957474474,0.6098242678706184,0.03132189622146377,0.03151329598652461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04224224397976142,
7.0,4.427942583543074,7.821313832137533,1.9031494469012429,0.0,0.3474057412021774,0.3299908200982544,0.6059868631634052,0.03129531409461603,0.03152861563420126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0467250952334749,
8.0,4.916577092855115,7.956010763857464,2.0549937760339665,0.0,0.36944010604094546,0.36280113619436233,0.6203594560117268,0.03133908232399369,0.03153271322711289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025331935188714672,
9.0,6.040096689944315,7.857413454024689,1.621506173859656,0.0,0.332130613428669,0.32087745733114276,0.6547975212468112,0.03121761372250724,0.03154314717842546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026859222452990873,
10.0,4.237667240608309,8.560228189398034,1.5076096946072766,0.0,0.3877014957860558,0.30027586568241854,0.6005034893628535,0.031109269645977947,0.03153112917712915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019843687369431356,
11.0,5.175545452637331,8.421149087047407,1.6141855412254622,0.0,0.36774668882988815,0.30076435391779416,0.6270176494476977,0.031290430827653,0.03154646225404685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02320400369602573,
12.0,4.90491335278243,7.638258842440906,1.4981509850893133,0.0,0.3730728328139906,0.29928686740876853,0.6198175446664681,0.0311904186863069,0.031547408814056585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030508183628534837,
13.0,4.698696432178265,8.674627689012553,2.1614538239925785,0.0,0.3849312238955761,0.3066740967427772,0.6132857945107703,0.031346945347779674,0.03153765346165586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03727020639093552,
14.0,4.624314049451222,8.260247430092784,2.1437814666615056,0.0,0.3830311385777915,0.3442978179175325,0.6116102441362746,0.031205421465360327,0.03153574183722294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03573804817991742,
15.0,4.693296372146193,9.855402056877718,1.3893623281586585,0.0,0.33770542450363883,0.37614096045923356,0.6137630456905495,0.03118764347413424,0.03152841253393067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022290497251000723,
16.0,4.937912519256342,8.094294657663848,1.764662175412127,0.0,0.39141812481195676,0.3112397061628248,0.6213021044416942,0.031256205448626076,0.03155325782461742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02592653882279857,
17.0,4.406906441589024,8.626055399479393,1.8151266268741026,0.0,0.4082981151425839,0.29828598269345186,0.6058392396070204,0.03130215400743234,0.03151797242315188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02957163311814278,
18.0,4.8360814664239005,8.544839536712292,1.2947501679649178,0.0,0.36321320166761406,0.24919870640739528,0.6177777405434757,0.031210418762317872,0.031508273568407415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014893877982870032,
19.0,5.103657679383438,8.452916969399883,1.4067565129569866,0.0,0.34841926516376454,0.3278553083100135,0.6261858553868724,0.031213425720569156,0.03151126281595129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013054713258443783,
20.0,5.171072862956472,8.343173014908048,1.3865264547260263,0.0,0.37752052618866716,0.30586601178346295,0.6274312320899933,0.031388686132873905,0.03152367459242962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0221879802601262,
