"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.8498013937155757,3.605469467195982,0.1250867955602522,0.0,0.5993612364484067,0.5756126488912715,2.3388601302943917,0.005077991804433303,0.00513048954467694,3.596670112054164E-5,0.038006193911285464,0.26029820872819487,0.0,0.27499999999999974,0.27500000008472314,0.0,0.0,0.0,1.1039390800135767E-7,1.806685763861308E-4,0.0016716538960610241,0.0,0.0,0.003968555774099522,
2.0,0.6681398384953826,6.593793832329618,0.06454864254191352,0.0,0.4444660494547408,0.9376988388083703,1.9632337988091901,0.004727363111761527,0.005130356973424792,6.037456071573358E-5,0.08699987366079237,0.22421079886456902,0.0,0.2749999999999997,0.2749999999999996,0.0,0.0,0.0,7.365525306677404E-9,1.8932654100430928E-5,5.4427445850607985E-5,0.0,0.0,6.959882825409655E-4,
3.0,0.5772650513917097,6.028935193961139,0.06580874476157578,0.0,0.32218910965606806,0.6572193010015482,1.8438222751590876,0.004870998770874469,0.005129806164872734,6.418597680031995E-5,0.10572799383066746,0.28716421088354177,0.0,0.2749999999999997,0.27499999999999974,0.0,0.0,0.0,1.2387670712817987E-8,3.912577663931374E-5,1.1840797878803613E-4,0.0,0.0,8.569814194293211E-4,
4.0,0.5794174808931783,6.580412961398095,0.08317550586180887,0.0,0.2751957487100034,0.43480696173882194,1.8487553403480668,0.004889968193190049,0.005130857496885231,9.503220981026124E-5,0.14039669554177414,0.5561621645611562,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,6.245331989064394E-9,1.7473674628216653E-5,8.205532349468908E-5,0.0,0.0,7.656766399755381E-4,
5.0,0.5694792927015786,8.791210001191715,0.05870334322429333,0.0,0.15439080721865495,0.3582655348772144,1.8466478521570675,0.00494958760996759,0.00513000018101269,6.901194009068011E-5,0.10095615616842173,0.44770639936219336,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,4.853124505566687E-8,1.3823785712873486E-4,7.140740025528314E-4,0.0,0.0,6.714494206299008E-4,
6.0,0.4262806489514284,9.507280287769747,0.07863398955632592,0.0,0.15486602748317407,0.23782897394573288,1.684886893504106,0.005058067619830126,0.005130072882868196,6.747343281112567E-5,0.08191974733642887,0.4313546905882834,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,6.51060765943774E-8,1.528809499940133E-4,9.559314244045872E-4,0.0,0.0,7.648244194745263E-4,
7.0,0.35229413102512097,8.366327286351547,0.09195255273740827,0.0,0.1641556056721511,0.2529569481468657,1.6127885284122485,0.005014778137085537,0.005130905796364278,7.589314482043237E-5,0.08144748177264986,0.41822251239119257,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,1.8968618562866423E-8,3.9446061712990595E-5,2.4273423089721152E-4,0.0,0.0,6.487807705053883E-4,
8.0,0.414714977940243,7.71698004910151,0.12686473387359837,0.0,0.19973163848232764,0.2582982205606019,1.673349360279352,0.0050029344221018636,0.0051309042870558525,6.413970311987048E-5,0.08893669355157406,0.3605442344864138,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,1.442803595743068E-7,3.88825554628586E-4,0.0017894956015489724,0.0,0.0,3.360774547166357E-4,
9.0,0.4658877430596015,6.337112558804158,0.08190174096953767,0.0,0.18747229014760153,0.3027839884185945,1.7185620518277718,0.004968049605931926,0.005129492787026773,6.0267160625236145E-5,0.0796587830730937,0.4197802963935737,0.0,0.2749999999999997,0.27499999999999963,0.0,0.0,0.0,2.106030249450187E-7,5.14851923716504E-4,0.003213400406032491,0.0,0.0,2.703620734690232E-4,
10.0,0.3690537417925896,8.414602403039417,0.18683144606579377,0.0,0.18624078909136896,0.31813262965514655,1.633108933859907,0.004941913465179083,0.0051299902944488395,6.64496144106737E-5,0.08008043231471329,0.3893771618785241,0.0,0.2749999999999997,0.27499999999999963,0.0,0.0,0.0,2.578855526098976E-7,5.748464966190873E-4,0.0032517741401046647,0.0,0.0,2.812942640681566E-4,
11.0,0.4286336584262535,6.652091255921878,0.08946409123411923,0.0,0.18925022193320754,0.2546573301368162,1.6833346034700305,0.005002346620495038,0.005132194870423375,4.370446196822278E-5,0.05138672945770396,0.27200830272685167,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,9.767239868602052E-8,2.1158947628879894E-4,0.0013534389709006804,0.0,0.0,0.003612440408263029,
12.0,0.4077811984242086,7.772929568925112,0.1610338611577703,0.0,0.1826480535234038,0.287825155089032,1.6678924828137953,0.0049805138971064184,0.005131071460606589,5.736347550044195E-5,0.07749970398542105,0.30552380570845594,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,7.2885575445238645E-9,1.9283762269662587E-5,8.842429632266532E-5,0.0,0.0,1.1443216915984988E-4,
13.0,0.47846796474823977,4.914053023567559,0.09547788698976666,0.0,0.2158159465419524,0.3315813714135147,1.7306268605335375,0.0049716207818612974,0.00513034839879308,3.806428920116169E-5,0.05701965754999252,0.25059911597177026,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,1.1903236586218797E-8,3.4588571578896316E-5,1.803146102703768E-4,0.0,0.0,6.383187512063581E-5,
14.0,0.4828336445894565,5.036059368832171,0.15043265026802072,0.0,0.24757704461770316,0.31546346132322284,1.738865629547889,0.005008330593655621,0.00513032232305365,3.854495098695349E-5,0.061661481276471794,0.22848904113327836,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,6.229517233656182E-8,1.9128614233249332E-4,8.169980197225108E-4,0.0,0.0,6.932863595836663E-5,
15.0,0.45244405186902287,6.269630736073724,0.1546890934495578,0.0,0.22101806986815709,0.3619283967169464,1.7085701046081005,0.005020244915366486,0.0051309193986848346,3.477788445834805E-5,0.05121755443861861,0.20311771971061748,0.0,0.27499999999999963,0.2749999999999997,0.0,0.0,0.0,1.8883597999595135E-8,5.421168317853035E-5,2.5101470051258753E-4,0.0,0.0,1.6522181798212903E-5,
16.0,0.43776963935154356,8.546869246462036,0.10800678926090912,0.0,0.20329775627409594,0.37226018256240323,1.693464949225486,0.004940609114559698,0.0051301760221307115,6.358385414075041E-5,0.06740463531233593,0.37580566561221707,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,6.985943150216898E-8,1.3602272270216286E-4,9.344435949506155E-4,0.0,0.0,2.4782663062805807E-5,
17.0,0.41281651954040594,9.065256908590078,0.12072232090833955,0.0,0.1923934903129971,0.29126548669582825,1.6690182117905887,0.0049819863322123886,0.005130536520437114,3.447712335221896E-5,0.04058122885003412,0.21158009055880464,0.0,0.2749999999999997,0.27499999999999963,0.0,0.0,0.0,2.646296721464144E-8,5.968003627863205E-5,3.717671158987925E-4,0.0,0.0,4.029297433550741E-5,
18.0,0.4369855874807951,5.473219338802533,0.1689092172900366,0.0,0.27766737327543,0.30583163768357946,1.694216018508252,0.0050110970075885365,0.005130642622831883,5.946248026102687E-5,0.07816753150290773,0.3659536718869561,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,7.098672927503952E-8,1.7620502267623738E-4,9.916550500842414E-4,0.0,0.0,1.0290242349292714E-4,
19.0,0.5251940461890312,7.94013665200666,0.14467516082813253,0.0,0.25613955060619653,0.39224766883109513,1.782732202926126,0.004925518227033985,0.005130280078675823,4.142367639953836E-5,0.061896486150246094,0.262593506141458,0.0,0.2749999999999997,0.27499999999999974,0.0,0.0,0.0,1.2205571398057728E-7,3.343600000409068E-4,0.0016649171596482878,0.0,0.0,2.9168651706379095E-5,
