"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,3.081369007190657E-5,0.2839739368843441,0.029131871412870592,0.0,0.1176781337819836,0.0,1.6397746051852753,0.013386787910081506,0.013390890544540197,1.5259133188429543E-4,0.035643653401310926,0.11325279786678843,0.0,0.0,0.0,0.0,0.0,0.0,5.6237445706356775E-5,0.011306433036442107,0.034761220989827646,0.0,0.0,0.038685441094813124,
2.0,0.0027680424413527504,1.0547856123166006,0.01395598353778904,0.0,0.09735156323703505,0.001225528395765571,1.4917047592559876,0.013428063692691795,0.013391604463693994,1.4041036419172871E-4,0.02110561684528771,0.11198557639347397,0.0,0.0,0.0,0.0,0.0,0.0,5.399871670620783E-5,0.007313478149181162,0.035662493443575444,0.0,0.0,0.04119175738881092,
3.0,1.936752915602223E-4,1.2001019663812187,0.008833985598550424,0.0,0.09657847916033671,5.808009307980137E-4,1.4907637643509661,0.013394713622766941,0.013395233425568476,1.3588522008963456E-4,0.022728163337888952,0.09647394862730649,0.0,0.0,0.0,0.0,0.0,0.0,5.215834663970026E-5,0.007731712371448587,0.034122398981483,0.0,0.0,0.054405548109344726,
4.0,8.21048680462167E-4,0.7877532319988115,0.010917596915874565,0.0,0.12939220959801273,1.273956349727029E-4,1.4909795701742725,0.013419464044146118,0.013400036367548976,1.1097903091641747E-4,0.019435454577932585,0.07475523240847474,0.0,0.0,0.0,0.0,0.0,0.0,4.219954161144683E-5,0.006408816574738447,0.02719228704198448,0.0,0.0,0.07155924139589337,
5.0,0.0034194367652596786,0.9907649141250903,0.014504804572057316,0.0,0.09459355814626458,3.937198463750037E-5,1.4919301930671038,0.013406048333650044,0.013403144569963865,1.0882705173533361E-4,0.016706517141599972,0.07551694091374911,0.0,0.0,0.0,0.0,0.0,0.0,4.110108140852737E-5,0.005658731003657554,0.02662265555281381,0.0,0.0,0.08249541681873898,
6.0,3.364433769588243E-4,1.114248219961253,0.019776873907069437,0.0,0.10238788622957778,4.9100555855121E-4,1.4908003885026746,0.013403656169770675,0.013405224817692525,1.0604115030041099E-4,0.016688775369975466,0.07569484854820187,0.0,0.0,0.0,0.0,0.0,0.0,3.977194457060408E-5,0.005587159490572545,0.02575271107338236,0.0,0.0,0.08966817107471727,
7.0,3.2026879284082876E-4,1.0388010104134646,0.023024220764977104,0.0,0.12381330185845241,2.6226027066481017E-4,1.4907835617860894,0.013388349314426458,0.01340801205431707,8.423370758890623E-5,0.013410729161169562,0.06253049953072555,0.0,0.0,0.0,0.0,0.0,0.0,3.167644834071416E-5,0.004388789449668172,0.020375359218528864,0.0,0.0,0.09961187933632573,
8.0,0.012472857132506183,1.321491878457414,0.049378086619585385,0.0,0.10938942711469923,2.3411517130053503E-4,1.4952438985312038,0.013411241174195282,0.013410208605898892,8.049411453961231E-5,0.010429183240059803,0.059263945180849036,0.0,0.0,0.0,0.0,0.0,0.0,2.905072939685501E-5,0.0034776574552009775,0.01887256909885561,0.0,0.0,0.10385378590964328,
9.0,0.006830259430512985,1.1546827836018327,0.030086776357889974,0.0,0.1108039666191743,0.0012638029646107566,1.4931674186174915,0.013403465627373993,0.013416438194775879,9.814942599154241E-5,0.014248534810160574,0.07269460837390401,0.0,0.0,0.0,0.0,0.0,0.0,3.491927842934609E-5,0.004674508649769476,0.02295793604303504,0.0,0.0,0.12864503310527944,
10.0,0.020245418777322326,1.1020524710736443,0.04653765040435441,0.0,0.138854601652779,3.0379979674411957E-4,1.498124624683648,0.013390699351119782,0.013430776420738899,9.724312843571656E-5,0.015492094208147726,0.07565003071798004,0.0,0.0,0.0,0.0,0.0,0.0,3.400402378346178E-5,0.0048979466955404345,0.02277007205164473,0.0,0.0,0.18189888197126702,
11.0,0.016290185471706766,1.3962532549454618,0.03245563913817153,0.0,0.12566636144643192,6.158439586926978E-5,1.4966312196609237,0.013392116085209089,0.013389939409644891,8.02038380769809E-5,0.012857950735587383,0.06325742478641212,0.0,0.0,0.0,0.0,0.0,0.0,2.921680455368499E-5,0.0041504733475027705,0.01946347478212196,0.0,0.0,0.03550804637593797,
12.0,0.01336298865377989,1.2013906204241285,0.02959204340139948,0.0,0.0896621093023163,1.65338939726136E-4,1.495544699141888,0.013395155962825415,0.013390676427409652,6.056235039234204E-5,0.009601299090050317,0.04544780628130412,0.0,0.0,0.0,0.0,0.0,0.0,2.265941973068312E-5,0.00310633525343545,0.014864326085385415,0.0,0.0,0.03901984146776977,
13.0,0.0055858706038293205,1.3498369171758522,0.029618058154749178,0.0,0.09236166890850368,8.802658197114071E-5,1.4926910719494517,0.013385241544451839,0.013403821013739893,5.930248696918267E-5,0.009929419472117458,0.04204311084721611,0.0,0.0,0.0,0.0,0.0,0.0,2.2070261560687528E-5,0.003161738820010466,0.014365513608308416,0.0,0.0,0.08437727407775399,
14.0,0.0049102563171418605,1.0371896183584388,0.04270113577692921,0.0,0.12398252112782888,1.9359275308051312E-4,1.492451602139414,0.013391021576787216,0.013403707008865572,6.446049802102659E-5,0.010276322372776224,0.04519371578293535,0.0,0.0,0.0,0.0,0.0,0.0,2.3753546554245958E-5,0.0033751153808912137,0.015473839476318495,0.0,0.0,0.08579207079150342,
15.0,6.883390527432475E-4,1.3196718116644215,0.05095155305799013,0.0,0.12213632220434137,8.567920419595762E-5,1.4909018054281937,0.01341231034231639,0.013409993601807314,5.294585795559785E-5,0.00783360375370774,0.038039919000860435,0.0,0.0,0.0,0.0,0.0,0.0,1.9971516610503968E-5,0.0026404098284970225,0.012917460160432449,0.0,0.0,0.10465262238284578,
16.0,0.0017753082573571904,1.5120243666143274,0.04651839684983525,0.0,0.1671940859130905,6.767464303918972E-5,1.4912995755966774,0.013432825625790333,0.013418592482763125,5.78691934611426E-5,0.008607655107938815,0.041878487237709615,0.0,0.0,0.0,0.0,0.0,0.0,2.1311947052444503E-5,0.00286732584271626,0.0139940241426771,0.0,0.0,0.13779993630206058,
17.0,0.002701527639263134,1.102554512660179,0.06789812713825565,0.0,0.12230465691037123,1.2427784193770936E-5,1.4916387398719848,0.013375864745878974,0.013418288737588959,5.3514314883149506E-5,0.0077295888870288045,0.03795233241496678,0.0,0.0,0.0,0.0,0.0,0.0,2.0220292631049515E-5,0.002645650466351867,0.012964554451899625,0.0,0.0,0.13707528676867156,
18.0,0.004947559296164643,1.6410648649923172,0.06596821089440191,0.0,0.10114934876888007,1.337124526884906E-4,1.4924565421258007,0.01341201137837016,0.013421620529949527,5.579458246619812E-5,0.008195914687408158,0.040084040127392855,0.0,0.0,0.0,0.0,0.0,0.0,2.0727065720373083E-5,0.0028188505268809116,0.013578308138090113,0.0,0.0,0.1485744893465253,
19.0,0.0015073468764374269,1.2000930142250554,0.04249304461271898,0.0,0.10681153292449702,1.807907903227967E-4,1.4912033123721578,0.013384653374910628,0.013420147780343658,6.022049379926769E-5,0.009247142938665664,0.04329050597458837,0.0,0.0,0.0,0.0,0.0,0.0,2.148418095222404E-5,0.003064655304426025,0.014215935089909005,0.0,0.0,0.14472176806255743,
20.0,0.004248435148808483,1.6165638054636047,0.04633523542553772,0.0,0.14994148165067225,4.242383809230594E-5,1.4922057736408565,0.013405298995762083,0.013401201390982718,5.9135193783761257E-5,0.008698481821050087,0.04324819831360462,0.0,0.0,0.0,0.0,0.0,0.0,2.114315688547648E-5,0.0028857467893966004,0.014148411275338075,0.0,0.0,0.07598238889741814,
