"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,17.55514202795555,3.5497093698083697,0.05961649271377806,0.0,0.6130872728245722,0.15288375077412641,0.0830146416594795,0.006105628073172754,0.006120092917193868,6.379551075088561E-4,0.18351797698111086,0.6469613503430026,0.0,0.0,0.0,0.0,0.0,0.0,3.2976001062321716E-5,0.010181220643528208,0.03596617848061724,0.0,0.0,0.001926537298851092,
2.0,6.136510910881248,4.595329116087613,0.9746637406384344,0.0,1.1514047278316057,0.6690405826811778,0.040210687774474965,0.006106019365392086,0.006119778871060008,7.275800926951281E-4,0.017359938957982712,0.3486558513078255,0.0,0.0,0.0,0.0,0.0,0.0,3.633799378603518E-5,8.857375256731209E-4,0.018670640866090205,0.0,0.0,1.3792856677969558E-4,
3.0,5.197496335844916,5.204318921361943,1.760989667738353,0.0,1.0501834795594742,0.9700814779596579,0.0380844561456233,0.006108235488819914,0.006119510673390316,6.406830490247242E-4,0.01478063735405462,0.07901654296586173,0.0,0.0,0.0,0.0,0.0,0.0,3.2434895705025796E-5,7.652249862548996E-4,0.004208168974433791,0.0,0.0,6.204644536334169E-6,
4.0,4.9208803167798605,6.03846734794256,1.4623421456340846,0.0,0.9104281754088197,0.9219477682047963,0.037490644205172945,0.006102519742915548,0.006121367405208079,8.496275676445025E-4,0.019484068412308004,0.1166638954703689,0.0,0.0,0.0,0.0,0.0,0.0,4.083122300685656E-5,9.534450478938866E-4,0.005855819266576388,0.0,0.0,3.7704924580091764E-6,
5.0,5.815490015297848,6.43608884606835,1.7454049031122436,0.0,0.7628990453817807,0.7527201920029838,0.039566407435274134,0.006094311777660274,0.006122204725672033,6.237873529587597E-4,0.017375262676891545,0.127433396906703,0.0,0.0,0.0,0.0,0.0,0.0,3.0755894631746566E-5,8.775504954675208E-4,0.0066395576488338165,0.0,0.0,3.1862887050499143E-6,
6.0,5.342711760657593,7.21803746930962,1.2115159976790915,0.0,0.5126286344328029,0.5208155641530599,0.038440081485614445,0.006089086666230821,0.006124353014752143,5.732514121495714E-4,0.016355948519693013,0.17030321604829096,0.0,0.0,0.0,0.0,0.0,0.0,2.8580167415259536E-5,8.374520694447039E-4,0.009039960378515035,0.0,0.0,3.474872660319589E-6,
7.0,4.708837687460722,8.458712376537513,1.0834040562514269,0.0,0.48555061356584844,0.5665974449065481,0.03697004362972379,0.006070975900479116,0.0061218262768420505,5.416398303194038E-4,0.018160992439002963,0.18777036941330652,0.0,0.0,0.0,0.0,0.0,0.0,2.6502813766476037E-5,9.138523189628433E-4,0.009770262166802705,0.0,0.0,3.2962274409673518E-6,
8.0,5.082857683994083,7.036552336609164,0.5156163850411587,0.0,0.5243506649923236,0.6617428196922165,0.037807394779105746,0.0060693442424751085,0.00612113257832088,4.952165791413894E-4,0.018661816097843915,0.17735498817473055,0.0,0.0,0.0,0.0,0.0,0.0,2.414738355208016E-5,9.375098088897253E-4,0.009162360147806485,0.0,0.0,1.5988456471708645E-6,
9.0,5.78469840471662,5.556305604733028,0.6687537907385989,0.0,0.5504888472493941,0.6665098947315254,0.03938314028631289,0.00610004076098975,0.006121672051211143,4.999604163535217E-4,0.018831778540809294,0.1707224612899576,0.0,0.0,0.0,0.0,0.0,0.0,2.4703388507379473E-5,9.583055712735675E-4,0.008945186843014931,0.0,0.0,8.328444440445051E-7,
10.0,5.0849240873475425,6.399846391405482,0.8183325491605079,0.0,0.6609912152274192,0.7234388742322932,0.0378239152621252,0.006081838254204119,0.00612131630281715,5.114026101640597E-4,0.01664011612868817,0.1534792191878294,0.0,0.0,0.0,0.0,0.0,0.0,2.5204842180920574E-5,8.419363235014594E-4,0.008003363413662508,0.0,0.0,3.61063083077416E-7,
11.0,4.946554611293604,7.658878611843117,0.9660289177690944,0.0,0.5876959019970726,0.6931810353496641,0.03751953182941993,0.006105062704230371,0.006122281415556582,3.7716788648912893E-4,0.010477506070768168,0.11372322853093975,0.0,0.0,0.0,0.0,0.0,0.0,1.8993565637422537E-5,5.421028930544242E-4,0.006099174697312395,0.0,0.0,3.4117778809882594E-7,
12.0,4.7977815411293285,6.630196108256597,0.92906180593213,0.0,0.6040268803337544,0.5108755081906793,0.03724484155166192,0.006106132488020328,0.0061232844641006395,4.433679801904323E-4,0.012738253229726524,0.1370545134602766,0.0,0.0,0.0,0.0,0.0,0.0,2.141732621290007E-5,6.301805686944773E-4,0.007009179253038417,0.0,0.0,3.390237454787964E-7,
13.0,5.37797220702485,6.7719638985939055,1.2111982919224167,0.0,0.711478417524614,0.6311895884798906,0.03845489703157432,0.006099410064214788,0.0061216688470788864,3.370292366552507E-4,0.008543894896825449,0.10713836537517005,0.0,0.0,0.0,0.0,0.0,0.0,1.662816857067363E-5,4.3162077637527783E-4,0.005628595582554782,0.0,0.0,2.6910891851082614E-7,
14.0,6.28851190669528,6.526756837032464,1.0207213977644265,0.0,0.521729407119612,0.820696733395794,0.040532441308558424,0.006103344114462672,0.006122399781655519,3.318761646910886E-4,0.009299550428835858,0.10632613492946169,0.0,0.0,0.0,0.0,0.0,0.0,1.6485920845378816E-5,4.739051564306496E-4,0.005618146095883597,0.0,0.0,2.465928526452773E-7,
15.0,4.720088633972424,6.488632699907711,1.3678727113172795,0.0,0.6832331392698767,0.5535285251061801,0.03709540023352765,0.006101830769825996,0.006123195133177891,2.986274291388007E-4,0.0072001124267401925,0.08938928909207358,0.0,0.0,0.0,0.0,0.0,0.0,1.4818628313135535E-5,3.662418034281381E-4,0.004726113445606241,0.0,0.0,3.698751718051869E-7,
16.0,4.989592489015157,6.717596734215802,1.3688160265309257,0.0,0.6132992074989936,0.5186771801741503,0.03762017078528437,0.006107162090120447,0.006123229994338557,4.742130076536469E-4,0.010918221432632507,0.14104968458059963,0.0,0.0,0.0,0.0,0.0,0.0,2.2572475470737503E-5,5.287132480237171E-4,0.007065334838086158,0.0,0.0,9.079121259699664E-7,
17.0,5.054740264611795,6.867200321855937,1.1140508011918353,0.0,0.6656394698358277,0.6284695701898684,0.03782341197128029,0.0061049888033937495,0.0061229635384345525,2.961531805483913E-4,0.007971958204533105,0.08322572452831146,0.0,0.0,0.0,0.0,0.0,0.0,1.4750926170084557E-5,4.084323420247595E-4,0.004413119468185422,0.0,0.0,2.839331849783085E-6,
18.0,5.364920535441605,6.396403116943336,1.3937459314894918,0.0,0.7405166352659456,0.6212444061627689,0.03863452912639425,0.006125486157550309,0.0061231079458436925,4.418489084514062E-4,0.009501944987808781,0.11837019591409019,0.0,0.0,0.0,0.0,0.0,0.0,2.1091100995214306E-5,4.6077902750222584E-4,0.00594206376055095,0.0,0.0,4.198329020709908E-5,
19.0,4.859552826292022,6.912070416050684,1.6171626882439258,0.0,0.6688726525025778,0.6034913521114006,0.037367433723812314,0.00611006009311773,0.006123292884199925,3.744882521432889E-4,0.007184635933360425,0.08266899712009458,0.0,0.0,0.0,0.0,0.0,0.0,1.814360831189979E-5,3.5331393770318887E-4,0.004214842761564057,0.0,0.0,1.8387843002426734E-5,
20.0,4.34185232742478,5.97739904692181,1.7434085166823152,0.0,0.7733371476833087,0.6411854278518069,0.03623706310752982,0.006116321634421531,0.006118287450236406,4.6971872535426595E-4,0.009510229420050215,0.0983850259095295,0.0,0.0,0.0,0.0,0.0,0.0,2.2350208906084876E-5,4.5919636837196703E-4,0.004908057618139696,0.0,0.0,2.8061614710899832E-5,
