"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,7.8727620052452565,2.812136726210382,0.22773207039387683,0.0,1.163572743316797,0.11938130490950477,0.17601466131037802,0.0024462488304374174,0.0024501573093154163,2.6324667624658418E-5,4.7349056593450506E-4,0.0531048080171713,0.0,0.0,0.0,0.0,0.0,0.0,3.966651667652021E-5,7.047142793684601E-4,0.05769897835335322,0.0,0.0,6.358543649592057E-4,
2.0,5.8727144548105485,6.465414905597022,2.234056139677423,0.0,0.6993862993568012,0.6736862682833277,0.15477323802197432,0.002414282732980538,0.0024492358248026347,2.6158407724576086E-5,6.453979545185168E-4,0.002365775915506475,0.0,0.0,0.0,0.0,0.0,0.0,4.121978882417626E-5,0.0010034065034646255,0.0029340346182294493,0.0,0.0,1.3981513298683733E-5,
3.0,4.9575825771071464,5.8130713478129605,2.054455741194473,0.0,0.69905901063149,0.4936380216101062,0.1458440527920005,0.0024451189029356837,0.0024466758801444696,2.650733336886852E-5,5.157007181133495E-4,0.005823647462684705,0.0,0.0,0.0,0.0,0.0,0.0,4.172253871017757E-5,8.042495393915192E-4,0.006750233961711313,0.0,0.0,4.577512925091795E-5,
4.0,5.380593581259839,6.114639571443377,3.6080852321861907,0.0,0.7552848888739847,0.41317623408085746,0.14969789249267149,0.0024545720538579024,0.002446112479972916,2.0989460625207876E-5,4.308322467925384E-4,0.007863130072090212,0.0,0.0,0.0,0.0,0.0,0.0,3.307215046713132E-5,6.697903471985187E-4,0.008389935617251527,0.0,0.0,1.1347129625322345E-4,
5.0,4.599146577474064,7.21272415736688,3.4647155121746196,0.0,0.7750040907343618,0.4102224961610916,0.14301036445736,0.002450827070868161,0.0024464569417858083,2.219866047672093E-5,4.2631099671339146E-4,0.010537385400999117,0.0,0.0,0.0,0.0,0.0,0.0,3.44123101991174E-5,6.536413873731997E-4,0.012004153537169536,0.0,0.0,2.3250646228048055E-4,
6.0,4.684543467075482,7.524985546005687,3.4757824409689477,0.0,0.7040224447427755,0.3149721843216282,0.14343321442791265,0.0024559644381420666,0.002442501722097181,2.1440612168505372E-5,4.1373865486314817E-4,0.011248735784085483,0.0,0.0,0.0,0.0,0.0,0.0,3.3105879160450334E-5,6.311557653727585E-4,0.013189444773661156,0.0,0.0,2.825999770463978E-4,
7.0,4.9103591759815295,7.136703354656473,3.300079391899544,0.0,0.7358949722225755,0.2952364333465013,0.1451778144630706,0.002451950931584574,0.00244527718566425,1.6067786428897793E-5,3.0919419893191504E-4,0.011214094482676807,0.0,0.0,0.0,0.0,0.0,0.0,2.5181198462945678E-5,4.7814519477032993E-4,0.012756312214969819,0.0,0.0,2.885072569419768E-4,
8.0,4.408810322799398,7.357142186119437,3.2440441289252786,0.0,0.7432482488207913,0.252371666362674,0.1408744172036783,0.00245337781492878,0.0024445642257089825,1.710451544875583E-5,3.090188058009929E-4,0.011668057932167807,0.0,0.0,0.0,0.0,0.0,0.0,2.5372086775753287E-5,4.546629651732225E-4,0.013589166673275484,0.0,0.0,5.398803485234914E-4,
9.0,3.85582369254619,6.503756241108077,3.9237301499089434,0.0,0.8001019284932115,0.349271565210578,0.13582000088626575,0.0024509263055377574,0.0024360982779657514,2.137764921553233E-5,3.639362961089214E-4,0.007262204464519642,0.0,0.0,0.0,0.0,0.0,0.0,3.118202346561698E-5,5.272684151694653E-4,0.008596726425558466,0.0,0.0,4.352642764340605E-4,
10.0,4.046766366060781,5.710910054303622,3.890999658628613,0.0,0.9096882122990052,0.3634076949246081,0.13764574172397379,0.002453552703368266,0.0024438629592233633,2.1656623596640462E-5,3.7746161618951467E-4,0.009977951056352007,0.0,0.0,0.0,0.0,0.0,0.0,3.1291771083897067E-5,5.416781859053258E-4,0.011234619035209214,0.0,0.0,7.538465092315675E-4,
11.0,4.932019767336699,5.984874898880167,3.8920796003176705,0.0,0.7945819600546964,0.3011412446838566,0.1459412911940626,0.0024500460464489094,0.002449073878747647,1.678587090375281E-5,2.926973980971179E-4,0.006323278630619083,0.0,0.0,0.0,0.0,0.0,0.0,2.5335187162176776E-5,4.3730181833014867E-4,0.007106189333196178,0.0,0.0,0.0011672002667917577,
12.0,4.469185191020793,6.709385847965728,4.613652097782326,0.0,0.8132061570811296,0.36126800380957547,0.14150285752247077,0.002453148206492293,0.0024559136955099622,1.1666784947922587E-5,2.0296883761571446E-4,0.005879104861303155,0.0,0.0,0.0,0.0,0.0,0.0,1.8333636536722236E-5,3.151188834736117E-4,0.006317547001331543,0.0,0.0,0.0031073796844228135,
13.0,4.684331688219759,7.081230679838395,3.9033437303923897,0.0,0.7867004598256393,0.3206820062073755,0.1434213459477839,0.0024530655212101652,0.0024448470962475104,1.1301820143610423E-5,2.1284109786694837E-4,0.006182192980408701,0.0,0.0,0.0,0.0,0.0,0.0,1.7686867724970012E-5,3.281932251545976E-4,0.006455331843556447,0.0,0.0,0.007178112282235122,
14.0,4.989338846930216,7.46454857692046,3.9192744305696285,0.0,0.7689856020808765,0.2636674462541448,0.1460506847620223,0.0024526864687097597,0.002448814136968586,1.2934181179431438E-5,2.4689081915975217E-4,0.010880845385356445,0.0,0.0,0.0,0.0,0.0,0.0,1.9658839756436613E-5,3.7070331137885136E-4,0.011885254079695838,0.0,0.0,0.02198732213222719,
15.0,5.104550620458284,6.135952386903128,2.547864579197872,0.0,0.7301853821545075,0.3771227246413893,0.14729715745296054,0.002442702135492523,0.00244638648088156,1.051090821235397E-5,2.0536568527432434E-4,0.005563626233039572,0.0,0.0,0.0,0.0,0.0,0.0,1.637543533818437E-5,3.1636281636468727E-4,0.0060945068135419625,0.0,0.0,0.015767851311337577,
