"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,4.978157657634409,7.047677239994584,1.3767647426275254,0.0,0.017364262081178014,0.0011635033762518252,0.28628467830435883,0.017575011725570945,0.01772648496749573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16059745526739536,
2.0,4.117768067094923,9.341398742163493,0.5909527327659367,0.0,0.04992567948830077,0.043977093401578175,0.24955961516709513,0.017343703058550423,0.017721653487305894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048391630926872375,
3.0,3.643936399983281,6.7542830916605,0.3159639204431861,0.0,0.12124079171797494,0.08679743375400668,0.24040619045803643,0.01760040263578969,0.017704311889227567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010459461831711845,
4.0,3.0067319752890787,6.3270010582105645,0.6977711535202126,0.0,0.1789390043846554,0.17095349250005495,0.22950304749859016,0.017608038708902533,0.017702268325988695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002991221125992515,
5.0,2.86920745487828,6.131507435019942,0.9981876779056182,0.0,0.23969967721218638,0.20883145930980868,0.2271417441222919,0.01764368904348069,0.017698967040296068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.883663709800392E-4,
6.0,2.26791831976101,6.905653876011334,1.2277309139153783,0.0,0.25256790219562797,0.21243785460408487,0.2177796260839544,0.017636650969935067,0.017714890980387654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03608590155345633,
7.0,2.3603099311040685,6.506049553470155,1.1536304282606253,0.0,0.2665205028205887,0.23552664864835252,0.21897759816346907,0.017639611012715075,0.017704243585426757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005054846717172778,
8.0,2.6114793320652705,7.597063311708926,1.2850049787484963,0.0,0.22889448030934478,0.16984951694667602,0.22312963365502056,0.017657409265078108,0.017707524125792178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02143429041530872,
9.0,2.4189357260071125,6.182979068124549,1.0879223642728018,0.0,0.20803878220851274,0.20195102612107835,0.21999214050332902,0.01760704800120671,0.01771010445034038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012355064189672813,
10.0,2.662710827916968,6.641985196046872,1.027836126148162,0.0,0.22534151537253128,0.24495609246377717,0.2238704932373968,0.0176174073525643,0.01770848908352438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01971878769670327,
11.0,2.718307641527338,6.130345282429443,0.8842349060516688,0.0,0.24365641427193813,0.2123554307259759,0.22484068838916235,0.017607543038019636,0.017706107425934356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011256930543841403,
12.0,2.403428570055037,6.759826311979563,1.1494396743397015,0.0,0.2920189369893294,0.19888679244035842,0.2196077415168186,0.01763607781550987,0.017711896343098363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012945143850143052,
13.0,2.6360798616872625,6.112146415803209,1.2575045364324402,0.0,0.29046054205846505,0.20158962934056257,0.22349468645681794,0.01760134007174089,0.017712632435055015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01393980011658779,
