"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.07009047605906739,0.4652663812268146,0.030319833220687264,0.0,2.180653601393137,0.2450830498443315,1.8595002469317705,0.00426102167380709,0.004302539507116817,1.8742134643718115E-5,0.0014955030672275163,0.1544530539104061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4702382936959269,
2.0,0.22177178809208986,2.330079580772517,1.2003937137897447,0.0,0.4254160722920351,1.519574225609668,1.9228828665569802,0.004258976296054847,0.004485935232319627,1.8044049036177847E-5,0.011783164592820397,0.008301117935779617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8585015887982368,
3.0,0.20190879483391638,3.396860001909808,0.5567171807563981,0.0,0.16972788870282343,0.5301128359498493,1.9144692365339777,0.004258322351241634,0.004428957451907387,1.754579208229225E-5,0.02202209884679685,0.08083659407014906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7324820994415395,
4.0,0.2575920472986426,4.32312663670599,0.09468765216395374,0.0,0.04018813048389775,0.4228595223222558,1.9384970983831176,0.00426124422171763,0.004408220055466667,1.4062416986430635E-5,0.0198104631913799,0.09497194986575813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4736554113254772,
5.0,0.25295318501139175,2.8157656217724685,0.05729496323914651,0.0,0.11945211104683101,0.06506857925557395,1.9367505817308777,0.004269334674423973,0.004446168123302472,1.3812358275598021E-5,0.015197005682781956,0.11586316727725698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8849602297740766,
6.0,0.19537093045400925,3.65277468762514,0.20789289574759512,0.0,0.06534369735253519,0.30772627958679244,1.9114799089508006,0.004264420604139385,0.004348707245823234,1.2931954311714103E-5,0.019111961502655903,0.08753011322953536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9148163994655053,
7.0,0.2489426672172154,3.3739834031743765,0.036728473348435736,0.0,0.0802495682385204,0.2669098546512587,1.9354534913254098,0.004267957317389104,0.0043519863467010355,1.0619760310178797E-5,0.014195162389252553,0.08265772351146353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9809994756776487,
8.0,0.1985761596797942,3.228902039394586,0.10616863625580808,0.0,0.05843163483360867,0.192370855447735,1.7602031359541292,0.004276389682262028,0.004365970193931499,9.292230766409486E-6,0.012581846483734789,0.07640838095850276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1329241383542235,
9.0,0.24798896452945188,3.121266334540808,0.17826245790243045,0.0,0.16079778470006356,0.19228377218127976,1.9346797846216315,0.004267687640298186,0.004314962499711654,1.2261840747183104E-5,0.011977366911284402,0.09127495344021679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5950528440295229,
10.0,0.20128938664356147,2.625535652434707,0.2874163981664087,0.0,0.2643023274107485,0.2725690891949275,1.7617984707297507,0.004269147543946784,0.004335811967563238,1.1095243978437305E-5,0.011010280592008526,0.07614638166405735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8091470544927659,
11.0,0.20540098704048323,3.1821035725950115,0.32870436209478815,0.0,0.08258773500015491,0.3668362550864165,1.915914270875737,0.004261958871272129,0.004340577089125952,1.0075024776174745E-5,0.012848233665899666,0.0523456139831499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499759277419042,
12.0,0.21101184715677165,3.683383093986262,0.09988224832866148,0.0,0.04922459789317755,0.2869927796816261,1.7661673170675145,0.004253247316234113,0.004367654446226302,6.917099210689255E-6,0.012246271285375462,0.05451889041646596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1474371177911007,
13.0,0.260992781097626,2.6868716144442084,0.07372335007679628,0.0,0.1625962385369819,0.2028901957868366,1.9401885778812937,0.004263174975746262,0.004392543620525492,7.30078106669505E-6,0.007644579625943923,0.05810214828533876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3936114598011027,
14.0,0.23019514432870122,3.7300254321355713,0.354150482141067,0.0,0.02163489893404567,0.3085093610526955,1.7742028675142354,0.004249048942618869,0.0043648614057639566,7.402052936279871E-6,0.01398162303358456,0.04709173629145857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07262357753843,
15.0,0.2730304925008242,3.057381959883293,0.0784120830591305,0.0,0.02794838020146758,0.16373494681385264,1.9454912337591448,0.00425511690653127,0.00440608691781016,6.675570013241157E-6,0.008765180583951263,0.054978151129539875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.538825327262327,
16.0,0.18989341137019775,3.1603740190189087,0.15964771948712206,0.0,0.07363770775002207,0.16781107092385705,1.757197481688463,0.004263632582147534,0.004319388139356241,6.710201880595196E-6,0.010999333882245438,0.053193890848329164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6441940418824841,
17.0,0.23852148148745458,2.966717992261725,0.1708141844271638,0.0,0.0748304599687299,0.16725820911580355,1.9300929998940084,0.00426307412998924,0.004339773383270684,6.795505801750997E-6,0.010132016114871785,0.05337051100582146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8635606231952991,
18.0,0.23371896808263273,2.5926817264027395,0.13972161482264808,0.0,0.19763022345724088,0.26646397608032674,1.7764186081451234,0.00426435116921278,0.004342369800303723,6.51459164071395E-6,0.007191974100532593,0.05471656923366426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875316310663062,
19.0,0.22136381146589834,3.0989367175731806,0.308113005427343,0.0,0.1454823217332808,0.36943138488085486,1.9226106916195025,0.004262153335473183,0.004356390526859685,7.620590211358595E-6,0.00735670745567188,0.047075768570224656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0038526629875675,
20.0,0.18544982098635343,2.720232958671017,0.4001750231436237,0.0,0.1765911736753338,0.35528678338460606,1.7550405253124453,0.00426283474922953,0.004322096742010162,6.896625957645583E-6,0.008697232481449104,0.04361114404550174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6598234532677187,
