"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.0068329244802558245,0.04178237191491469,0.006974269478679614,0.0,0.0,0.0,0.7682780106698206,0.03650039423325038,0.03651343515810744,3.167258634194545E-4,0.015315249402869666,0.032312570183295405,0.0,0.0,0.0,0.0,0.0,0.0,1.0640026135039121E-4,0.005139980355435962,0.01083358198202171,0.0,0.0,0.017614771603223462,
2.0,0.0875157806432848,0.20729412997968172,0.009642970223979688,0.0,4.661552225380275E-4,0.0,0.7746725255446734,0.036496894850100145,0.036507731295366254,2.7879971480125295E-4,0.013339589927035295,0.02695023589781554,0.0,0.0,0.0,0.0,0.0,0.0,9.530838656571653E-5,0.004559786643559305,0.009211399085412329,0.0,0.0,0.009993698143457307,
3.0,0.02478879156154127,0.04584421263783256,0.012786441505885648,0.0,3.1286548712451494E-4,0.0,0.7696993881717762,0.036500826890759876,0.036504821344474164,2.717065259041045E-4,0.012559556236184455,0.026180106678265876,0.0,0.0,0.0,0.0,0.0,0.0,9.284135391213688E-5,0.004291088493766795,0.008943555034772227,0.0,0.0,0.006148396089038427,
4.0,0.014647632333694205,0.03593073373337829,0.010189747720529132,0.0,1.1285057635271003E-4,2.047608209379531E-4,0.7688858993109005,0.03650064005821898,0.03650358961526646,2.184924096267224E-4,0.01030477421847045,0.021224918321999294,0.0,0.0,0.0,0.0,0.0,0.0,7.470539548355458E-5,0.003523082063339442,0.007255970209646,0.0,0.0,0.004584199549980649,
5.0,0.009254186896629346,0.04746187322976494,0.008218462554998501,0.0,7.393557221647032E-4,1.2329435650350388E-4,0.7684588600686144,0.03650109295903022,0.03650285727914991,2.2487208103284776E-4,0.01066212610114054,0.0222244291018249,0.0,0.0,0.0,0.0,0.0,0.0,7.636797543015495E-5,0.003619210873102783,0.007540017226043544,0.0,0.0,0.0036222903648731944,
6.0,0.027894401465994652,0.1012261396723143,0.007065699466001838,0.0,1.0397700904679441E-4,1.0006862735582609E-4,0.7699324653533258,0.03650380577613963,0.036502405744192744,2.1987461736860906E-4,0.010422740072780445,0.0219097406949691,0.0,0.0,0.0,0.0,0.0,0.0,7.455803636324695E-5,0.00353233751283782,0.007420779388513845,0.0,0.0,0.003042269674150823,
7.0,0.041872106022408304,0.1226249277539955,0.006294598849453702,0.0,0.0,0.0,0.7710488261320351,0.03651482320867597,0.036502127596125256,1.6638614438670187E-4,0.007841859451077888,0.016447581091221887,0.0,0.0,0.0,0.0,0.0,0.0,5.6769602464152796E-5,0.0026750256202987192,0.005609295728560505,0.0,0.0,0.002681898540729738,
8.0,0.040732872057318695,0.1275806514841949,0.0054473631462741996,0.0,2.844935517136217E-4,1.9581755595195915E-4,0.7709373722451608,0.03651066105754557,0.03650194438266118,1.8270265340667474E-4,0.008752742936178745,0.01886239971362785,0.0,0.0,0.0,0.0,0.0,0.0,6.103779698809754E-5,0.0029209680711126205,0.006287183470923928,0.0,0.0,0.0024304838143519997,
9.0,0.043683219271550035,0.1579004282929489,0.005488207493844824,0.0,4.4118720603898747E-4,1.3921491060211744E-5,0.7711970857139079,0.03651074658066812,0.03650179007201854,2.315717724147743E-4,0.011160914194470767,0.024221874662706307,0.0,0.0,0.0,0.0,0.0,0.0,7.691726716767932E-5,0.0037027411384169635,0.008025345734150102,0.0,0.0,0.002250466536184905,
10.0,0.05246642467881716,0.15389157395897934,0.005468968970204313,0.0,0.0012378825586125118,4.507789919353694E-5,0.7718926521993713,0.03650744492287502,0.036501719474323645,2.3232076345242937E-4,0.01120113384156387,0.02450188692199765,0.0,0.0,0.0,0.0,0.0,0.0,7.693194972318177E-5,0.003704726660114275,0.00809304005161217,0.0,0.0,0.002121873338085253,
