"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,22095.053,13590.186,29780.729,147359.9,19449.754,12713.596,98556.29,302146.1,98882.32,126032.73,248465.61,222089.36,469394.72,897343.9,127097.41,7275.252,52021.703,29433.375,16463.96,17559.355,39341.47,45800.0,9402.784,457910.2,272108.8,91600.0,91600.0
2.0,25240.012,24866.844,50379.734,536565.06,47042.156,23082.787,135130.7,327980.38,118166.484,176067.44,549745.7,180520.19,496773.28,550794.6,291820.03,7766.176,53219.2,29225.908,15947.398,17261.234,37955.32,45800.0,9101.973,451288.25,268434.0,91600.0,91600.0
3.0,27036.668,31912.062,65441.797,693625.6,102975.95,37479.16,120926.7,285925.7,151209.5,206516.98,526440.2,97274.2,402324.4,129627.086,280497.88,8344.988,51153.547,29987.79,16952.51,17112.916,39800.91,45800.0,9348.098,445036.25,266443.38,91600.0,91600.0
4.0,28238.18,36909.023,58565.086,919557.25,194686.66,52807.55,109094.055,204896.03,152223.62,212304.81,400400.44,47848.793,442257.66,14446.846,258822.03,9439.43,51432.473,32140.717,17324.836,18015.105,38319.867,45800.0,9613.781,454662.78,264137.53,91600.0,91600.0
5.0,28630.19,38791.016,60345.465,924022.6,264478.06,60753.363,109103.44,192487.33,152940.1,208973.45,284584.4,24324.26,316621.03,28728.285,207950.25,11109.899,50703.336,30185.596,16756.383,17351.287,37669.48,45800.0,9348.676,455215.8,265129.7,91600.0,91600.0
6.0,28132.55,38548.723,72074.42,866311.7,229960.44,71500.51,100382.86,185395.81,172126.97,200292.05,230832.77,12824.914,253438.28,64055.5,191483.81,13326.371,52573.766,30323.074,16568.242,17282.217,38353.49,45800.0,9495.598,454667.56,268450.12,91600.0,91600.0
7.0,27077.11,38986.41,67626.07,885124.6,182627.61,98480.79,90755.35,170516.44,191420.83,197230.45,193065.39,12223.56,314319.72,63621.895,207262.4,16109.683,52169.863,29312.557,16502.82,17234.322,39030.316,45800.0,9286.089,456457.7,269976.12,91600.0,91600.0
8.0,25445.172,43409.49,73037.43,922360.1,150486.69,104791.41,90403.58,161147.11,194404.9,192007.05,194100.34,13279.818,305408.25,107975.484,209847.98,19382.121,51419.95,30727.854,16828.66,17369.818,38299.11,45800.0,9219.673,455400.34,266255.25,91600.0,91600.0
9.0,22437.348,42377.402,73018.54,939789.1,158831.78,113495.46,91701.984,176025.97,194632.33,182467.86,192790.17,12323.0205,287746.84,66633.375,191821.11,22898.568,51889.88,29711.979,16462.19,17279.656,38979.887,45800.0,9238.049,452816.9,268105.2,91600.0,91600.0
10.0,17153.867,39662.996,66534.32,923679.06,201693.52,130525.84,93692.16,161933.64,187388.52,161317.44,194035.5,14212.892,354051.6,69075.11,192445.89,26542.414,52752.72,29172.594,16660.502,17051.24,39736.406,45800.0,9334.929,457000.66,271871.22,91600.0,91600.0
11.0,14687.291,34096.344,67089.31,898674.06,235161.48,135450.62,88034.43,164078.14,203310.39,158936.9,240638.38,17952.785,352698.4,23354.781,212084.6,30407.08,52079.703,29280.71,16665.877,17310.857,39778.074,45800.0,9294.303,454361.28,270163.6,91600.0,91600.0
12.0,16446.568,29182.967,81691.98,950616.44,225933.78,138558.88,87573.91,146787.19,181268.14,163988.56,246569.9,19297.018,341540.47,48497.383,196400.22,34588.715,51685.387,30675.824,17197.627,17772.166,40011.047,45800.0,9365.874,456204.22,268616.9,91600.0,91600.0
